pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^(([0-9a-fA-F]{1,4}:){7,7}[0-9a-fA-F]{1,4}|([0-9a-fA-F]{1,4}:){1,7}:|([0-9a-fA-F]{1,4}:){1,6}:[0-9a-fA-F]{1,4}|([0-9a-fA-F]{1,4}:){1,5}(:[0-9a-fA-F]{1,4}){1,2}|([0-9a-fA-F]{1,4}:){1,4}(:[0-9a-fA-F]{1,4}){1,3}|([0-9a-fA-F]{1,4}:){1,3}(:[0-9a-fA-F]{1,4}){1,4}|([0-9a-fA-F]{1,4}:){1,2}(:[0-9a-fA-F]{1,4}){1,5}|[0-9a-fA-F]{1,4}:((:[0-9a-fA-F]{1,4}){1,6})|:((:[0-9a-fA-F]{1,4}){1,7}|:)|fe80:(:[0-9a-fA-F]{0,4}){0,4}%[0-9a-zA-Z]{1,}|::(ffff(:0{1,4}){0,1}:){0,1}((25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9]).){3,3}(25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])|([0-9a-fA-F]{1,4}:){1,4}:)$;./attacks/rathnayake-rxxr2/uniq_nested_between43_2_0.txt;12.46;0.06;0.03;0.58;0.32;ERR;0.01;0.28;0.16;0.04;0.03;0.71;0.53;0.82;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;50.000001
"(([\w]+:)?\/\/)?(([\d\w]|%[a-fA-f\d]{2,2})+(:([\d\w]|%[a-fA-f\d]{2,2})+)?@)?([\d\w][-\d\w]{0,253}[\d\w]\.)+[\w]{2,4}(:[\d]+)?(\/([-+_~.\d\w]|%[a-fA-f\d]{2,2})*)*(\?(&?([-+_~.\d\w]|%[a-fA-f\d]{2,2})=?)*)?(#([-+_~.\d\w]|%[a-fA-f\d]{2,2})*)?";./attacks/rathnayake-rxxr2/uniq_nested_between43_2_9.txt;0.08;0.16;0.4;5.18;TO;ERR;0.0;0.31;35.29;8.1;0.04;92.41;53.71;15.61;0;0;0;0;TO;ERR;ERR;0;0;0;0;0;0;0;87.500001
"^(::)?(((\d{1,3}\.){3}(\d{1,3}){1})?([0-9a-f]){0,4}:{0,2}){1,8}(::)?$";./attacks/rathnayake-rxxr2/uniq_nested_between43_2_10.txt;9.37;0.06;0.02;0.89;0.44;ERR;0.02;0.3;1.71;0.04;0.05;0.75;0.62;0.83;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;50.000001
"^s\d(-s\d)??(:c\d{1,4}((.c\d{1,4})?,c\d{1,4})*(.c\d{1,4})?(,c\d{1,4}(.c\d{1,4})?)*)?$";./attacks/rathnayake-rxxr2/uniq_nested_between43_2_16.txt;0.06;0.04;0.17;ERR;TO;ERR;0.11;0.3;TO;0.02;ERR;TO;ERR;ERR;0;0;0;ERR;TO;ERR;0;0;TO;0;ERR;TO;ERR;ERR;50.000004
"^s\d(-s\d)??(:c\d{1,4}((.c\d{1,4})?,c\d{1,4})*(.c\d{1,4})?(,c\d{1,4}(.c\d{1,4})?)*)?$";./attacks/rathnayake-rxxr2/uniq_nested_between43_2_20.txt;0.07;0.04;0.12;ERR;TO;ERR;0.1;0.32;TO;0.04;ERR;TO;ERR;ERR;0;0;0;ERR;TO;ERR;0;0;TO;0;ERR;TO;ERR;ERR;50.000004
"^(([0-9a-fA-F]{1,4}:){7,7}[0-9a-fA-F]{1,4}|([0-9a-fA-F]{1,4}:){1,7}:|([0-9a-fA-F]{1,4}:){1,6}:[0-9a-fA-F]{1,4}|([0-9a-fA-F]{1,4}:){1,5}(:[0-9a-fA-F]{1,4}){1,2}|([0-9a-fA-F]{1,4}:){1,4}(:[0-9a-fA-F]{1,4}){1,3}|([0-9a-fA-F]{1,4}:){1,3}(:[0-9a-fA-F]{1,4}){1,4}|([0-9a-fA-F]{1,4}:){1,2}(:[0-9a-fA-F]{1,4}){1,5}|[0-9a-fA-F]{1,4}:((:[0-9a-fA-F]{1,4}){1,6})|:((:[0-9a-fA-F]{1,4}){1,7}|:)|[fF][eE]80:(:[0-9a-fA-F]{0,4}){0,4}%[0-9a-zA-Z]{1,}|::([fF]{4}(:0{1,4}){0,1}:){0,1}((25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])\.){3,3}(25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])|([0-9a-fA-F]{1,4}:){1,4}:((25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])\.){3,3}(25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9]))$";./attacks/rathnayake-rxxr2/uniq_nested_between43_2_24.txt;13.2;0.05;0.03;0.57;0.34;ERR;0.01;0.27;0.18;0.04;0.02;0.69;0.47;0.76;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;50.000002
"^[a-z0-9]+([._\\-]*[a-z0-9])*@([a-z0-9]+[-a-z0-9]*[a-z0-9]+.){1,63}[a-z0-9]+$";./attacks/rathnayake-rxxr2/uniq_nested_between43_2_48.txt;9.57;0.05;0.03;0.54;TO;0.52;0.02;0.26;TO;0.05;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;50.000006
"^(:?(([a-zA-Z]{1})|([a-zA-Z]{1}[a-zA-Z]{1})|([a-zA-Z]{1}[0-9]{1})|([0-9]{1}[a-zA-Z]{1})|([a-zA-Z0-9][-_a-zA-Z0-9]{0,61}[a-zA-Z0-9]))\.)+([a-zA-Z]{2,13}|(xn--[a-zA-Z0-9]{2,30}))$";./attacks/rathnayake-rxxr2/uniq_nested_between43_2_57.txt;TO;0.08;0.17;1.46;TO;2.08;0.1;0.27;TO;0.04;ERR;TO;ERR;ERR;TO;0;0;0;TO;0;0;0;TO;0;ERR;TO;ERR;ERR;50.000001
"^(:?(([a-zA-Z]{1})|([a-zA-Z]{1}[a-zA-Z]{1})|([a-zA-Z]{1}[0-9]{1})|([0-9]{1}[a-zA-Z]{1})|([a-zA-Z0-9][-_a-zA-Z0-9]{0,61}[a-zA-Z0-9]))\.)+([a-zA-Z]{2,13}|(xn--[a-zA-Z0-9]{2,30}))$";./attacks/rathnayake-rxxr2/uniq_nested_between43_2_60.txt;TO;0.1;0.16;1.35;TO;2.22;0.13;1.2;TO;0.05;ERR;TO;ERR;ERR;TO;0;0;0;TO;0;0;0;TO;0;ERR;TO;ERR;ERR;50.000001
"\A(([0-9a-fA-F]{1,4}:){7,7}[0-9a-fA-F]{1,4}|([0-9a-fA-F]{1,4}:){1,7}:|([0-9a-fA-F]{1,4}:){1,6}:[0-9a-fA-F]{1,4}|([0-9a-fA-F]{1,4}:){1,5}(:[0-9a-fA-F]{1,4}){1,2}|([0-9a-fA-F]{1,4}:){1,4}(:[0-9a-fA-F]{1,4}){1,3}|([0-9a-fA-F]{1,4}:){1,3}(:[0-9a-fA-F]{1,4}){1,4}|([0-9a-fA-F]{1,4}:){1,2}(:[0-9a-fA-F]{1,4}){1,5}|[0-9a-fA-F]{1,4}:((:[0-9a-fA-F]{1,4}){1,6})|:((:[0-9a-fA-F]{1,4}){1,7}|:)|fe80:(:[0-9a-fA-F]{0,4}){0,4}%[0-9a-zA-Z]{1,}|::(ffff(:0{1,4}){0,1}:){0,1}((25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])\.){3,3}(25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])|([0-9a-fA-F]{1,4}:){1,4}:((25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])\.){3,3}(25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9]))\z";./attacks/rathnayake-rxxr2/uniq_nested_between43_2_70.txt;0.06;0.05;0.04;0.66;0.41;ERR;0.01;0.48;0.11;0.03;0.02;0.04;0.65;0.98;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;50.000002
