pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"^Referer\x3a[^\r\n]+\/[\w_]{32,}\.html$";./attacks-gadget/bech1-RN_00_1.txt;0.0;0.18;0.53;2.12;5.3;1.72;0.0;3.23;45.3;28.18;1.14;1.33;1.59;2.24;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.097853
"&itwm=([a-z0-9\-\=]{1,50})";./attacks-gadget/snort2-between_01_1.txt;4.88;0.12;2.78;2.59;6.9;1.81;0.0;3.52;59.53;197.9;4.37;4.2;2.15;2.33;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.7
(__proto__|setPrototype).{0,50}prototype;./attacks-gadget/snort2-between_02_1.txt;0.08;0.06;0.22;0.96;4.18;1.1;0.19;0.31;0.94;0.04;0.02;0.89;1.42;1.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.63727
".php\?q=\d{1,4}\.\d{2,4}\.\d{1,3}\.\d{1,3}\.\d{1,3}\.[0-9a-f]{64}\.1.\d{4,6}";./attacks-gadget/snort2-between_03_1.txt;0.0;0.2;0.34;1.8;16.98;2.39;0.19;4.14;14.03;16.56;0.44;0.59;3.09;1.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.097118
"V(BA|.BA|B.A).{0,50}C(.reate|r.eate|re.ate|rea.te|reat.e|reate).{0,75}\x22ell";./attacks-gadget/snort2-between_05_1.txt;7.38;0.18;0.32;1.68;7.08;2.51;0.14;3.16;16.38;9.88;0.16;0.72;1.88;2.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.25349
"V(BA|.BA|B.A).{0,50}C(.reate|r.eate|re.ate|rea.te|reat.e|reate).{0,75}ell\x22";./attacks-gadget/snort2-between_06_1.txt;115.61;0.19;0.42;2.0;6.93;2.88;0.15;3.29;20.06;12.13;0.18;0.72;2.42;2.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.759247
[^&]+&[a-z]=[a-f0-9]{16}&[a-z]=[a-f0-9]{16}$;./attacks-gadget/snort2-between_07_1.txt;31.5;0.36;0.62;1.68;43.12;2.77;0.26;5.64;49.4;36.21;1.05;1.36;0.77;7.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.098
[a-f0-9]{32}=[a-f0-9]{32};./attacks-gadget/snort2-between_08_1.txt;29.84;0.06;0.4;1.73;26.2;3.29;0.21;22.66;7.54;22.18;0.6;1.04;0.66;8.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.096775
"[a-z0-9]{32}\.jar";./attacks-gadget/snort2-between_09_1.txt;0.0;0.07;0.68;1.84;17.33;2.8;0.2;21.32;9.07;41.36;0.58;1.48;0.7;8.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.097412
"\.php\?[a-z]{2,8}=[a-z0-9]{2}\x3a[a-z0-9]{2}\x3a[a-z0-9]{2}\x3a[a-z0-9]{2}\x3a[a-z0-9]{2}\&[a-z]{2,8}=";./attacks-gadget/snort2-between_10_1.txt;0.19;0.19;0.96;1.84;4.79;2.56;0.56;2.52;55.9;63.81;1.61;1.6;4.26;1.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.096628
"\/3\/[A-Z]{2}\/[a-f0-9]{32}\.djvu";./attacks-gadget/snort2-between_11_1.txt;0.0;0.07;0.91;1.88;3.36;2.32;0.0;2.2;19.66;57.07;0.72;1.36;0.8;1.42;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.097853
"\/3\/[A-Z]{2}\/[a-f0-9]{32}\.mkv";./attacks-gadget/snort2-between_12_1.txt;0.0;0.06;0.9;1.86;3.44;2.38;0.0;2.24;19.72;58.79;0.74;1.39;0.84;1.5;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.098
"\/[a-f0-9]{32}\.jar$";./attacks-gadget/snort2-between_14_1.txt;0.0;0.07;0.68;1.66;3.3;2.31;0.0;2.21;9.88;40.15;0.53;1.18;0.71;1.55;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.097853
"\/[a-f0-9]{32}\/[a-f0-9]{32}\x22";./attacks-gadget/snort2-between_15_1.txt;0.04;0.06;0.44;1.64;3.86;2.8;0.0;2.65;9.06;22.3;0.7;1.01;0.62;1.66;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.097265
