pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"WebAdmin\x2Edll\x3F[^\r\n]*View=Logon.*[^\r\n\x26]*User=[^\r\n\x26]{100}";./attacks-gadget/bech3-RN_06_1.txt;0.01;0.05;0.13;1.5;TO;1.18;0.1;0.27;TO;TO;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;TO;TO;TO;TO;TO;49.727898
"\s{230,}\.htr";./attacks-gadget/home-brewed-between_00_6.txt;0.01;0.05;0.28;1.7;25.61;2.67;0.05;154.7;1.66;6.54;0.1;0.8;0.56;44.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9941
"SET_(SENDFROM|MAILHOST)\x28\x27[^\x27]{256}";./attacks-gadget/bech3-between_9023_1.txt;0.02;0.07;0.41;2.41;1.08;2.35;0.48;1.93;7.2;8.24;0.21;0.29;1.7;2.29;0;39672;0;0;0;0;0;0;8550;43434;43434;8550;0;0;49.931658
"\s{23}DIMBUS\s+Server\s+v\d+\x2E\d+";./attacks-gadget/bech3-between_9105_1.txt;0.1;0.1;0.39;2.22;20.44;2.28;0.29;2.33;17.77;14.03;0.27;2.05;0.84;4.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.08428
"^\x2F40e800[0-9A-F]{30,}$";./attacks-gadget/bech3-between_9384_1.txt;0.02;0.06;0.68;1.62;1.53;2.3;0.3;2.05;12.57;39.41;0.81;1.13;1.13;1.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.097853
"cache_lastpostdate\[[^\]]+\]=[^\x20\x3B\x3D]{30}";./attacks-gadget/bech3-between_9439_1.txt;0.2;0.31;0.51;1.66;2.45;1.91;0.34;2.59;16.18;26.69;1.16;1.01;1.56;2.26;0;68222;0;0;0;0;0;0;92288;100268;100268;92288;0;0;47.979778
"connectID=[^&\x20\r\n]{255}";./attacks-gadget/home-brewed-between_00_4.txt;2.6;0.04;2.83;113.44;0.92;2.41;0.87;2.5;4.24;11.57;0.18;0.24;1.08;1.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.010584
"contenttype=[^\r\n\x20\x20]{100}";./attacks-gadget/home-brewed-between-RN2_01_1.txt;2.2;0.15;0.2;0.88;0.76;1.13;0.2;0.65;5.44;11.73;0.29;0.45;1.08;1.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46.542978
"instancename=[^&\x20\r\n]{513}";./attacks-gadget/home-brewed-between_04_6.txt;2.44;0.06;1.5;14.0;0.83;2.4;0.55;6.68;4.11;11.14;0.16;0.22;1.06;1.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.913151
"mfcisapicommand=[^&\r\n\x20]{250}";./attacks-gadget/home-brewed-between_03_6.txt;2.6;0.05;3.51;122.02;0.9;2.32;1.95;2.52;3.95;10.46;0.19;0.23;0.98;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.7087
"php.*\x20[^\n]{256}";./attacks-gadget/home-brewed-between-RN2_04_1.txt;0.18;0.98;141.97;59.22;23.23;2.61;14.14;15.14;50.92;5.71;2.18;1.79;0.88;18.43;0;104091;663;663;663;663;663;663;663;104091;104091;663;663;663;49.915281
"sid=[^&\x20\r\n]{255}";./attacks-gadget/home-brewed-between_00_3.txt;4.38;0.04;49.14;175.91;0.86;2.49;4.33;4.84;3.71;6.47;1.22;0.74;1.42;1.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.74948
"username=[^&\x20\r\n]{250}";./attacks-gadget/home-brewed-between_03_1.txt;4.62;0.05;28.24;TO;0.88;2.5;4.05;4.05;4.12;8.41;0.76;0.56;1.24;1.54;0;0;0;TO;0;0;0;0;0;0;0;0;0;0;49.262256
"username=[^&\x20\r\n]{255}";./attacks-gadget/home-brewed-between_04_4.txt;4.47;0.04;28.39;TO;0.85;2.4;4.1;4.12;4.18;8.3;0.75;0.57;1.22;1.57;0;0;0;TO;0;0;0;0;0;0;0;0;0;0;49.14672
"w3who\.dll\x20[^\r\n]{519}";./attacks-gadget/home-brewed-between-RN2_08_1.txt;0.12;0.07;8.48;30.5;0.79;2.34;1.48;6.52;4.88;9.84;0.2;0.36;1.09;2.32;0;13770;0;0;0;0;0;0;0;13770;13770;0;0;0;49.273956
"wqPassword=[^\r\n\x20]{294}";./attacks-gadget/home-brewed-between_02_1.txt;2.77;0.06;2.82;98.82;0.93;2.4;2.08;2.33;3.95;11.38;0.2;0.25;1.13;1.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.871328
"^GET\s+\w[^\x20\x20]{165}";./attacks-gadget/home-brewed-between_01_2.txt;4.16;0.28;0.16;1.94;10.7;1.46;0.11;3.49;1.34;1.49;0.81;1.87;0.94;1.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9593
"SoftCart.exe\?[^\s]{100}";./attacks-gadget/home-brewed-between_02_2.txt;3.84;0.05;1.42;5.88;1.26;2.35;2.35;3.55;6.3;15.06;0.35;0.52;3.15;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.008967
"pwd=(\!|\%21)CRYPT(\!|\%21)[A-Z0-9]{512}";./attacks-gadget/home-brewed-between_03_5.txt;4.0;0.99;0.23;1.66;0.65;2.49;0.0;5.58;2.24;2.95;0.17;0.45;2.08;1.17;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.98595
"\S{190}.rt";./attacks-gadget/home-brewed-between_04_3.txt;0.0;0.06;0.3;1.75;30.06;2.78;0.18;136.01;1.84;7.91;0.11;1.53;1.48;32.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.998
"[\x20-t][bcdfghjklmnpqrstvwxyz]{5,32}\x20n";./attacks-gadget/home-brewed-between_00_1.txt;0.0;0.05;0.39;1.62;86.58;3.02;0.24;38.27;1.09;2.49;0.04;6.98;9.66;7.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.96845
"[\x20-t][bcdfghjklmnpqrstvwxyz]{5,32}\x20ru";./attacks-gadget/home-brewed-between_00_2.txt;0.0;0.06;0.3;1.77;78.96;2.95;0.03;34.48;1.48;3.48;0.07;6.49;9.97;7.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.98255
"Accept-Language\x3A[^\n]{100}";./attacks-gadget/home-brewed-between_00_1.txt;0.01;0.3;0.34;1.63;0.92;2.28;0.34;1.28;6.95;11.85;0.43;0.47;1.23;2.31;0;399462;0;0;0;0;0;0;0;399462;399462;0;0;0;49.835884
"Authorization\x3a(\s*|\s*\s+)Basic\s[^\n]{250}";./attacks-gadget/home-brewed-between_01_1.txt;0.02;0.28;0.15;20.78;0.84;2.42;0.72;0.8;6.4;5.14;0.19;0.44;1.58;2.38;0;32453;0;0;0;0;0;0;0;32453;32453;0;0;0;49.480699
"Authorization\x3a(\s*|\s*\s+)Basic\s[^\n]{512}";./attacks-gadget/home-brewed-between_02_1.txt;0.12;0.26;0.23;TO;1.04;2.48;1.78;2.27;7.19;6.28;0.13;0.38;1.74;2.47;0;13104;0;TO;0;0;0;0;0;13104;13104;0;0;0;49.070268
"Authorization\x3a\s*Basic[^\n]{256}";./attacks-gadget/home-brewed-between_03_1.txt;0.02;0.13;0.32;4.71;0.85;2.24;0.5;1.31;6.84;8.5;0.13;0.32;1.55;2.33;0;11492;0;0;0;0;0;0;0;11492;11492;0;0;0;49.30884
"Content-Length\x3A\s*[^\r\n]{100,}";./attacks-gadget/home-brewed-between_04_1.txt;0.01;0.46;0.34;1.61;0.94;2.19;0.46;2.12;8.43;11.6;0.74;0.35;1.67;2.36;0;317516;0;0;0;0;0;0;0;317516;317516;0;0;0;46.68114
"DESCRIBE\s[^\n]{300}";./attacks-gadget/home-brewed-between_05_1.txt;2.22;0.21;0.24;TO;0.86;2.44;1.95;0.9;3.2;5.6;0.14;0.35;1.32;2.39;0;14688;0;TO;0;0;0;0;0;14688;14688;0;0;0;49.771296
