pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"((\+44\s?\(0\)\s?\d{2,4})|(\+44\s?(01|02|03|07|08)\d{2,3})|(\+44\s?(1|2|3|7|8)\d{2,3})|(\(\+44\)\s?\d{3,4})|(\(\d{5}\))|((01|02|03|07|08)\d{2,3})|(\d{5}))(\s|-|.)(((\d{3,4})(\s|-)(\d{3,4}))|((\d{6,7})))";./attacks-gadget/Assorted-between_00_2.txt;0.0;0.41;1.15;2.46;59.96;14.1;0.73;19.58;205.2;76.01;9.69;6.84;6.98;2.91;0;1576563;1576563;1576563;1576563;1576563;1576563;1576563;1576563;1576563;1576563;1576563;1576563;1576563;49.356984
"([A-Za-z]{0,}[\.\,\s]{0,}[A-Za-z]{1,}[\.\s]{1,}[0-9]{1,2}[\,\s]{0,}[0-9]{4})| ([0-9]{0,4}[-,\s]{0,}[A-Za-z]{3,9}[-,\s]{0,}[0-9]{1,2}[-,\s]{0,}[A-Za-z]{0,8})| ([0-9]{1,4}[\/\.\-][0-9]{1,4}[\/\.\-][0-9]{1,4})";./attacks-gadget/Assorted-between_00_2.txt;7.42;0.13;0.22;1.75;TO;2.98;0.0;16.14;TO;35.96;TO;TO;TO;72.58;0;0;0;0;TO;0;ERR;0;TO;0;TO;TO;TO;0;49.800856
"IT\d{2}[ ][a-zA-Z]\d{3}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{3}|IT\d{2}[a-zA-Z]\d{22}";./attacks-gadget/Assorted-between_02_6.txt;0.0;0.15;1.18;2.13;5.94;3.12;0.61;2.5;94.84;80.19;2.14;1.98;1.65;1.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9981
"[0](\d{9})|([0](\d{2})( |-)((\d{3}))( |-)(\d{4}))|[0](\d{2})( |-)(\d{7})";./attacks-gadget/Assorted-between_03_2.txt;0.19;0.19;1.92;2.72;38.63;6.24;1.08;17.1;164.26;146.21;5.62;4.74;2.45;3.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.95365
"\d{5,12}|\d{1,10}\.\d{1,10}\.\d{1,10}|\d{1,10}\.\d{1,10}";./attacks-gadget/Assorted-between_03_3.txt;0.1;0.29;4.28;4.26;38.02;6.0;2.1;14.62;TO;TO;15.65;13.12;5.68;4.61;0;0;0;0;0;0;0;0;TO;TO;0;0;0;0;50.0
"(\d{1}-\d{2}\s*)(of +)(\s?\d{5})|(\d{1}-\d{2}\s*)(of +)(\s?\d{4})|(\d{1}-\d{2}\s*)(of +)(\s?\d{3})|(\d{1}-\d{2}\s*)(of +)(\s?\d{2})|(\d{1}-\d{2}\s*)(of +)(\s?\d{1})";./attacks-gadget/internetSources-between_00_1.txt;0.0;0.24;1.16;2.87;32.01;4.07;0.61;10.73;TO;83.07;13.63;8.88;1.76;2.74;0;0;0;0;0;0;0;0;TO;0;0;0;0;0;49.99925
"(0|[1-9]{1}[0-9]{0,8}|[1]{1}[0-9]{1,9}|[-]{1}[2]{1}([0]{1}[0-9]{8}|[1]{1}([0-3]{1}[0-9]{7}|[4]{1}([0-6]{1}[0-9]{6}|[7]{1}([0-3]{1}[0-9]{5}|[4]{1}([0-7]{1}[0-9]{4}|[8]{1}([0-2]{1}[0-9]{3}|[3]{1}([0-5]{1}[0-9]{2}|[6]{1}([0-3]{1}[0-9]{1}|[4]{1}[0-8]{1}))))))))|(\+)?[2]{1}([0]{1}[0-9]{8}|[1]{1}([0-3]{1}[0-9]{7}|[4]{1}([0-6]{1}[0-9]{6}|[7]{1}([0-3]{1}[0-9]{5}|[4]{1}([0-7]{1}[0-9]{4}|[8]{1}([0-2]{1}[0-9]{3}|[3]{1}([0-5]{1}[0-9]{2}|[6]{1}([0-3]{1}[0-9]{1}|[4]{1}[0-7]{1})))))))))";./attacks-gadget/Assorted-between_01_1.txt;0.19;0.99;8.3;5.97;31.77;TO;4.14;20.49;TO;TO;35.14;25.88;11.31;6.44;0;0;0;0;0;TO;0;0;TO;TO;0;0;0;0;49.8
"\d{1,3}[.]\d{1,3}[.]\d{1,3}[.]\d{1,3}\s.\s.\s\[\d{2}\/\D{3}\/\d{4}:\d{1,2}:\d{1,2}:\d{1,2}\s.\d{4}\]\s\&quot\S*\s\S*\s\S*\&quot\s\d{1,3}\s\S*\s\&quot.*\&quot\s\&quot.*\&quot";./attacks-gadget/internetSources-between_00_3.txt;0.01;0.06;0.2;2.43;6.95;4.02;0.0;3.78;30.96;6.56;0.46;1.0;0.98;2.12;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.746165
"^(([0-9]{3})[ \-\/]?([0-9]{3})[ \-\/]?([0-9]{3}))|([0-9]{9})|([\+]?([0-9]{3})[ \-\/]?([0-9]{2})[ \-\/]?([0-9]{3})[ \-\/]?([0-9]{3}))$";./attacks-gadget/internetSources-between_00_1.txt;0.15;0.26;1.35;2.0;49.46;9.46;0.0;22.96;112.68;89.36;13.12;9.0;5.15;3.18;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.9956
"urn:[a-z0-9]{1}[a-z0-9\-]{1,31}:[a-z0-9_,:=@!&#39%/#\(\)\+\-\.\$\*\?]+";./attacks-gadget/internetSources-between_00_2.txt;3.25;1.35;0.11;0.66;2.59;0.61;0.35;2.8;5.22;7.5;0.42;0.54;1.83;0.98;280035;280035;280035;280035;280035;280035;280035;280035;280035;280035;280035;280035;280035;280035;49.023373
"\d{4}-\d{4}-\d{2}|\d{5}-\d{3}-\d{2}|\d{5}-\d{4}-\d{1}|\d{5}-\*\d{3}-\d{2}";./attacks-gadget/internetSources-between_00_3.txt;0.06;0.22;2.06;2.93;44.78;7.85;0.98;10.62;190.6;154.31;4.52;4.52;1.64;5.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.99945
"^\s*([A-Z\s])([a-z\s]){1,30}([A-Z\s])([a-z\s]){1,30}\s*$";./attacks-gadget/internetSources-between_10_4.txt;9.81;0.33;0.17;1.53;TO;3.92;0.18;TO;TO;139.0;TO;TO;TO;TO;0;7592;7592;7592;TO;8944;7592;TO;TO;9568;TO;TO;TO;TO;49.319608
^[13][a-zA-Z0-9]{26,33}$;./attacks-gadget/internetSources-between_00_1.txt;3.92;0.06;0.99;1.72;1.85;2.61;0.42;2.32;17.39;55.53;1.0;1.47;1.78;1.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.99995
^L[a-zA-Z0-9]{26,33}$;./attacks-gadget/internetSources-between_00_2.txt;4.06;0.06;0.86;1.75;1.9;2.62;0.42;2.18;15.34;52.59;1.06;1.45;1.52;1.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.99995
^[ .a-zA-Z0-9:-]{1,150}$;./attacks-gadget/internetSources-between_00_3.txt;0.0;0.0;0.0;0.24;0.08;0.35;0.0;0.26;0.23;0.54;0.02;0.03;0.11;0.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02
"^([0-9]{6}[\s\-]{1}[0-9]{12}|[0-9]{18})$";./attacks-gadget/internetSources-between_00_4.txt;0.1;0.16;1.34;1.95;4.04;3.21;0.54;2.98;39.94;79.0;2.01;2.27;1.87;1.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.99995
^([a-zA-Z][a-zA-Z0-9]{1,100})$;./attacks-gadget/internetSources-between_00_5.txt;9.05;0.3;6.62;5.03;23.02;3.84;4.2;7.8;TO;TO;12.42;15.62;5.07;4.97;0;0;0;0;0;0;0;0;TO;TO;0;0;0;0;50.0
"^((4(\d{12}|\d{15}))|(5\d{15})|(6011\d{12})|(3(4|7)\d{13}))$";./attacks-gadget/internetSources-between_00_6.txt;0.07;0.21;1.33;1.97;5.14;2.89;0.62;3.53;90.26;96.48;2.58;2.71;1.94;1.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.998
^[A-Za-z0-9]{8}-[A-Za-z0-9]{4}-[A-Za-z0-9]{4}-[A-Za-z0-9]{4}-[A-Za-z0-9]{12}$;./attacks-gadget/internetSources-between_01_1.txt;6.5;0.07;0.72;1.65;2.73;2.67;0.32;2.35;25.3;41.36;1.2;1.33;1.72;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9986
^([A-Z]{2}[9]{3}|[A-Z]{3}[9]{2}|[A-Z]{4}[9]{1}|[A-Z]{5})[0-9]{6}([A-Z]{1}[9]{1}|[A-Z]{2})[A-Z0-9]{3}[0-9]{2}$;./attacks-gadget/internetSources-between_01_2.txt;1.74;0.08;1.5;2.0;9.43;4.51;0.74;4.14;124.81;123.55;2.18;2.3;3.16;2.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.99955
"^[0][5][0]-\d{7}|[0][5][2]-\d{7}|[0][5][4]-\d{7}|[0][5][7]-\d{7}|[0][7][7]-\d{7}|[0][2]-\d{7}|[0][3]-\d{7}|[0][4]-\d{7}|[0][8]-\d{7}|[0][9]-\d{7}|[0][5][0]\d{7}|[0][5][2]\d{7}|[0][5][4]\d{7}|[0][5][7]\d{7}|[0][7][7]\d{7}|[0][2]\d{7}|[0][3]\d{7}|[0][4]\d{7}|[0][8]\d{7}|[0][9]\d{7}$";./attacks-gadget/internetSources-between_01_3.txt;0.15;0.4;1.81;3.08;38.31;4.05;22.51;16.34;TO;133.12;4.66;6.1;4.46;2.78;0;0;0;0;0;0;0;0;TO;0;0;0;0;0;49.69525
^[0-9]{10}GBR[0-9]{7}[U,M,F]{1}[0-9]{9}$;./attacks-gadget/internetSources-between_01_4.txt;0.15;0.06;0.8;1.7;2.84;2.63;0.36;2.16;22.9;47.52;1.23;1.42;1.55;1.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9995
^([A-Z]{2}[9]{3}|[A-Z]{3}[9]{2}|[A-Z]{4}[9]{1}|[A-Z]{5})[0-9]{6}([A-Z]{1}[9]{1}|[A-Z]{2})[A-Z0,9]{3}$;./attacks-gadget/internetSources-between_01_5.txt;4.2;0.1;1.99;2.31;11.43;5.14;0.99;5.09;147.62;155.01;2.51;2.82;3.44;2.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9992
^[A-Z0-9<]{9}[0-9]{1}[A-Z]{3}[0-9]{7}[A-Z]{1}[0-9]{7}[A-Z0-9<]{14}[0-9]{2}$;./attacks-gadget/internetSources-between_01_6.txt;6.82;0.07;0.58;1.56;3.05;3.23;0.31;2.26;26.34;34.14;0.98;1.2;1.35;1.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9994
