pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"(\d{1,2})\W+(\d{1,2})\W*(\d{2,4})?|(\d{4})\W(\d{1,2})\W(\d{1,2})|([a-zA-Z]+)\W*(\d{1,2})\W+(\d{2,4})|(\d{4})\W*([a-zA-Z]+)\W*(\d{1,2})|(\d{1,2})\W*([a-zA-Z]+)\W*(\d{2,4})|(\d{1,2})\W*([a-zA-Z]+)|([a-zA-Z]+)\W*(\d{1,2})|(\d{2})(\d{2})(\d{2,4})?";./attacks-gadget/Assorted-nested-between_00_4.txt;0.0;0.31;2.21;3.83;66.16;68.46;1.06;22.27;TO;TO;36.12;26.32;7.74;4.1;0;0;0;0;0;0;0;0;TO;TO;0;0;0;0;49.99945
"(((\d{0,2})\(\d{3}\))|(\d{3}-))\d{3}-\d{4}\s{0,}((([Ee][xX][Tt])|([Pp][Oo][Ss][Tt][Ee])):\d{1,5}){0,1}";./attacks-gadget/Assorted-nested-between_00_1.txt;0.0;0.04;0.15;1.13;3.57;1.29;0.1;0.29;0.47;0.07;0.1;6.1;4.92;1.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.2258
"([0-9]* {0,2}[A-Z]{1}\w+[,.:]? {0,4}[xvilcXVILC\d]+[.,:]( {0,2}[\d-,]{1,7})+)([,.:] {0,4}[xvilcXVILC]*[.,:]( {0,2}[\d-,]{1,7})+)*";./attacks-gadget/Assorted-nested-between_03_1.txt;ERR;0.3;2.64;3.55;TO;ERR;0.0;10.14;154.31;TO;ERR;0.02;TO;47.66;ERR;0;0;0;TO;ERR;ERR;0;ERR;TO;ERR;0;TO;0;49.85162
"(\s+|)((\(\d{3}\) +)|(\d{3}-)|(\d{3} +))?\d{3}(-| +)\d{4}( +x\d{1,4})?(\s+|)";./attacks-gadget/Assorted-nested-between_07_1.txt;0.0;0.21;1.2;2.83;42.93;3.87;0.0;11.03;TO;81.81;16.0;5.86;2.48;2.73;0;0;0;0;0;0;ERR;0;TO;0;0;0;0;0;49.09653
"[({]?(0x)?[0-9a-fA-F]{8}([-,]?(0x)?[0-9a-fA-F]{4}){2}((-?[0-9a-fA-F]{4}-?[0-9a-fA-F]{12})|(,\{0x[0-9a-fA-F]{2}(,0x[0-9a-fA-F]{2}){7}\}))[)}]?";./attacks-gadget/Assorted-nested-between_08_1.txt;11.53;0.1;1.75;2.48;34.58;4.05;0.83;12.92;160.46;130.38;1.41;1.66;4.1;3.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.09702
"^(\{1}[2-9]{1}[0-9]{2}\){1}[ ]?[2-9]{1}[0-9]{2}(-| )?[0-9]{4}|[2-9]{1}[0-9]{2}[ ]{1}[2-9]{1}[0-9]{2}[ ]{1}[0-9]{4}|[2-9]{1}[0-9]{2}[2-9]{1}[0-9]{6}|[2-9]{1}[0-9]{2}-{1}[2-9]{1}[0-9]{2}-{1}[0-9]{4}){1}$";./attacks-gadget/internetSources-nested-between_00_1.txt;0.12;0.18;1.76;2.21;8.85;3.67;0.96;3.22;TO;146.76;4.18;3.83;3.39;2.07;0;0;0;0;0;0;0;0;TO;0;0;0;0;0;50.0
"^((67\d{2})|(4\d{3})|(5[1-5]\d{2})|(6011))(-?\s?\d{4}){3}|(3[4,7])\d{2}-?\s?\d{6}-?\s?\d{5}$";./attacks-gadget/internetSources-nested-between_00_6.txt;0.0;0.47;0.86;1.9;11.1;5.11;0.65;8.74;143.66;50.93;5.25;3.38;4.73;2.83;0;432684;432684;1284129;1284129;109242;1284129;432684;432684;432684;432684;1284129;432684;1225224;49.06251
"^(([A-Za-z0-9\!\#\$\%\&\&#39\*\+\-\/\=\?\^_\`\{\|\}\~]+\.*)*[A-Za-z0-9\!\#\$\%\&\&#39\*\+\-\/\=\?\^_\`\{\|\}\~]+@((\w+\-+)|(\w+\.))*\w{1,63}\.[a-zA-Z]{2,6})$";./attacks-gadget/internetSources-nested-between_01_2.txt;1.75;0.26;0.65;2.2;24.61;3.12;0.0;8.7;48.29;40.97;2.82;4.16;5.76;1.89;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.9977
"^[+]\d{1,2}\(\d{2,3}\)\d{6,8}(\#\d{1,10})?$";./attacks-gadget/internetSources-nested-between_01_6.txt;0.06;0.08;0.89;2.06;3.68;2.69;0.58;1.32;106.6;76.1;0.97;1.83;1.14;2.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.99995
(LT-?)?([0-9]{9}|[0-9]{12});./attacks-gadget/internetSources-nested-between_03_2.txt;0.06;0.24;1.04;1.21;4.23;1.87;0.66;5.57;44.78;65.9;10.46;2.81;1.78;3.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9902
