pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^.{27};./attacks-gadget/snort2-between_33_1.txt;0.16;0.06;0.86;1.73;1.7;2.48;0.4;1.61;10.21;54.8;0.87;1.09;1.04;1.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.097853
"select\s+xmlquery\s*\x28\s*(\x27|\x22)[^\x27\x22]{512}";./attacks-gadget/snort2-between_63_1.txt;0.28;0.13;0.3;2.18;0.87;2.41;0.41;5.97;7.76;4.83;0.11;0.21;1.26;2.24;0;6984;0;0;0;0;0;0;504;7128;7128;504;0;0;49.885704
"\sAPPEND\s[^\n]{256}";./attacks-gadget/snort3-between-RN2_04_1.txt;4.73;0.37;5.6;90.6;7.09;2.42;3.16;4.29;6.19;8.24;0.14;0.4;0.83;2.4;0;45050;0;0;0;0;0;0;0;45050;45050;0;0;0;49.934525
"\sAUTHENTICATE\s[^\n]{100}";./attacks-gadget/snort-between_13_3.txt;6.34;0.04;2.84;39.31;9.66;2.3;4.92;5.09;6.65;13.06;0.3;0.69;0.57;1.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.010437
"\sDELETE\s[^\n]{100}";./attacks-gadget/snort-between-RN2_06_1.txt;4.67;0.43;0.68;18.16;7.11;2.23;2.71;4.22;8.78;12.51;0.42;1.17;0.79;2.34;0;364923;0;0;0;0;0;0;0;364923;364923;0;0;0;45.735687
"\sEXAMINE\s[^\n]{100}";./attacks-gadget/snort-between_04_5.txt;6.76;0.05;3.46;65.58;9.48;2.36;5.68;5.38;7.07;14.2;0.36;0.8;0.55;1.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.007105
"\sLOGIN\s[^\n]{100}";./attacks-gadget/snort-between-RN2_10_1.txt;5.0;0.43;0.45;17.52;7.27;2.28;2.26;4.07;8.73;12.3;0.42;1.24;0.74;2.28;0;390168;0;0;0;0;0;0;0;390168;390168;0;0;0;44.068564
"\sRENAME\s[^\n]{100}";./attacks-gadget/snort-between_01_3.txt;7.5;0.05;3.7;82.1;10.76;2.45;5.67;5.71;7.02;14.52;0.38;0.96;0.61;1.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.007203
"^APOP\s[^\n]{256}";./attacks-gadget/snort-between-RN2_32_1.txt;1.88;0.97;0.31;1.54;0.63;2.7;0.17;1.26;3.77;7.04;0.2;0.24;1.03;2.32;0;181153;0;0;0;0;0;0;0;181153;181153;0;0;0;49.092463
"^APOP\s+USER\s[^\n]{256}";./attacks-gadget/snort-between-RN2_33_1.txt;1.84;1.03;0.37;1.52;0.66;2.46;0.2;1.25;5.16;5.3;0.2;0.26;1.82;2.28;0;171059;0;0;0;0;0;0;0;171059;171059;0;0;0;49.093933
