pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"^((\+)?[1-9]{1,2})?([-\s\.])?((\(\d{1,4}\))|\d{1,4})(([-\s\.])?[0-9]{1,12}){1,2}$";./attacks-gadget/internetSources-nested-between_07_5.txt;0.1;0.47;2.43;2.48;27.84;ERR;1.37;10.86;136.95;164.29;10.99;10.73;5.92;3.14;0;3061200;3061200;3061200;3061200;ERR;3061200;3061200;3061200;3061200;3061200;3061200;3061200;3061200;49.9996
"^(([A-Za-z0-9]+_+)|([A-Za-z0-9]+\-+)|([A-Za-z0-9]+\.+)|([A-Za-z0-9]+\++))*[A-Za-z0-9]+@((\w+\-+)|(\w+\.))*\w{1,63}\.[a-zA-Z]{2,6}$";./attacks-gadget/uniq-nested-between_51.txt;0.0;0.22;6.02;4.34;49.81;2.87;3.05;20.01;TO;TO;5.58;6.86;13.24;4.26;0;0;0;0;0;0;0;0;TO;TO;0;0;0;0;49.8
"^([a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,6}$";./attacks-gadget/internetSources-nested-between_00_4.txt;0.0;0.03;0.01;0.53;0.34;4.99;0.0;0.33;0.18;0.04;0.02;0.7;0.6;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.6116
"""([0-9A-Fa-f]{2}[ ]){0,31}([0-9A-Fa-f]{2})""";./attacks-gadget/missing_9069_1.txt;0.18;0.14;0.35;1.63;12.35;4.1;0.19;4.31;8.22;14.13;0.22;2.52;3.77;1.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.093737
"""([a-f]{4}:){3}[a-f]{4}"""", ""?:"", """"[a-f]{4}:[a-f]{4}:[a-f]{4}:[a-f]{4}""";./attacks-gadget/missing_9070_1.txt;0.18;0.06;0.68;1.78;7.36;2.8;0.38;3.0;25.27;31.56;1.14;1.51;0.7;1.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.097216
"""([a-zA-Z]{3,30}\s*)+"""", """"[a-zA-Z]{3,30}"""", """".{3,30}""";./attacks-gadget/missing_9071_1.txt;8.57;0.73;0.72;1.84;TO;3.46;0.49;10.3;TO;121.37;23.42;TO;13.52;TO;347753;347753;347753;347753;TO;347753;347753;347753;TO;347753;347753;TO;347753;TO;49.092365
"""(\d{1,2})?\s?\[\d{3}\]\s?\d{4}-?\d{4}"""", ""(\d{1,2})?\s?\[\d{3}\]\s?\d{4}-?\d{4";./attacks-gadget/missing_9072_1.txt;0.02;0.11;1.32;2.17;10.81;3.06;0.0;4.3;79.24;69.22;ERR;1.49;0.06;1.67;0;0;0;0;0;0;ERR;0;0;0;ERR;0;;0;49.097314
""", "".*Error:.*"", "".*"", ""(.*Error:.*)"", "".";./attacks-gadget/missing_9074_1.txt;0.15;0.59;1.1;1.96;15.92;1.06;0.6;6.72;25.79;69.86;1.92;1.73;5.75;1.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.097216
""", ""\\d{1,3}.\d{1,3}.\d{1,3}.\d{1,3}(\w+)+"", """", ""\\\\d{1,3}.\d{1,3}.\d{1,3}.\d{1,3}(\\w+)+"", ""(\w+)";./attacks-gadget/stackoverflow-nested-between_07_1.txt;0.03;0.05;0.01;2.55;TO;2.08;0.25;0.31;0.32;0.03;0.04;TO;0.92;2.3;0;0;0;0;TO;0;0;0;0;0;0;TO;0;0;49.331966
""".*(header_\d{10,11}_).*(_.*_\d{8})[^.]*(\.\w{3,4})?""";./attacks-gadget/missing_9077_1.txt;0.02;0.09;0.18;2.09;110.74;1.68;0.12;13.9;20.98;5.7;24.0;16.74;21.56;5.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.328536
