pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"^SITE\s+CPWD\s[^\n]{100}";./attacks-gadget/snort-between-RN2_65_1.txt;3.43;0.51;0.3;1.48;0.92;2.4;0.21;1.38;8.2;9.68;0.48;0.45;1.8;2.19;0;423213;0;0;0;0;0;0;0;423213;423213;0;0;0;49.092708
"^SITE\s+CHOWN\s[^\n]{100}";./attacks-gadget/snort-between-RN2_67_1.txt;2.04;0.53;0.29;1.46;0.91;2.28;0.22;1.37;6.66;8.79;0.46;0.48;1.7;2.26;0;392784;0;0;0;0;0;0;0;392784;392784;0;0;0;49.098
"^SITE\s+NEWER\s[^\n]{100}";./attacks-gadget/snort-between-RN2_68_1.txt;3.23;0.52;0.32;1.53;0.98;2.33;0.23;1.22;9.02;11.81;0.46;0.44;1.59;2.2;0;409150;0;0;0;0;0;0;0;409150;409150;0;0;0;49.098
"^SITE\s+ZIPCHK\s[^\n]{100}";./attacks-gadget/snort-between-RN2_69_1.txt;2.3;0.56;0.32;1.48;0.96;2.32;0.21;1.38;9.66;11.65;0.51;0.42;1.53;2.25;0;412580;0;0;0;0;0;0;0;412580;412580;0;0;0;49.09702
"^RNFR\s[^\n]{200}";./attacks-gadget/snort-between-RN2_61_1.txt;2.06;0.96;0.25;1.48;0.65;2.49;0.17;1.3;4.46;5.66;0.25;0.27;0.98;2.1;0;232652;0;0;0;0;0;0;0;232652;232652;0;0;0;49.089572
"^SITE\s+CHMOD\s[^\n]{200}";./attacks-gadget/snort-between-RN2_66_1.txt;2.61;1.07;0.25;1.44;0.7;2.4;0.23;1.21;4.76;5.49;0.26;0.3;1.66;2.16;0;216286;0;0;0;0;0;0;0;216286;216286;0;0;0;49.096922
"^STOU\s[^\n]{200}";./attacks-gadget/snort-between-RN2_71_1.txt;2.42;0.96;0.25;1.48;0.68;2.45;0.21;1.26;4.22;5.77;0.24;0.29;1.1;2.1;0;230496;0;0;0;0;0;0;0;230496;230496;0;0;0;49.095648
"^PWD\s.{190}";./attacks-gadget/snort-between_13_4.txt;3.38;0.05;0.28;1.49;0.64;2.34;0.17;1.28;2.95;7.02;0.15;0.25;0.88;1.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9938
"^Authorization\x3a\s*Negotiate\s*((YE4G.{40}LgMc)|(YIIQ.{40}QUFB))";./attacks-gadget/bech3-between_9225_1.txt;0.0;0.53;0.38;1.57;2.1;1.82;0.24;1.56;24.03;18.49;0.49;0.66;3.05;2.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.091091
".*<OBJECT\s+[^>]*type\s*=[\x20\x20]\x20{32}";./attacks-gadget/yang2010-between_05_1.txt;0.0;0.2;0.16;1.71;TO;1.03;0.01;5.61;90.31;13.2;0.09;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;49.657104
