pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"(((((00|\+)49[ \-/]{0,1})|0)[1-9][0-9]{1,4}[ \-/]{0,1}|(((00|\+)49\()|\(0)[1-9][0-9]{1,4}\))[0-9]{1,7}[ \-/]{0,1}[0-9]{1,5})";./attacks-gadget/Assorted-between_00_1.txt;ERR;0.76;0.62;1.43;12.82;2.05;0.59;8.67;55.26;51.21;4.68;3.3;4.21;1.79;ERR;2127600;2127600;2127600;2127600;2127600;2127600;2127600;2127600;2127600;2127600;2127600;2127600;2127600;49.572
"((\+44\s?\(0\)\s?\d{2,4})|(\+44\s?(01|02|03|07|08)\d{2,3})|(\+44\s?(1|2|3|7|8)\d{2,3})|(\(\+44\)\s?\d{3,4})|(\(\d{5}\))|((01|02|03|07|08)\d{2,3})|(\d{5}))(\s|-|.)(((\d{3,4})(\s|-)(\d{3,4}))|((\d{6,7})))";./attacks-gadget/Assorted-between_00_2.txt;0.0;0.4;1.05;2.45;59.81;13.9;0.71;19.46;205.94;74.32;9.22;6.96;7.03;2.7;0;1576563;1576563;1576563;1576563;1576563;1576563;1576563;1576563;1576563;1576563;1576563;1576563;1576563;49.356984
"(\+{1}|00)\s{0,1}([0-9]{3}|[0-9]{2})\s{0,1}\-{0,1}\s{0,1}([0-9]{2}|[1-9]{1})\s{0,1}\-{0,1}\s{0,1}([0-9]{8}|[0-9]{7})";./attacks-gadget/Assorted-between_00_3.txt;10.65;0.56;1.37;2.2;36.93;5.92;1.0;14.49;122.36;96.5;11.17;7.72;8.08;3.3;1444850;1444850;1444850;1444850;1444850;1444850;1444850;1444850;1444850;1444850;1444850;1444850;1444850;1444850;49.8562
"((((0031)|(\+31))(\-)?6(\-)?[0-9]{8})|(06(\-)?[0-9]{8})|(((0031)|(\+31))(\-)?[1-9]{1}(([0-9](\-)?[0-9]{7})|([0-9]{2}(\-)?[0-9]{6})))|([0]{1}[1-9]{1}(([0-9](\-)?[0-9]{7})|([0-9]{2}(\-)?[0-9]{6}))))";./attacks-gadget/Assorted-between_00_4.txt;17.55;0.25;1.72;2.41;48.71;4.9;1.04;29.12;TO;129.48;10.57;8.57;4.26;3.43;0;0;0;0;0;0;0;0;TO;0;0;0;0;0;49.53025
"(([0-9]{3})[ \-\/]?([0-9]{3})[ \-\/]?([0-9]{3}))|([0-9]{9})|([\+]?([0-9]{3})[ \-\/]?([0-9]{2})[ \-\/]?([0-9]{3})[ \-\/]?([0-9]{3}))";./attacks-gadget/Assorted-between_00_5.txt;0.15;0.26;1.58;2.28;48.45;8.59;0.0;23.98;142.53;117.5;11.12;7.86;3.62;3.17;806450;806450;806450;806450;806450;806450;ERR;806450;806450;806450;806450;806450;806450;806450;49.9999
"((\+){1}[1-9]{1}[0-9]{0,1}[0-9]{0,1}(\s){1}[\(]{1}[1-9]{1}[0-9]{1,5}[\)]{1}[\s]{1})[1-9]{1}[0-9]{4,9}";./attacks-gadget/Assorted-between_00_1.txt;0.18;0.1;2.06;2.73;11.22;2.23;1.19;4.54;127.73;153.54;3.06;3.35;1.55;2.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9989
"(0|(\+)?([1-9]{1}[0-9]{0,3})|([1-5]{1}[0-9]{1,4}|[6]{1}([0-4]{1}[0-9]{3}|[5]{1}([0-4]{1}[0-9]{2}|[5]{1}([0-2]{1}[0-9]{1}|[3]{1}[0-5]{1})))))";./attacks-gadget/Assorted-between_00_2.txt;0.06;0.26;0.44;0.79;2.56;1.3;0.31;1.87;48.15;36.63;1.16;0.96;1.0;1.1;1239600;1239600;1239600;1239600;1239600;0;1239600;1239600;1239600;1239600;1239600;1239600;1239600;1239600;49.9972
"(0|[-]{1}([1-9]{1}[0-9]{0,3}|[1-2]{1}[0-9]{1,4}|[3]{1}([0-1]{1}[0-9]{3}|[2]{1}([0-6]{1}[0-9]{2}|[7]{1}([0-5]{1}[0-9]{1}|([6]{1}[0-8]{1})))))|(\+)?([1-9]{1}[0-9]{0,3}|[1-2]{1}[0-9]{1,4}|[3]{1}([0-1]{1}[0-9]{3}|[2]{1}([0-6]{1}[0-9]{2}|[7]{1}([0-5]{1}[0-9]{1}|([6]{1}[0-7]{1}))))))";./attacks-gadget/Assorted-between_00_3.txt;0.13;0.55;4.48;3.63;44.24;3.0;2.27;18.44;TO;TO;33.32;22.7;11.06;4.0;0;0;0;0;0;0;0;0;TO;TO;0;0;0;0;50.0
"([A-Za-z]{0,}[\.\,\s]{0,}[A-Za-z]{1,}[\.\s]{1,}[0-9]{1,2}[\,\s]{0,}[0-9]{4})| ([0-9]{0,4}[-,\s]{0,}[A-Za-z]{3,9}[-,\s]{0,}[0-9]{1,2}[-,\s]{0,}[A-Za-z]{0,8})| ([0-9]{1,4}[\/\.\-][0-9]{1,4}[\/\.\-][0-9]{1,4})";./attacks-gadget/Assorted-between_00_2.txt;7.1;0.13;0.2;1.68;TO;2.92;0.0;16.05;TO;35.9;TO;TO;TO;72.36;0;0;0;0;TO;0;ERR;0;TO;0;TO;TO;TO;0;49.800856
"\D{0,2}[0]{0,3}[1]{0,1}\D{0,2}([2-9])(\d{2})\D{0,2}(\d{3})\D{0,2}(\d{3})\D{0,2}(\d{1})\D{0,2}";./attacks-gadget/Assorted-between_00_3.txt;0.14;0.4;1.16;2.26;13.54;5.21;0.78;6.04;91.8;82.56;3.36;3.28;4.47;1.9;0;2349300;2349300;2349300;2349300;2349300;2349300;2349300;2349300;2349300;2349300;2349300;2349300;2349300;49.8642
