pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"((([\+][\s]{0,1})|([0]{2}[\s-]{0,1}))([358]{3})([\s-]{0,1})|([0]{1}))(([1-9]{1}[0-9]{0,1})([\s-]{0,1})([0-9]{2,4})([\s-]{0,1})([0-9]{2,4})([\s-]{0,1}))([0-9]{0,3}){1}";./attacks-gadget/Assorted-nested-between_00_3.txt;0.2;0.41;2.12;2.68;38.62;4.53;1.59;20.0;TO;TO;14.55;9.71;6.52;4.3;2063100;2697900;2697900;3650100;3650100;3650100;3650100;2697900;TO;TO;2697900;3650100;2697900;3650100;49.9905
"(\d{1,2})\W+(\d{1,2})\W*(\d{2,4})?|(\d{4})\W(\d{1,2})\W(\d{1,2})|([a-zA-Z]+)\W*(\d{1,2})\W+(\d{2,4})|(\d{4})\W*([a-zA-Z]+)\W*(\d{1,2})|(\d{1,2})\W*([a-zA-Z]+)\W*(\d{2,4})|(\d{1,2})\W*([a-zA-Z]+)|([a-zA-Z]+)\W*(\d{1,2})|(\d{2})(\d{2})(\d{2,4})?";./attacks-gadget/Assorted-nested-between_00_4.txt;0.0;0.32;2.2;3.89;66.69;71.3;1.06;22.12;TO;153.14;35.55;25.94;6.8;4.22;0;0;0;0;0;0;0;0;TO;0;0;0;0;0;49.99945
"(((([\*]{1}){1})|((\*\/){0,1}(([0-9]{1}){1}|(([1-5]{1}){1}([0-9]{1}){1}){1}))) ((([\*]{1}){1})|((\*\/){0,1}(([0-9]{1}){1}|(([1]{1}){1}([0-9]{1}){1}){1}|([2]{1}){1}([0-3]{1}){1}))) ((([\*]{1}){1})|((\*\/){0,1}(([1-9]{1}){1}|(([1-2]{1}){1}([0-9]{1}){1}){1}|([3]{1}){1}([0-1]{1}){1}))) ((([\*]{1}){1})|((\*\/){0,1}(([1-9]{1}){1}|(([1-2]{1}){1}([0-9]{1}){1}){1}|([3]{1}){1}([0-1]{1}){1}))|(jan|feb|mar|apr|may|jun|jul|aug|sep|okt|nov|dec)) ((([\*]{1}){1})|((\*\/){0,1}(([0-7]{1}){1}))|(sun|mon|tue|wed|thu|fri|sat)))";./attacks-gadget/Assorted-nested-between_01_1.txt;0.14;0.21;2.25;2.73;103.41;1.41;0.0;38.44;TO;165.27;56.23;20.04;7.94;7.05;0;0;0;0;0;0;ERR;0;TO;0;0;0;0;0;49.9888
"[+]\d{1,2}\(\d{2,3}\)\d{6,8}(\#\d{1,10})?";./attacks-gadget/Assorted-nested-between_01_2.txt;0.07;0.16;1.16;2.55;4.14;2.85;0.66;1.41;115.64;87.08;1.16;2.04;1.2;2.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9987
"((\(\d{3}\) ?)|(\d{3}-)|(\(\d{2}\) ?)|(\d{2}-)|(\(\d{1}\) ?)|(\d{1}-))?\d{3}-(\d{3}|\d{4})";./attacks-gadget/Assorted-nested-between_02_1.txt;0.07;0.25;1.8;3.47;41.12;5.08;0.77;14.91;TO;127.92;5.25;7.31;2.28;3.25;0;0;0;0;0;0;0;0;TO;0;0;0;0;0;49.99925
"http[s]?://([a-zA-Z0-9\-]+\.)*([a-zA-Z]{3,61}|[a-zA-Z]{1,}\.[a-zA-Z]{2})/.*";./attacks-gadget/Assorted-nested-between_02_3.txt;0.21;0.42;0.62;1.82;19.1;2.38;0.37;9.16;28.15;35.81;2.02;2.9;6.89;2.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.929
"(\+\d{2}[ \-]{0,1}){0,1}(((\({0,1}[ \-]{0,1})0{0,1}\){0,1}[2|3|7|8]{1}\){0,1}[ \-]*(\d{4}[ \-]{0,1}\d{4}))|(1[ \-]{0,1}(300|800|900|902)[ \-]{0,1}((\d{6})|(\d{3}[ \-]{0,1}\d{3})))|(13[ \-]{0,1}([\d \-]{5})|((\({0,1}[ \-]{0,1})0{0,1}\){0,1}4{1}[\d \-]{8,10})))";./attacks-gadget/Assorted-nested-between_02_5.txt;0.16;1.78;1.23;3.08;122.95;97.48;14.19;36.14;TO;94.54;40.44;24.07;29.14;5.57;0;165900;165900;165900;165900;165900;165900;165900;TO;165900;165900;165900;165900;165900;49.2912
"((\d{2,4})/)?((\d{6,8})|(\d{2})-(\d{2})-(\d{2,4})|(\d{3,4})-(\d{3,4}))";./attacks-gadget/Assorted-nested-between_03_1.txt;0.06;0.24;1.55;3.18;36.14;5.18;0.78;9.5;TO;110.55;17.33;6.38;1.87;3.23;0;0;0;0;0;0;0;0;TO;0;0;0;0;0;49.9995
"(\{1}[2-9]{1}[0-9]{2}\){1}[ ]?[2-9]{1}[0-9]{2}(-| )?[0-9]{4}|[2-9]{1}[0-9]{2}[ ]{1}[2-9]{1}[0-9]{2}[ ]{1}[0-9]{4}|[2-9]{1}[0-9]{2}[2-9]{1}[0-9]{6}|[2-9]{1}[0-9]{2}-{1}[2-9]{1}[0-9]{2}-{1}[0-9]{4}){1}";./attacks-gadget/Assorted-nested-between_03_2.txt;0.21;0.46;1.5;2.24;24.06;7.96;0.95;8.05;172.5;107.29;8.11;5.85;5.52;2.32;1148400;1148400;1148400;1148400;1148400;1148400;1148400;1148400;1148400;1148400;1148400;1148400;1148400;1148400;49.9235
"[/]*([^/\\ \:\*\?""\<\>\|\.][^/\\\:\*\?""\<\>\|]{0,63}/)*[^/\\ \:\*\?""\<\>\|\.][^/\\\:\*\?""\<\>\|]{0,63}";./attacks-gadget/Assorted-nested-between_03_3.txt;9.5;0.96;8.1;5.72;46.36;3.89;0.0;13.88;TO;TO;21.02;19.6;7.86;6.22;0;0;0;0;0;0;ERR;0;TO;TO;25000000;25000000;0;0;50.0
