pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
.*BA{0,50}(EC|EE)A{0,10}[DE]{86,86}FF.*;./attacks-gadget/MSInternal-between_00_4.txt;0.04;0.18;0.16;1.61;2.43;1.11;0.46;1.95;1.23;1.43;0.13;0.18;4.66;0.88;42771;42771;42771;42771;42771;42771;42771;42771;42771;42771;42771;42771;42771;42771;49.191261
.*A[^AB]{0,400}[CG][EF]{43,43}G[^DF].*;./attacks-gadget/MSInternal-between_01_1.txt;49.57;0.18;0.19;1.66;3.3;1.48;0.31;8.2;1.2;1.18;0.26;0.33;1.02;0.91;33792;33792;33792;33792;33792;66;33792;33792;33792;33792;33792;33792;33792;33792;49.941606
.*A[^AB]{0,800}C[D-G]{43,53}DFG[^D-H].*;./attacks-gadget/MSInternal-between_01_2.txt;150.26;0.14;0.2;1.61;3.82;1.66;0.66;8.39;1.16;0.96;0.33;0.42;3.96;0.99;26042;26042;26042;26042;26042;26042;26042;26042;26042;26042;26042;26042;26042;26042;49.412578
.*A.*[BD]C{86,86}DD.*;./attacks-gadget/MSInternal-between_01_4.txt;0.07;0.43;0.12;1.34;TO;0.92;0.18;8.73;1.41;0.93;0.51;27.74;52.86;22.14;12342;12342;12342;12342;TO;12342;12342;12342;12342;12342;12342;12342;12342;12342;49.270386
.*[AC]B{70,70}CC.*;./attacks-gadget/MSInternal-between_01_6.txt;0.03;0.19;0.16;1.5;2.54;1.0;0.48;1.97;1.23;1.38;0.2;0.29;0.83;0.92;42728;42728;42728;42728;42728;42728;42728;42728;42728;42728;42728;42728;42728;42728;49.741272
.*GDIIJFHE[AB]+[C-J]{52,52}([AB].*|B+.*);./attacks-gadget/MSInternal-between_02_1.txt;12.33;0.14;0.16;1.58;7.68;1.04;0.36;2.81;1.15;0.88;0.2;0.37;1.55;1.06;24820;24820;24820;24820;24820;24820;24820;24820;24820;24820;24820;24820;24820;24820;49.689232
.*A.*(JSNRBHG|JSNRHM|TOM).*([^K-U]QUM|IKSSUPRM)F[^CD][^CE]{7,128}C.*;./attacks-gadget/MSInternal-between_00_1.txt;16.1;0.2;0.15;1.6;11.03;1.02;0.34;13.64;1.77;0.7;0.7;0.6;1.87;1.02;16072;16072;16072;16072;16072;16072;16072;16072;16072;16072;16072;16072;16072;16072;49.19894
.*ADCC[B-D]{200,200}.*;./attacks-gadget/MSInternal-between_00_2.txt;3.39;0.19;0.16;1.52;2.66;1.2;0.24;6.61;1.0;1.31;0.11;0.19;0.8;0.89;38269;38269;38269;38269;38269;38269;38269;38269;38269;38269;38269;38269;38269;38269;49.070413
.*IHEGFJDCA[BD-J]{60,60}A.*;./attacks-gadget/MSInternal-between_00_3.txt;3.16;0.12;0.16;1.58;2.1;1.04;0.22;1.85;1.03;1.47;0.1;0.16;0.82;0.86;44737;44737;44737;44737;44737;44737;44737;44737;44737;44737;44737;44737;44737;44737;49.066836
.*BA{0,50}(FD|FF)A{0,10}[E-G]{43,43}H[^CG].*;./attacks-gadget/MSInternal-between_00_5.txt;11.01;0.09;0.16;1.62;2.0;1.1;0.47;1.81;1.24;1.54;0.11;0.16;1.59;0.88;46354;46354;46354;46354;46354;46354;46354;46354;46354;46354;46354;46354;46354;46354;49.055027
.*A[^AB]{0,400}[CE]D{86,86}EE.*;./attacks-gadget/MSInternal-between_00_6.txt;48.42;0.32;0.19;1.59;3.26;1.43;0.49;7.34;1.24;1.15;0.27;0.29;1.04;0.92;32340;32340;32340;32340;32340;32340;32340;32340;32340;32340;32340;32340;32340;32340;49.088788
.*DOHILMPKGKV[^F]+(JKISVRTMQPGKVA*EA*B[CH-K]{48,}|UHNMJHTMQPGKVA*EA*B[CH-K]{48,})[^F]+F.*;./attacks-gadget/MSInternal-between_01_3.txt;15.52;0.12;0.15;1.69;224.03;1.13;0.28;13.54;1.95;0.6;1.24;13.26;33.77;5.97;10241;10241;10241;10241;10241;10241;10241;10241;10241;10241;10241;10241;10241;10241;49.463344
.*A.*[BD]C{43,43}D[^E].*;./attacks-gadget/MSInternal-between_01_5.txt;0.0;0.04;0.16;1.58;TO;0.99;0.11;4.78;1.45;0.88;0.04;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;49.158956
.*A.*B[C-F]{43,53}CEF[^C-F].*;./attacks-gadget/MSInternal-between_02_2.txt;0.0;0.04;0.16;1.55;TO;0.96;0.1;4.35;1.22;0.87;0.02;138.2;TO;186.41;0;0;0;0;TO;0;0;0;0;0;0;0;TO;0;49.136808
.*A.*(JSNRCHG|JSNRHM|TOM).*([^K-U]QUM|IKSSUPRM)F[^DE][^A-D]{7,128}D.*;./attacks-gadget/MSInternal-between_02_3.txt;15.37;0.2;0.14;1.55;113.9;1.09;0.32;13.45;2.35;0.83;1.01;8.94;17.16;2.43;15974;15974;15974;15974;15974;15974;15974;15974;15974;15974;15974;15974;15974;15974;49.181202
