pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"<(Members just like YOU are earning up to \d{1,8}(\,\d{1,5})? USD a DAY using this same software\.|Our members are making around \$\d{1,8}(\,\d{1,5})? per day without effort|\$\d{1,8}(\,\d{1,5}(\.\d{1,5})?)? per month all in the same sentence)";./attacks-gadget/TrustPort-nested_00_1.txt;0.12;0.28;0.53;1.88;4.42;ERR;0.0;2.08;56.14;29.82;1.48;1.14;3.8;1.14;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;49.084182
"^application\/zip name=""([a-z0-9]{2,5}\.)?INVOICE_\d{2,25}_[\w\-\.]{1,35}\.zip""";./attacks-gadget/TrustPort-nested_14_1.txt;0.21;0.24;0.62;2.18;2.94;1.95;0.0;1.84;28.9;42.81;0.69;0.97;2.76;1.12;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.090356
"\$\d{1,6}(,|\.\d{1,6})?\s*Penalty(\s*-\s*ID:\d{1,10})?\>";./attacks-gadget/TrustPort-nested_19_1.txt;0.08;0.2;1.44;2.34;16.4;2.65;0.0;5.17;85.99;97.23;2.53;3.06;4.25;1.99;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.096432
"^application\/zip name=""(CONTRACT|INVOICE)_\d{1,20}_[-\.a-z0-9]{1,20}(_[a-z0-9]{1,15})?\.zip""";./attacks-gadget/TrustPort-nested_21_1.txt;0.14;0.54;0.45;1.74;8.56;1.93;0.0;3.14;20.95;27.22;2.64;2.5;5.0;1.21;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.766445
"<div id=""[^""]{1,50}"">\s*(<span id=""[^""]{1,50}"">\s*){1,3}";./attacks-gadget/TrustPort-nested_24_1.txt;0.16;0.51;0.43;1.65;3.72;2.17;0.35;2.98;22.04;19.53;0.84;0.77;7.13;2.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.7717
"^[^\x20]{180,}\x20--\x20[^\x20]{2,30}\x20([^\x20]{0,30}\<avast[^\x20]{0,60}\x20)?$";./attacks-gadget/TrustPort-nested_25_1.txt;0.02;0.08;0.08;0.6;0.55;0.65;0.0;0.52;6.59;5.94;0.1;0.22;0.69;1.66;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;40.07796
"^[^\x20]{10,100}\x20\x20http://worldpay\.googlegroups\.com/web/Worldpay[^\x20]{2,220}\x20\x20([^\x20]{2,120}\x20){2,8}\x20([^\x20]{2,120}\x20){2,8}\x20\x20$";./attacks-gadget/TrustPort-nested_27_1.txt;0.06;0.22;ERR;0.75;0.74;0.8;11.13;0.74;15.47;8.05;0.21;0.64;2.28;1.99;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;49.2897
"[^\x20]{5,180}\x20\x20http://[-.a-z0-9]{1,40}\.[a-z]{2,4}/\?\d{2,10}\x20(\x20[^\x20]{2,180}\x20){3,20}";./attacks-gadget/TrustPort-nested_28_1.txt;0.15;0.59;ERR;1.74;51.35;2.96;24.39;0.31;17.14;12.12;10.91;2.83;13.63;6.97;0;7571;ERR;3886;3886;0;3886;ERR;3886;7571;7571;3886;3886;3886;49.336187
"\x20<BODY><b>[^<]{1,20}!</b><br><br>\x20([^<]{1,180}<br>\x20){2}<br>\x20<b>[^<]{1,150}</b><br>\x20(\d. [^<]{1,30}<br>\x20){2}\d. [^<]{1,30}<br><br>\x20[^<]{1,150}<a href=[^<]{1,80}.[a-zA-Z]{2,3}";./attacks-gadget/TrustPort-nested_29_1.txt;0.04;0.16;0.3;1.59;3.08;2.13;0.46;6.43;25.36;7.3;0.16;0.63;2.74;2.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.289472
"\<invoice copy attached|find attached (\S{1,20} )?invoice|find your latest invoice attached";./attacks-gadget/TrustPort-nested-between_00_1.txt;0.01;0.04;0.13;0.73;1.72;1.2;0.0;0.27;0.16;0.02;0.09;0.59;1.56;0.92;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.679
"^(.*)?to invest \$\d{1,5}(\.\d{1,5})? (M|m)illion to \$\d{1,5}(\.\d{1,5})? (M|m)illion(.*)?$";./attacks-gadget/TrustPort-nested-between_01_1.txt;0.18;0.18;0.58;1.9;18.37;2.02;0.34;3.56;71.29;33.18;2.53;2.14;2.48;2.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.092512
"^\x20DNES (\S{1,15} ){1,3}\/ V.{1,2}ECHNY (\S{1,15} ){1,3}\/ (\S{1,15} ){0,2}NOV\S( \S{1,15}){0,3}\s*\x20[^\x20]{10,120}\x20";./attacks-gadget/TrustPort-nested-between_02_1.txt;0.02;0.09;0.94;1.62;7.16;ERR;0.0;5.64;129.66;62.24;0.7;0.96;3.32;2.6;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;49.097755
