pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"^Referer\x3a[^\r\n]+\/[\w_]{32,}\.html$";./attacks-gadget/bech1-RN_00_1.txt;0.0;0.16;0.52;2.04;5.26;1.64;0.0;3.18;43.64;28.08;1.14;1.25;1.51;2.28;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.097853
" ]{1,75}\s*\)\s*document\.execCommand\(\s*[\x22\x27]Undo[\x22\x27]\s*\)\s*\x3B";./attacks-gadget/snort2-between_00_1.txt;0.19;0.38;0.66;1.83;8.21;2.21;0.36;3.97;43.22;36.25;1.31;1.77;1.87;1.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.09702
"&itwm=([a-z0-9\-\=]{1,50})";./attacks-gadget/snort2-between_01_1.txt;4.8;0.12;2.72;2.5;6.47;1.73;0.0;3.44;56.6;TO;4.33;4.18;2.11;2.27;0;0;0;0;0;0;ERR;0;0;TO;0;0;0;0;49.7
(__proto__|setPrototype).{0,50}prototype;./attacks-gadget/snort2-between_02_1.txt;0.09;0.07;0.22;0.93;4.28;1.07;0.19;0.24;0.94;0.05;0.03;0.88;1.32;1.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.63727
".php\?q=\d{1,4}\.\d{2,4}\.\d{1,3}\.\d{1,3}\.\d{1,3}\.[0-9a-f]{64}\.1.\d{4,6}";./attacks-gadget/snort2-between_03_1.txt;0.0;0.19;0.34;1.76;17.88;2.35;0.2;4.09;14.69;15.24;0.44;0.56;2.93;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.097118
"V(BA|.BA|B.A).{0,50}C(.reate|r.eate|re.ate|rea.te|reat.e|reate).{0,75}\x22ell";./attacks-gadget/snort2-between_05_1.txt;7.42;0.18;0.31;1.65;6.94;2.58;0.15;3.16;18.43;10.3;0.17;0.68;2.18;2.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.25349
"V(BA|.BA|B.A).{0,50}C(.reate|r.eate|re.ate|rea.te|reat.e|reate).{0,75}ell\x22";./attacks-gadget/snort2-between_06_1.txt;119.98;0.19;0.4;1.96;6.86;2.8;0.15;3.3;20.61;11.91;0.18;0.74;2.02;2.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.759247
[^&]+&[a-z]=[a-f0-9]{16}&[a-z]=[a-f0-9]{16}$;./attacks-gadget/snort2-between_07_1.txt;31.33;0.38;0.62;1.65;42.88;2.66;0.26;5.72;47.31;36.22;1.04;1.42;0.76;7.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.098
[a-f0-9]{32}=[a-f0-9]{32};./attacks-gadget/snort2-between_08_1.txt;29.39;0.06;0.43;1.71;25.66;3.22;0.22;22.36;7.3;21.92;0.55;0.95;0.61;8.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.096775
"[a-z0-9]{32}\.jar";./attacks-gadget/snort2-between_09_1.txt;0.0;0.06;0.67;1.86;17.5;2.72;0.21;20.79;9.0;40.5;0.57;1.46;0.66;8.46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.097412
"\.php\?[a-z]{2,8}=[a-z0-9]{2}\x3a[a-z0-9]{2}\x3a[a-z0-9]{2}\x3a[a-z0-9]{2}\x3a[a-z0-9]{2}\&[a-z]{2,8}=";./attacks-gadget/snort2-between_10_1.txt;0.2;0.19;1.0;1.76;4.69;2.51;0.55;2.46;54.55;62.47;1.55;1.53;4.02;1.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.096628
"\/3\/[A-Z]{2}\/[a-f0-9]{32}\.djvu";./attacks-gadget/snort2-between_11_1.txt;0.0;0.08;0.91;1.82;3.25;2.28;0.0;2.18;18.5;56.18;0.69;1.3;0.82;1.5;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.097853
"\/3\/[A-Z]{2}\/[a-f0-9]{32}\.mkv";./attacks-gadget/snort2-between_12_1.txt;0.0;0.07;0.91;1.85;3.36;2.33;0.0;2.28;18.8;58.23;0.71;1.38;0.85;1.49;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.098
"\/[a-f0-9]{32}\.jar$";./attacks-gadget/snort2-between_14_1.txt;0.0;0.06;0.7;1.56;3.1;2.24;0.0;2.06;9.65;38.48;0.54;1.19;0.71;1.51;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.097853
"\/[a-f0-9]{32}\/[a-f0-9]{32}\x22";./attacks-gadget/snort2-between_15_1.txt;0.04;0.06;0.44;1.63;3.87;2.76;0.0;2.68;8.6;21.33;0.69;0.98;0.62;1.54;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.097265
"\/[a-f0-9]{32}\/\d{10}\/[a-f0-9]{32}\/\d{10}\.tpl$";./attacks-gadget/snort2-between_16_1.txt;0.0;0.06;0.35;1.55;4.37;3.01;0.0;2.72;8.97;15.69;0.21;1.11;0.62;1.76;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.096628
"\/[a-zA-Z0-9]{32}\.jar";./attacks-gadget/snort2-between_17_1.txt;0.0;0.06;0.68;1.8;3.21;2.2;0.0;2.27;10.24;39.91;0.52;1.1;0.72;1.54;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.097853
"\/\?[0-9a-f]{32}";./attacks-gadget/snort2-between_18_1.txt;3.67;0.06;0.73;1.78;1.71;2.5;0.0;2.34;10.42;43.37;0.94;1.27;0.66;1.46;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.09702
"\/\?[a-z0-9]{9}\=[a-zA-Z0-9]{45}";./attacks-gadget/snort2-between_19_1.txt;3.48;0.05;0.46;1.64;1.56;2.47;0.0;1.99;9.08;25.24;0.61;0.82;0.68;1.33;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.095354
"\/i\.html\?[a-z0-9]+\=[a-zA-Z0-9]{25}";./attacks-gadget/snort2-between_20_1.txt;3.64;0.07;0.7;1.73;1.88;2.07;0.0;2.16;15.76;40.62;1.08;1.21;1.66;1.33;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.09702
"\/jdb\/inf\.php\?id=[a-f0-9]{32}$";./attacks-gadget/snort2-between_21_1.txt;3.47;0.06;0.55;1.56;1.31;2.07;0.0;1.94;9.29;29.72;0.74;1.08;1.02;1.24;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.098
"\/open\?id=.{60,70}";./attacks-gadget/snort2-between_22_1.txt;15.8;0.31;3.25;2.33;1.3;2.37;0.0;2.0;8.57;21.26;0.49;0.68;1.24;2.46;0;499350;0;0;0;0;ERR;0;0;499350;499350;0;0;0;49.5468
"\x28\x3f\x3d[^)]{300}";./attacks-gadget/snort2-between_23_1.txt;0.03;0.22;36.9;TO;0.9;2.4;3.22;4.41;3.59;5.2;0.49;0.25;0.71;2.74;0;134270;0;TO;0;0;0;0;135140;135430;135430;135140;0;0;49.28115
"\x2ephp\x3fc_id\x3d\d{2}\x26n_id\x3d\d{2,4}\x26token\x3d[a-zA-Z0-9]{32}$";./attacks-gadget/snort2-between_24_1.txt;0.0;0.06;0.64;1.75;2.28;2.12;0.27;1.9;28.1;35.78;0.75;0.9;3.97;1.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.095942
