pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"encoding\x3D[\x22\x27][^\x22\x27]{1024}";./attacks-gadget/snort2-above_00_1.txt;0.88;0.85;ERR;1.95;0.49;2.25;0.49;0.27;1.74;1.27;0.4;0.57;1.01;2.12;0;40660;ERR;0;0;0;0;ERR;40604;40660;40660;40604;0;0;44.774392
"session_id=\x22[^\x22]{0,1000}([\x60\x3b\x7c]|\x24\x28|%60|%3b|%7c|%26|%24%28)";./attacks-gadget/snort2-above_01_1.txt;0.86;1.1;0.44;1.86;28.91;2.48;1.64;13.93;7.0;2.84;3.18;1.95;4.13;2.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.627728
"version\x3D[\x22\x27][^\x22\x27]{1024}";./attacks-gadget/snort2-above_02_1.txt;0.86;0.82;ERR;2.04;0.55;2.26;0.38;0.29;1.81;1.3;0.4;0.28;0.96;1.99;0;41152;ERR;0;0;0;0;ERR;15140;41152;41152;15140;0;0;44.113236
"TIME_ZONE\s*=\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}))";./attacks-gadget/snort3-above_01_1.txt;1.78;1.12;ERR;3.31;0.88;2.76;5.24;6.14;2.7;1.23;0.37;0.29;1.79;2.34;0;35037;ERR;0;0;0;0;0;1989;35037;35037;1989;0;0;49.96011
"\(\s*(\x27[^\x27]{1024,}|\x22[^\x22]{1024,})";./attacks-gadget/snort3-above_08_1.txt;1.78;0.12;ERR;3.48;6.54;2.5;5.61;0.35;3.9;2.0;0.62;0.56;1.48;2.18;0;10304;ERR;0;0;0;0;ERR;240;10320;10320;240;0;0;42.513936
"\(\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,})";./attacks-gadget/snort3-above_09_1.txt;2.05;0.06;ERR;4.51;10.13;3.34;4.99;0.29;6.67;4.56;0.05;0.15;0.76;2.48;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;47.377974
"SSH-0*([2-9]\d*|1\d+)\.[^-]*-[^\n]*\x20\x20.{3}\x20.{1000}";./attacks-gadget/bech3-RN_03_1.txt;0.01;1.01;71.68;TO;5.44;2.63;5.36;13.08;6.97;1.52;0.47;0.5;2.41;2.96;0;41524;0;TO;0;0;0;0;0;41524;41524;0;0;0;44.305972
"\sCREATE\s[^\n]{1024}";./attacks-gadget/snort-above-RN2_00_1.txt;4.6;1.17;ERR;13.02;6.9;2.23;3.74;0.31;2.26;1.28;0.07;0.43;0.66;2.11;0;40852;ERR;0;0;0;0;ERR;0;40852;40852;0;0;0;43.943016
"(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S{157}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S{125}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S{1025}|(0x[ 0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S+\s+\S{117}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S+\s+\S+\s+\S{37}";./attacks-gadget/snort-above_00_1.txt;56.76;0.42;ERR;2.84;TO;TO;6.76;0.26;53.89;3.56;83.77;73.04;68.94;8.09;94;282;ERR;658;TO;TO;658;ERR;94;282;282;658;94;658;49.810882
"\sPARTIAL.*BODY\[[^\]]{1024}";./attacks-gadget/snort-above_00_3.txt;0.0;0.1;ERR;2.04;18.66;1.07;0.14;0.71;1.18;1.11;0.05;0.99;1.19;1.06;0;0;ERR;0;0;0;0;ERR;50;50;50;50;0;0;49.48735
"^CONNECT\s[^\s]{1024}";./attacks-gadget/snort-above_02_4.txt;2.66;0.07;ERR;1.63;0.43;2.52;1.21;0.32;1.36;1.53;0.09;0.56;1.24;1.13;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;49.9488
"^\s*MAIL\s+[^\s\n][^\n]{1006,}";./attacks-gadget/snort-above_02_6.txt;TO;0.4;ERR;1.54;7.2;1.38;0.17;0.59;2.35;0.69;0.29;1.1;1.68;1.12;TO;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;49.9896
"\sPARTIAL.*BODY\.PEEK\[[^\]]{1024}";./attacks-gadget/snort-above_03_6.txt;0.0;0.08;ERR;2.2;17.82;1.1;0.15;0.91;1.06;1.46;0.06;0.88;0.88;0.99;0;0;ERR;0;0;0;0;ERR;49;49;49;49;0;0;49.058653
"%[^\x20\x20]{1000}";./attacks-gadget/bech3-above_00_1.txt;45.6;1.36;11.53;7.95;5.3;2.24;4.25;12.1;6.97;1.51;4.41;0.46;1.06;3.58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.551268
"(Context|Action)\x3D[^\x26\x3b]{1024}";./attacks-gadget/bech3-above_01_1.txt;0.86;0.07;ERR;0.68;1.84;1.05;0.02;0.28;0.42;0.03;0.03;0.62;1.29;1.73;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;49.213024
"(OvJavaScript|OvTitleFrame|OvHelpWindow|OvMap|OvSession|OvJavaLocale|OvOSLocale|OvLogin|OvDebug|OvDeveloper|OvTreeControl|OvJavaScript|OvProduct|OvPort|OvLocale|OvWebSession)\s*\x3D[^\x3B\x2C]{1024}";./attacks-gadget/bech3-above_02_1.txt;0.85;0.82;ERR;3.97;0.87;2.98;1.56;0.26;4.02;1.13;0.42;0.26;1.0;2.44;0;35684;ERR;0;0;0;0;ERR;1210;35684;35684;1210;0;0;47.076557
"([^\x20]{1024,}|.*\x20[^\x20]{1024,})";./attacks-gadget/bech3-above_03_1.txt;TO;0.58;ERR;1.64;TO;2.86;17.18;0.27;TO;1.66;3.98;0.88;1.66;TO;TO;0;ERR;0;TO;0;0;ERR;TO;0;0;0;0;TO;49.069825
"(arg=[^\x26]*OVwSelection[^\x26]*\x26.*sel=[^\s\x26]{1023}|sel=[^\x26]{1023,}\x26.*arg=[^\s\x26]*OVwSelection)";./attacks-gadget/bech3-above_04_1.txt;2.13;0.12;ERR;4.13;6.56;4.32;8.24;0.31;1.98;0.14;0.62;0.78;2.56;1.82;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;49.338675
"-group[^\r\n\s]{1280}";./attacks-gadget/bech3-above_05_1.txt;ERR;0.07;ERR;0.77;0.65;1.18;0.48;0.25;0.68;1.35;0.06;0.18;0.78;1.86;ERR;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;47.969794
