pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"id=[a-f\d]{8}(-[a-f\d]{4}){3}-[a-f\d]{12}";./attacks-gadget/snort2-nested_08_1.txt;0.07;0.04;0.0;0.72;0.63;ERR;0.08;0.26;0.22;0.04;0.07;0.1;1.16;2.09;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;49.240256
"<figure[^>]+dir\s*=\s*[\x22\x27]\s*rtl\s*[\x22\x27].*(&#?x?[a-z\d]{2,4}\x3b){100}";./attacks-gadget/bech1-nested-between_00_1.txt;0.17;0.17;0.14;1.78;3.95;1.3;6.34;0.26;0.79;0.14;0.06;0.26;1.35;1.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.526456
"^User\x2dAgent\x3a\s[^\r\n]*\x3b\x20id\x3a[A-F0-9]{8}\x2d([A-F0-9]{4}\x2d){3}[A-F0-9]{12}\)[^\r\n]*$";./attacks-gadget/bech3-RN_19_1.txt;0.0;0.06;0.5;1.61;6.96;2.24;0.25;3.86;28.11;29.12;1.04;1.08;2.2;1.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.098
"(#\d{1,2}){20}";./attacks-gadget/bech3-nested-between_02_1.txt;0.14;0.18;4.56;4.7;17.31;ERR;2.73;5.5;TO;TO;4.04;5.74;4.14;4.99;0;0;0;0;0;ERR;0;0;TO;TO;0;0;0;0;50.0
"(,\d{1,3}){20}";./attacks-gadget/bech3-nested-between_03_1.txt;0.07;0.1;1.56;2.66;14.18;ERR;0.94;2.66;62.14;119.71;1.36;1.98;2.02;3.01;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;49.098
([etDZhns8dz]{1,3}k){3}[etDZhns8dz]{1,3}f[etDZhns8dz]{16}A;./attacks-gadget/bech3-nested-between_05_1.txt;0.16;0.22;5.91;4.65;25.8;4.39;3.24;11.04;TO;TO;5.23;6.03;7.08;4.85;0;0;0;0;0;0;0;0;TO;TO;0;0;0;0;49.8
"(\/[0-9a-z]{1,6}){1,5}\/[0-9a-z]{1,7}(\.zip|\.xml|\.htm|\.pdf)\/\?[0-9a-z]{1,3}=[0-9a-z\/+]*=?=?";./attacks-gadget/bech3-nested-between_06_1.txt;0.0;0.12;2.51;2.78;24.72;ERR;0.0;8.16;164.23;TO;2.28;2.68;5.3;2.5;0;0;0;0;0;ERR;ERR;0;0;TO;0;0;0;0;49.07375
".{18}[\x20\x20\x20\x20\x20\x20]\x20\x20\x20.+(\x2E{2}[\x5C\x2F]){2}";./attacks-gadget/bech3-nested-between_09_1.txt;0.18;0.54;0.77;1.96;TO;3.11;0.42;11.66;68.69;50.72;15.57;TO;85.94;37.04;0;0;0;0;TO;0;0;0;0;0;0;TO;0;0;49.404
"<ref\s+href\s*=\s*\x22([^\x22]{2}|(\x25[0-9A-Z]{2}){1,2})\x3A\x2F[^\x22]{100}";./attacks-gadget/bech3-nested-between_11_1.txt;0.0;0.13;0.19;1.56;1.28;ERR;0.44;0.95;15.4;9.4;0.31;0.66;3.28;2.62;0;28190;0;0;0;ERR;0;0;78160;28200;28200;323240;0;0;49.97281
"HTTP\/1\.[01].*([^\r\n]){32}";./attacks-gadget/bech3-nested-between_13_1.txt;16.53;0.32;0.59;1.68;155.06;2.6;0.0;40.99;27.39;39.52;8.05;24.36;4.72;7.54;0;607310;0;0;0;0;ERR;0;0;607310;607310;0;0;0;49.13425
"HostList=([^\r\n\x3B]{,296}\x3B)*[^\r\n\x3B]{297}";./attacks-gadget/bech3-nested-between_14_1.txt;TO;0.9;7.55;117.35;0.86;2.39;0.0;2.7;28.46;5.54;ERR;0.73;0.06;2.39;TO;102375;0;0;0;0;ERR;0;0;102375;ERR;0;;0;49.852335
"InformixServerList=([^\r\n\x3B]{,293}\x3B)*[^\r\n\x3B]{294}";./attacks-gadget/bech3-nested-between_15_1.txt;TO;1.12;7.04;97.53;0.85;2.52;0.0;2.3;24.02;4.61;ERR;0.58;0.06;2.39;TO;106600;0;0;0;0;ERR;0;0;106600;ERR;0;;0;49.754
"STOR\x20fp(_[A-F0-9]{8}){2}[A-F0-9]{8}_[A-F0-9]{4}(_[A-F0-9]{8}){2}\x2ebin\x20\x20";./attacks-gadget/bech3-nested-between_17_1.txt;0.0;0.04;0.01;0.59;0.52;ERR;0.02;0.28;0.16;0.02;0.03;0.07;0.71;1.61;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;49.1396
"\.php\?id=(\d{5}-\d{3}-\d{7}-\d{5}|0[0-9a-f]{8}-([0-9a-f]{4}-){3}[0-9a-f]{12}1)&ver=\d{7}";./attacks-gadget/bech3-nested-between_21_1.txt;0.01;0.21;0.92;2.01;4.12;2.62;0.51;2.25;71.14;57.44;0.84;1.47;1.93;2.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.096432
"\/[a-f0-9]{16}([a-f0-9]{16})?\/ff\.php";./attacks-gadget/bech3-nested-between_22_1.txt;0.03;0.16;0.61;1.75;4.08;2.88;0.0;2.26;14.25;35.96;0.5;1.3;2.92;1.53;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.098
"\/r\/l\/([a-z]{1,16}[-_]){1,4}[a-z]{1,16}\.php";./attacks-gadget/bech3-nested-between_23_1.txt;0.19;0.26;1.01;1.82;7.83;2.62;0.0;4.0;29.97;62.56;0.96;2.64;3.19;1.59;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.097755
"\/t\/l\/([a-z]{1,16}[-_]){1,4}[a-z]{1,16}\.php";./attacks-gadget/bech3-nested-between_24_1.txt;0.18;0.25;1.18;1.95;7.13;2.6;0.0;4.01;36.39;78.45;1.14;2.6;2.21;1.64;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.091924
"\d{1,8}\x7c.+ \x5b\d{1,2}(\x3a\d{1,2}){2} [AP]M\x2d(\d{1,2}\x2f){2}\d{4}\x5d\x7cDisponible";./attacks-gadget/bech3-nested-between_25_1.txt;0.04;0.05;0.14;1.98;7.91;ERR;0.0;0.28;3.18;0.08;0.03;1.96;1.33;1.45;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;49.9382
"\d{1,8}\x7c.+ \x5b\d{1,2}(\x3a\d{1,2}){2} [AP]M\x2d(\d{1,2}\x2f){2}\d{4}\x5d\x7cInactivo";./attacks-gadget/bech3-nested-between_26_1.txt;0.03;0.05;0.16;1.9;14.2;ERR;0.01;0.31;3.33;0.06;0.04;2.08;1.05;1.53;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;49.04625
"\x20create\s+(aggregate\s+)*function\s+\S{50}";./attacks-gadget/bech3-nested-between_27_1.txt;0.03;0.08;1.06;2.04;4.48;1.54;0.63;1.77;77.36;69.6;0.81;1.22;2.85;2.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.8839
"\x2F[0-9a-zA-Z]{4,9}\x3F[0-9a-zA-Z]{10,40}\x3D[0-9a-zA-Z]{10,40}([\x26\x3D][0-9a-zA-Z]{10,40}){0,10}";./attacks-gadget/bech3-nested-between_28_1.txt;0.03;0.33;0.66;1.64;3.75;ERR;0.35;5.04;32.32;39.42;1.18;1.14;1.73;1.49;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;49.09212
"\x2f[A-Za-z0-9\x2b\x2f\x3d]{1,10}\x2f[A-Za-z0-9\x2b\x2f\x3d]{1,10}\x2f[A-Za-z0-9\x2b\x2f\x3d]{1,10}\x2f([A-Za-z0-9\x2b\x2f\x3d]{1,10})?(\x2f[A-Za-z0-9\x2b\x2f\x3d]{1,10})?";./attacks-gadget/bech3-nested-between_30_1.txt;0.02;0.92;0.53;1.18;5.15;2.88;44.15;3.74;40.95;32.56;1.48;1.39;3.96;1.5;0;1104562;1104562;1104562;1104562;1103490;1104562;1104562;1104562;1104562;1104562;1104562;1104562;1104562;49.332569
"\x3d([0-9]{1,10})?(e[0-9]{1,10}e[0-9]{120}|e[0-9]{120})";./attacks-gadget/bech3-nested-between_31_1.txt;0.04;0.2;0.51;1.72;3.85;2.6;0.33;2.33;17.8;28.72;0.59;0.74;1.46;1.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.091924
"^([\x22\x27]\s*value)?\s*=\s*\x22[^\x22]{70}";./attacks-gadget/bech3-nested-between_34_1.txt;0.0;0.35;0.59;1.63;2.0;2.32;0.32;2.16;30.11;32.8;1.16;0.83;2.14;2.42;0;557914;0;0;0;0;0;0;557914;557914;557914;557914;0;0;49.096432
"^([\x22\x27]\s*value)?\s*=\s*\x27[^\x27]{70}";./attacks-gadget/bech3-nested-between_35_1.txt;0.0;0.38;0.53;1.63;1.98;2.35;0.34;2.27;29.71;33.7;0.97;0.82;2.34;2.51;0;570899;0;0;0;0;0;0;570899;570899;570899;570899;0;0;49.097314
"^.{2}([^\x20]*\x20)?[^\x20]{256}";./attacks-gadget/bech3-nested-between_41_1.txt;5.58;0.06;0.08;0.57;0.7;0.6;0.04;0.53;3.51;5.69;0.17;0.2;1.85;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.095354
"^.{32}([^\x20]*\x20)?[^\x20]{256}";./attacks-gadget/bech3-nested-between_42_1.txt;5.67;0.07;0.08;0.67;0.78;0.84;0.05;0.57;3.4;5.2;0.15;0.19;2.32;0.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.081928
"^.{36}([^\x20]{0,255}\x20)*[^\x20]{256}";./attacks-gadget/bech3-nested-between_43_1.txt;9.33;0.37;0.21;1.46;6.61;3.9;0.14;9.24;5.76;5.12;2.82;1.0;3.75;1.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.086583
"^.{8}[^\s]+(\s+[^\s]+){49}";./attacks-gadget/bech3-nested-between_44_1.txt;7.41;0.1;1.38;2.24;6.39;2.57;0.74;2.95;98.63;110.89;1.22;1.68;2.4;3.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.097412
"^.{8}\x66[0-9a-f]{1}\x2d([0-9a-f]{2}\x2d){4}[0-9a-f]{2}\x61\x61\x61\x20{4}\x20{2}\x20{2}";./attacks-gadget/bech3-nested-between_45_1.txt;0.0;0.06;0.8;1.72;5.07;2.82;0.32;2.18;55.86;48.38;0.59;1.23;1.84;2.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.096138
"^Accept\x2dCharset\x3a\s*([^\x3b\x3d\x2c]{1,36}\s*[\x2d\x3b\x3d\x2c]\s*)*[^\x2d\x3b\x2c\x3d\n]{37}";./attacks-gadget/bech3-nested-between_49_1.txt;0.02;0.74;0.54;1.68;36.34;3.25;4.31;8.0;51.55;23.87;6.66;9.28;4.61;4.24;0;462000;35400;35400;35400;35400;35400;35400;35400;462000;462000;35400;35400;35400;49.6692
"^Accept\x2dLanguage\x3a\s*(\w{1,36}\s*(\x2e|\x2d|\x3b|\x3d|\x2c)\s*)*[^\x2d\x3b\x2c\x3d\n]{37}";./attacks-gadget/bech3-nested-between_50_1.txt;0.01;0.6;0.42;2.57;10.63;3.13;6.21;2.28;43.64;22.24;1.02;3.02;2.43;2.5;0;734886;186;186;186;186;186;186;186;734886;734886;186;186;186;49.37649
"^Content-Disposition\x3a(\s*|\s*\s+)[^\r\n]*\{[\da-fA-F]{8}(-[\da-fA-F]{4}){3}-[\da-fA-F]{12}\}";./attacks-gadget/bech3-nested-between_51_1.txt;0.0;0.06;0.54;2.0;4.26;ERR;0.36;2.5;69.87;34.96;0.38;0.72;2.2;2.39;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;49.091336
"^Location\s*\x3a\s*\w+\x3a\/\/([^\n]*\x3a)?[^\n]{128}";./attacks-gadget/bech3-nested-between_53_1.txt;0.18;0.47;2.84;TO;3.11;2.54;0.0;1.86;9.9;7.3;0.42;0.66;1.97;2.59;0;107537;0;TO;0;0;ERR;0;0;107537;107537;0;0;0;49.736631
"^Subject\x3a\s(\d{1,3}\x2e){3}\d{1,3}\x20\d{2,5}\x20(\d{1,3}\x2e){3}\d{1,3}\x7c\x20(Win|Unknown)";./attacks-gadget/bech3-nested-between_54_1.txt;0.0;0.08;1.17;2.22;4.55;2.4;0.64;1.74;188.9;78.8;1.02;1.45;1.59;2.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.097853
"^[a-zA-Z0-9]{1,24}\x7C(([0-9]{1,3})\x2E){3}([0-9]{1,3})\x7C";./attacks-gadget/bech3-nested-between_55_1.txt;0.0;0.2;1.22;1.94;7.84;2.9;0.64;3.93;52.21;94.02;1.2;2.28;2.91;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.098
