pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^COPY[^s]{432};./attacks-gadget/bro-between-RN2_50_1.txt;5.15;0.09;0.25;1.54;0.52;2.52;0.22;1.92;2.36;3.62;0.49;0.2;0.87;2.31;0;108339;0;0;0;0;0;0;108339;108339;108339;108339;0;0;49.077567
^DELETE[^s]{432};./attacks-gadget/bro-between-RN2_51_1.txt;4.0;0.1;0.27;1.48;0.59;2.61;0.31;1.72;2.32;3.51;0.5;0.2;1.05;2.22;0;108829;0;0;0;0;0;0;108829;108829;108829;108829;0;0;49.081879
^GET[^s]{432};./attacks-gadget/bro-between-RN2_52_1.txt;4.46;0.09;0.29;1.56;0.56;2.5;0.27;1.84;2.42;3.47;0.52;0.21;1.15;2.27;0;110544;0;0;0;0;0;0;110544;110544;110544;110544;0;0;49.081536
^HEAD[^s]{432};./attacks-gadget/bro-between-RN2_53_1.txt;4.39;0.08;0.3;1.54;0.52;2.44;0.21;1.88;2.47;3.49;0.5;0.21;1.06;2.29;0;109564;0;0;0;0;0;0;109564;109564;109564;109564;0;0;49.084672
^LOCK[^s]{432};./attacks-gadget/bro-between-RN2_54_1.txt;3.98;0.08;0.28;1.58;0.59;2.48;0.23;1.71;2.28;3.68;0.49;0.25;1.02;2.25;0;107163;0;0;0;0;0;0;107163;107163;107163;107163;0;0;49.080654
^MKCOL[^s]{432};./attacks-gadget/bro-between-RN2_55_1.txt;3.8;0.08;0.26;1.56;0.57;2.5;0.27;1.73;2.28;3.54;0.5;0.21;1.0;2.26;0;109809;0;0;0;0;0;0;109809;109809;109809;109809;0;0;49.084623
^MOVE[^s]{432};./attacks-gadget/bro-between-RN2_56_1.txt;3.76;0.09;0.3;1.5;0.52;2.5;0.22;1.75;2.25;4.34;0.5;0.19;1.1;2.18;0;109564;0;0;0;0;0;0;109564;109564;109564;109564;0;0;49.084672
^POST[^s]{432};./attacks-gadget/bro-between-RN2_57_1.txt;4.68;0.1;0.24;1.48;0.54;2.52;0.25;1.77;2.23;3.4;0.52;0.21;1.06;2.24;0;109809;0;0;0;0;0;0;109809;109809;109809;109809;0;0;49.084623
^PUT[^s]{432};./attacks-gadget/bro-between-RN2_58_1.txt;3.6;0.09;0.33;1.48;0.54;2.55;0.27;1.85;2.34;3.51;0.54;0.21;1.04;2.26;0;111034;0;0;0;0;0;0;111034;111034;111034;111034;0;0;49.077028
^TRACE[^s]{432};./attacks-gadget/bro-between-RN2_59_1.txt;3.91;0.09;0.31;1.54;0.61;2.47;0.24;1.94;2.27;3.4;0.5;0.22;1.06;2.23;0;106722;0;0;0;0;0;0;106722;106722;106722;106722;0;0;49.09212
"^[\x20\x20\x20][aA][uU][tT][hH][eE][nN][tT][iI][cC][aA][tT][eE][\x20\x20\x20][^\n]{100}";./attacks-gadget/bro-between-RN2_02_1.txt;0.02;0.2;0.31;1.59;1.07;2.36;0.24;1.35;16.39;11.34;0.43;0.48;1.11;2.54;0;371910;0;0;0;0;0;0;0;371910;371910;0;0;0;49.09212
"^[\x20\x20\x20][fF][iI][nN][dD][\x20\x20\x20][^\n]{100}";./attacks-gadget/bro-between-RN2_03_1.txt;0.04;0.22;0.32;1.5;0.94;2.45;0.22;1.34;13.55;13.45;0.48;0.46;1.22;2.35;0;426937;0;0;0;0;0;0;0;426937;426937;0;0;0;49.097755
"^[\x20\x20\x20][lL][iI][sS][tT][\x20\x20\x20][^\n]{100}";./attacks-gadget/bro-between-RN2_04_1.txt;0.04;0.19;0.33;1.48;0.94;2.62;0.24;1.42;13.26;12.98;0.44;0.46;1.19;2.39;0;434483;0;0;0;0;0;0;0;434483;434483;0;0;0;49.096579
"^[\x20\x20\x20][lL][sS][uU][bB][\x20\x20\x20][^\n]{100}";./attacks-gadget/bro-between-RN2_05_1.txt;0.03;0.22;0.36;1.56;0.93;2.55;0.2;1.32;14.0;16.06;0.44;0.39;1.38;2.35;0;454573;0;0;0;0;0;0;0;454573;454573;0;0;0;49.093884
"^[\x20\x20\x20][rR][eE][nN][aA][mM][eE][\x20\x20\x20][^\n]{100}";./attacks-gadget/bro-between-RN2_06_1.txt;0.03;0.21;0.31;1.47;0.92;2.37;0.23;1.36;15.1;18.39;0.4;0.4;1.11;2.43;0;409150;0;0;0;0;0;0;0;409150;409150;0;0;0;49.098
"^[\x20\x20\x20]LOGIN[\x20\x20\x20][^\n]{100}";./attacks-gadget/bro-between-RN2_07_1.txt;0.06;0.21;0.34;1.67;0.82;2.55;0.18;1.32;9.9;13.54;0.43;0.41;1.17;2.48;0;438354;0;0;0;0;0;0;0;438354;438354;0;0;0;49.095648
"^[aA][pP][oO][pP][\x20\x20\x20][^\n]{256}";./attacks-gadget/bro-between-RN2_08_1.txt;0.07;0.11;0.27;1.43;0.62;2.44;0.19;1.22;6.76;5.43;0.21;0.26;1.22;2.22;0;178507;0;0;0;0;0;0;0;178507;178507;0;0;0;49.089425
"^[aA][pP][oO][pP][\x20\x20\x20]+[uU][sS][eE][rR][\x20\x20\x20][^\n]{2,56}";./attacks-gadget/bro-between-RN2_09_1.txt;0.08;0.08;1.66;2.0;5.97;1.93;0.86;2.68;86.86;121.76;2.78;3.19;1.87;1.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.098
"^[aA][pP][pP][eE][\x20\x20\x20][^\n]{100}";./attacks-gadget/bro-between-RN2_10_1.txt;0.05;0.22;0.33;1.42;0.88;2.43;0.19;1.39;11.99;13.8;0.45;0.42;1.24;2.22;0;446341;0;0;0;0;0;0;0;446341;446341;0;0;0;49.09751
"^[aA][uU][tT][hH][\x20\x20\x20][^\n]{100}";./attacks-gadget/bro-between-RN2_11_1.txt;0.06;0.23;0.32;1.47;0.88;2.44;0.22;1.36;12.17;13.21;0.43;0.44;1.14;2.22;0;446341;0;0;0;0;0;0;0;446341;446341;0;0;0;49.09751
