pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"((\+44\s?\(0\)\s?\d{2,4})|(\+44\s?(01|02|03|07|08)\d{2,3})|(\+44\s?(1|2|3|7|8)\d{2,3})|(\(\+44\)\s?\d{3,4})|(\(\d{5}\))|((01|02|03|07|08)\d{2,3})|(\d{5}))(\s|-|.)(((\d{3,4})(\s|-)(\d{3,4}))|((\d{6,7})))";./attacks-gadget/Assorted-between_00_2.txt;0.0;0.4;1.09;2.42;59.5;14.14;0.69;19.53;TO;75.03;9.73;6.84;7.1;2.87;0;1576563;1576563;1576563;1576563;1576563;1576563;1576563;TO;1576563;1576563;1576563;1576563;1576563;49.356984
"([A-Za-z]{0,}[\.\,\s]{0,}[A-Za-z]{1,}[\.\s]{1,}[0-9]{1,2}[\,\s]{0,}[0-9]{4})| ([0-9]{0,4}[-,\s]{0,}[A-Za-z]{3,9}[-,\s]{0,}[0-9]{1,2}[-,\s]{0,}[A-Za-z]{0,8})| ([0-9]{1,4}[\/\.\-][0-9]{1,4}[\/\.\-][0-9]{1,4})";./attacks-gadget/Assorted-between_00_2.txt;7.18;0.13;0.22;1.72;TO;2.97;0.0;15.99;TO;35.73;TO;TO;TO;72.56;0;0;0;0;TO;0;ERR;0;TO;0;TO;TO;TO;0;49.800856
"(""http:\/\/video\.google\.com\/googleplayer\.swf\?docId=\d{19}\&hl=[a-z]{2}"")";./attacks-gadget/Assorted-between_01_5.txt;0.01;0.06;0.42;1.72;2.09;1.63;0.0;1.57;11.58;19.96;0.57;0.79;0.6;1.06;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.9981
"IT\d{2}[ ][a-zA-Z]\d{3}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{3}|IT\d{2}[a-zA-Z]\d{22}";./attacks-gadget/Assorted-between_02_6.txt;0.0;0.14;1.18;2.1;5.92;3.08;0.66;2.44;95.52;80.14;2.14;2.0;1.56;1.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9981
"[0](\d{9})|([0](\d{2})( |-)((\d{3}))( |-)(\d{4}))|[0](\d{2})( |-)(\d{7})";./attacks-gadget/Assorted-between_03_2.txt;0.2;0.2;1.94;2.73;37.23;6.37;1.08;17.1;164.86;143.11;6.1;5.25;2.35;3.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.95365
"\d{5,12}|\d{1,10}\.\d{1,10}\.\d{1,10}|\d{1,10}\.\d{1,10}";./attacks-gadget/Assorted-between_03_3.txt;0.1;0.29;4.52;4.14;38.26;5.84;2.44;14.8;TO;TO;15.74;12.88;5.98;4.6;0;0;0;0;0;0;0;0;TO;TO;0;0;0;0;50.0
"(\d{1}-\d{2}\s*)(of +)(\s?\d{5})|(\d{1}-\d{2}\s*)(of +)(\s?\d{4})|(\d{1}-\d{2}\s*)(of +)(\s?\d{3})|(\d{1}-\d{2}\s*)(of +)(\s?\d{2})|(\d{1}-\d{2}\s*)(of +)(\s?\d{1})";./attacks-gadget/internetSources-between_00_1.txt;0.0;0.24;1.22;2.97;34.49;4.23;0.62;10.85;TO;84.54;13.94;9.18;1.76;2.78;0;0;0;0;0;0;0;0;TO;0;0;0;0;0;49.99925
"(0|[1-9]{1}[0-9]{0,8}|[1]{1}[0-9]{1,9}|[-]{1}[2]{1}([0]{1}[0-9]{8}|[1]{1}([0-3]{1}[0-9]{7}|[4]{1}([0-6]{1}[0-9]{6}|[7]{1}([0-3]{1}[0-9]{5}|[4]{1}([0-7]{1}[0-9]{4}|[8]{1}([0-2]{1}[0-9]{3}|[3]{1}([0-5]{1}[0-9]{2}|[6]{1}([0-3]{1}[0-9]{1}|[4]{1}[0-8]{1}))))))))|(\+)?[2]{1}([0]{1}[0-9]{8}|[1]{1}([0-3]{1}[0-9]{7}|[4]{1}([0-6]{1}[0-9]{6}|[7]{1}([0-3]{1}[0-9]{5}|[4]{1}([0-7]{1}[0-9]{4}|[8]{1}([0-2]{1}[0-9]{3}|[3]{1}([0-5]{1}[0-9]{2}|[6]{1}([0-3]{1}[0-9]{1}|[4]{1}[0-7]{1})))))))))";./attacks-gadget/Assorted-between_01_1.txt;0.19;0.96;8.44;5.64;33.8;TO;4.31;21.11;TO;TO;39.29;28.44;9.58;5.87;0;0;0;0;0;TO;0;0;TO;TO;0;0;0;0;49.8
"\d{1,3}[.]\d{1,3}[.]\d{1,3}[.]\d{1,3}\s.\s.\s\[\d{2}\/\D{3}\/\d{4}:\d{1,2}:\d{1,2}:\d{1,2}\s.\d{4}\]\s\&quot\S*\s\S*\s\S*\&quot\s\d{1,3}\s\S*\s\&quot.*\&quot\s\&quot.*\&quot";./attacks-gadget/internetSources-between_00_3.txt;0.01;0.11;0.28;2.69;12.18;4.0;0.0;2.27;49.34;8.42;0.58;1.28;1.03;2.26;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.746165
"^(([0-9]{3})[ \-\/]?([0-9]{3})[ \-\/]?([0-9]{3}))|([0-9]{9})|([\+]?([0-9]{3})[ \-\/]?([0-9]{2})[ \-\/]?([0-9]{3})[ \-\/]?([0-9]{3}))$";./attacks-gadget/internetSources-between_00_1.txt;0.15;0.26;1.4;2.02;50.45;9.7;0.0;23.12;123.73;97.14;13.15;8.64;5.54;3.05;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.9956
