pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"(\d{1,2})\W+(\d{1,2})\W*(\d{2,4})?|(\d{4})\W(\d{1,2})\W(\d{1,2})|([a-zA-Z]+)\W*(\d{1,2})\W+(\d{2,4})|(\d{4})\W*([a-zA-Z]+)\W*(\d{1,2})|(\d{1,2})\W*([a-zA-Z]+)\W*(\d{2,4})|(\d{1,2})\W*([a-zA-Z]+)|([a-zA-Z]+)\W*(\d{1,2})|(\d{2})(\d{2})(\d{2,4})?";./attacks-gadget/Assorted-nested-between_00_4.txt;0.0;0.32;2.02;4.18;66.48;TO;1.05;22.72;TO;153.01;35.71;26.72;6.6;4.37;0;0;0;0;0;TO;0;0;TO;0;0;0;0;0;49.99945
"(((\d{0,2})\(\d{3}\))|(\d{3}-))\d{3}-\d{4}\s{0,}((([Ee][xX][Tt])|([Pp][Oo][Ss][Tt][Ee])):\d{1,5}){0,1}";./attacks-gadget/Assorted-nested-between_00_1.txt;0.01;0.04;0.14;1.38;3.25;1.52;0.13;0.36;0.54;0.06;0.14;5.79;5.66;1.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.2258
"([0-9]* {0,2}[A-Z]{1}\w+[,.:]? {0,4}[xvilcXVILC\d]+[.,:]( {0,2}[\d-,]{1,7})+)([,.:] {0,4}[xvilcXVILC]*[.,:]( {0,2}[\d-,]{1,7})+)*";./attacks-gadget/Assorted-nested-between_03_1.txt;ERR;0.3;2.57;3.52;TO;ERR;0.0;10.36;165.8;TO;ERR;0.03;185.13;45.48;ERR;0;0;0;TO;ERR;ERR;0;ERR;TO;ERR;0;0;0;49.85162
"(\s+|)((\(\d{3}\) +)|(\d{3}-)|(\d{3} +))?\d{3}(-| +)\d{4}( +x\d{1,4})?(\s+|)";./attacks-gadget/Assorted-nested-between_07_1.txt;0.0;0.2;1.18;2.86;40.17;3.98;0.0;10.55;175.53;79.8;15.85;5.59;2.54;2.71;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.09653
"^(\{1}[2-9]{1}[0-9]{2}\){1}[ ]?[2-9]{1}[0-9]{2}(-| )?[0-9]{4}|[2-9]{1}[0-9]{2}[ ]{1}[2-9]{1}[0-9]{2}[ ]{1}[0-9]{4}|[2-9]{1}[0-9]{2}[2-9]{1}[0-9]{6}|[2-9]{1}[0-9]{2}-{1}[2-9]{1}[0-9]{2}-{1}[0-9]{4}){1}$";./attacks-gadget/internetSources-nested-between_00_1.txt;0.12;0.12;1.05;2.07;7.65;3.57;0.52;4.17;207.0;127.03;3.17;3.11;3.4;2.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50.0
"^[+]\d{1,2}\(\d{2,3}\)\d{6,8}(\#\d{1,10})?$";./attacks-gadget/internetSources-nested-between_01_6.txt;0.04;0.08;0.83;2.04;3.48;2.58;0.58;1.22;97.79;74.68;0.87;1.77;1.08;2.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.99995
"^http[s]?://([a-zA-Z0-9\-]+\.)*([a-zA-Z]{3,61}|[a-zA-Z]{1,}\.[a-zA-Z]{2})/.*$";./attacks-gadget/internetSources-nested-between_04_5.txt;0.0;0.13;0.58;0.96;1.82;0.9;0.46;1.1;82.32;63.29;0.82;1.36;1.07;2.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9997
"^([+]39)?((38[{8,9}|0])|(34[{7-9}|0])|(36[6|8|0])|(33[{3-9}|0])|(32[{8,9}]))([\d]{7})$";./attacks-gadget/internetSources-nested-between_06_1.txt;0.06;0.16;1.72;1.9;8.64;1.13;0.79;3.96;TO;144.04;2.68;2.27;2.45;3.2;0;0;0;0;0;0;0;0;TO;0;0;0;0;0;50.0
"^(sip|sips):.*\@((\d{1,3}.\d{1,3}.\d{1,3}.\d{1,3})|([a-zA-Z\-\.]+\.[a-zA-Z]{2,5}))(:[\d]{1,5})?([\w\-?\@?\?\,?\=\%\&]+)?";./attacks-gadget/internetSources-nested-between_06_2.txt;ERR;0.18;1.41;1.89;4.35;2.56;0.0;1.81;142.4;121.21;1.54;2.24;1.36;1.71;ERR;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.99855
"^([a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)*[a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?$";./attacks-gadget/internetSources-nested-between_06_4.txt;18.28;0.11;0.15;0.85;3.61;1.32;0.08;2.08;10.7;13.02;0.61;1.47;1.83;1.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9932
