pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"TIME_ZONE\s*=\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}))";./attacks-gadget/snort3-above_01_1.txt;1.79;1.11;ERR;3.18;0.87;2.73;5.19;6.24;2.65;1.25;0.39;0.28;1.78;2.28;0;35037;ERR;0;0;0;0;0;1989;35037;35037;1989;0;0;49.96011
"\(\s*(\x27[^\x27]{1024,}|\x22[^\x22]{1024,})";./attacks-gadget/snort3-above_08_1.txt;1.8;0.12;ERR;3.24;6.33;2.48;5.57;0.29;3.86;1.98;0.62;0.52;1.46;2.11;0;10304;ERR;0;0;0;0;ERR;240;10320;10320;240;0;0;42.513936
"\(\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,})";./attacks-gadget/snort3-above_09_1.txt;2.05;0.07;ERR;4.11;10.14;3.16;4.97;0.28;6.52;4.36;0.05;0.15;0.71;2.5;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;47.377974
"\sCREATE\s[^\n]{1024}";./attacks-gadget/snort-above-RN2_00_1.txt;4.62;1.16;ERR;12.06;6.94;2.27;3.77;0.28;2.26;1.3;0.06;0.42;0.7;2.12;0;40852;ERR;0;0;0;0;ERR;0;40852;40852;0;0;0;43.943016
"(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S{157}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S{125}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S{1025}|(0x[ 0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S+\s+\S{117}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S+\s+\S+\s+\S{37}";./attacks-gadget/snort-above_00_1.txt;56.14;0.41;ERR;2.86;TO;61.87;6.89;0.24;53.68;3.56;83.53;72.06;57.08;7.81;94;282;ERR;658;TO;658;658;ERR;94;282;282;658;94;658;49.810882
"\sPARTIAL.*BODY\[[^\]]{1024}";./attacks-gadget/snort-above_00_3.txt;0.0;0.09;ERR;2.18;16.41;1.13;0.14;0.3;1.22;1.14;0.06;0.98;1.18;1.04;0;0;ERR;0;0;0;0;ERR;50;50;50;50;0;0;49.48735
"^CONNECT\s[^\s]{1024}";./attacks-gadget/snort-above_02_4.txt;2.91;0.06;ERR;1.72;0.58;2.7;1.66;0.36;1.41;2.16;0.1;0.54;0.89;1.06;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;49.9488
"\sPARTIAL.*BODY\.PEEK\[[^\]]{1024}";./attacks-gadget/snort-above_03_6.txt;0.0;0.08;ERR;2.42;14.22;1.2;0.16;0.32;1.11;1.56;0.05;0.78;0.99;1.04;0;0;ERR;0;0;0;0;ERR;49;49;49;49;0;0;49.058653
"NUMTO(DS|YM)INTERVAL\s*\(\s*\d+\s*,\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}))";./attacks-gadget/bech3-above_09_1.txt;1.95;0.16;ERR;1.63;0.64;2.38;3.38;0.91;2.26;1.24;0.09;0.33;1.12;2.05;0;2313;ERR;0;0;0;0;0;2313;2313;2313;30942;0;0;39.456732
"\(\s*(\x27[^\x27]*\x27|\x22[^\x22]+\x22)\s*,\s*(\x27[^\x27]{1024,}|\x22[^\x22]{1024,})";./attacks-gadget/bech3-above_22_1.txt;2.15;0.16;ERR;3.78;10.02;1.45;8.03;0.34;2.32;0.04;0.04;1.4;3.39;2.58;0;696;ERR;0;0;0;0;ERR;522;696;696;522;0;0;49.339788
"\(\s*TIMESTAMP\s*(\s*(\x27[^\x27]+'|\x22[^\x22]+\x22)\s*,)\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}))";./attacks-gadget/bech3-above_23_1.txt;2.16;0.11;ERR;3.8;3.93;1.52;5.97;0.37;0.57;0.05;0.04;0.33;1.36;1.98;0;972;ERR;0;0;0;0;0;648;972;972;648;0;0;49.425876
"\x20WebID\x20IISWebAgentIF.dll[^\n\x20\x20]*\x20Redirect\x20url=[^\n\x20\x20]{1024}";./attacks-gadget/home-brewed-above-RN2_01_1.txt;1.12;0.09;ERR;1.0;0.92;1.17;0.14;0.32;8.4;10.88;0.14;0.39;1.17;2.24;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;49.08869
"\x20nds[^\r\n]{1000}";./attacks-gadget/snort-above-RN2_01_1.txt;0.92;0.1;21.67;TO;0.7;2.56;2.56;8.6;2.86;1.65;0.45;0.68;1.34;2.72;0;47652;0;TO;0;0;0;0;0;47652;47652;0;0;0;49.800501
"^\s*MAIL\s+[^\s\x20][^\n]{1006,}";./attacks-gadget/snort-above-RN2_03_1.txt;3.98;1.02;ERR;1.58;0.83;2.49;0.87;0.26;2.42;1.51;0.07;0.16;2.96;2.07;0;46746;ERR;46746;46746;46746;46746;ERR;46746;46746;46746;46746;46746;46746;49.0833
"^\s*URL\s*=\s*mhtml\x20\x20\x20[A-Z\x20]{2,31}\x20[^\r\n]{1253,}";./attacks-gadget/snort-above-RN2_04_1.txt;1.59;0.15;ERR;1.78;5.14;2.32;0.33;0.3;26.92;34.04;0.38;0.51;2.37;1.47;0;29;ERR;0;0;0;0;ERR;0;29;29;0;0;0;49.541367
"^LoadTestPassword\x20[^\r\n]{1024,}";./attacks-gadget/snort-above-RN2_05_1.txt;0.9;0.19;ERR;1.58;0.53;2.32;0.36;0.28;1.78;1.38;0.47;0.53;0.98;2.18;0;43022;ERR;0;0;0;0;ERR;0;43022;43022;0;0;0;49.04508
"^SEARCH\s+[^\n]{1024}";./attacks-gadget/snort-above_02_5.txt;TO;3.28;ERR;64.64;4.28;2.1;TO;0.27;141.79;1.03;0.76;0.44;30.72;54.3;TO;21390;ERR;21390;21390;21390;TO;ERR;21390;21390;21390;21390;21390;21390;49.708872
"^X?PAT\s+[^\n]{1024}";./attacks-gadget/snort-above_02_3.txt;TO;3.47;ERR;106.82;3.9;1.84;TO;0.3;117.22;0.9;0.74;0.48;26.43;45.44;TO;23436;ERR;23436;23436;23436;TO;ERR;23436;23436;23436;23436;23436;23436;49.147128
"href\s*=\s*(\x20mhtml\x20\x20\x20[A-Z\x20]{2,31}\x20[^\x20]{1253,}|\x20mhtml\x20\x20\x20[A-Z\x20]{2,31}\x20[^\x20]{1253,}|mhtml\x20\x20\x20[A-Z\x20]{2,31}\x20[^\x20\r\x20\x20]{1253,})";./attacks-gadget/snort-above-RN2_08_1.txt;4.75;0.15;ERR;0.81;0.68;1.25;0.37;0.3;2.86;0.93;0.08;0.24;1.22;2.17;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;43.399255
"\/OvCgi\/[^\.]*\.exe[^\x20]{2000,}";./attacks-gadget/snort-above_00_1.txt;8.24;0.08;ERR;1.51;3.6;1.1;0.0;0.28;1.26;1.51;0.04;0.09;1.25;0.97;0;0;ERR;0;0;0;ERR;ERR;0;0;0;0;0;0;49.061201
".* BODY\.PEEK\[[^\]]{1024}";./attacks-gadget/snort-above_00_2.txt;0.0;0.08;ERR;2.17;TO;1.1;0.16;0.31;1.28;1.57;0.06;1.0;20.69;84.02;0;0;ERR;0;TO;0;0;ERR;1044;1044;1044;1044;0;0;49.91364
".* BODY\[[^\]]{1024}";./attacks-gadget/snort-above_03_2.txt;0.0;0.08;ERR;4.57;TO;1.17;0.15;0.32;1.26;1.77;0.08;1.52;36.3;100.62;0;0;ERR;0;TO;0;0;ERR;1944;1944;1944;1944;0;0;49.434462
"SSH-0*([2-9]\d*|1\d+)\.[^-]*-[^\n]*\n\x20\x20.{3}\x20.{1000}";./attacks-gadget/snort-above_03_3.txt;0.01;0.21;0.13;1.61;8.14;1.19;0.1;8.64;1.28;0.46;0.03;0.8;2.02;1.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.230104
".* [fF][iI][nN][dD] [^\x20]{1024}";./attacks-gadget/snort-above_03_4.txt;19.01;0.06;ERR;1.62;TO;1.04;0.12;0.3;1.5;1.54;0.03;0.28;1.58;66.65;0;0;ERR;0;TO;0;0;ERR;0;0;0;0;0;0;49.048706
".* [rR][eE][nN][aA][mM][eE] [^\x20]{1024}";./attacks-gadget/snort-above_03_5.txt;20.2;0.06;ERR;1.66;TO;1.12;0.13;0.27;1.56;1.81;0.03;0.32;1.14;77.23;0;0;ERR;0;TO;0;0;ERR;0;0;0;0;0;0;49.07252
".* CREATE [^\x20]{1024}";./attacks-gadget/snort-above_04_1.txt;18.74;0.06;ERR;1.55;TO;1.02;0.12;0.26;1.22;1.49;0.04;0.29;1.28;67.94;0;0;ERR;0;TO;0;0;ERR;0;0;0;0;0;0;49.085505
"<EMBED(\s+|\s+[^>]*\s+)src\s*=\s*(\x22[^\x22]{2082,}\x22|\x27[^\x27]{2082,}\x27|[^\r\n\s]{2082,})";./attacks-gadget/snort-above_00_1.txt;23.22;0.34;ERR;1.64;7.13;2.16;0.02;0.3;0.15;0.03;0.05;1.68;1.13;1.88;0;0;ERR;0;0;0;ERR;ERR;0;0;0;0;0;0;49.85064
"USING\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}))";./attacks-gadget/snort-above_02_1.txt;1.84;1.06;ERR;2.94;1.02;2.52;5.5;6.02;2.28;1.16;0.34;0.38;1.58;2.28;0;32088;ERR;0;0;0;0;0;1218;32088;32088;1218;0;0;48.535095
