pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
.{1,1000};./attacks-gadget/stackoverflow-above_04_5.txt;5.78;0.0;0.01;0.23;0.07;0.32;0.0;0.26;0.15;0.62;0.02;0.03;0.08;0.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02
"(\[ a_){50000}";./attacks-gadget/uniq-above_00_1.txt;ERR;ERR;ERR;TO;TO;2.22;0.03;0.23;TO;0.06;ERR;0.06;0.48;TO;ERR;ERR;ERR;TO;TO;0;ERR;ERR;TO;0;ERR;0;0;TO;49.921248
(_a ){64999}_a;./attacks-gadget/uniq-above_00_2.txt;ERR;ERR;ERR;TO;TO;2.56;0.02;0.27;TO;0.07;ERR;0.05;0.54;TO;ERR;ERR;ERR;TO;TO;0;ERR;ERR;TO;0;ERR;0;0;TO;49.50165
(a[_] ){64999}a_;./attacks-gadget/uniq-above_00_4.txt;ERR;ERR;ERR;TO;TO;2.6;0.02;0.29;TO;0.08;ERR;0.05;0.5;TO;ERR;ERR;ERR;TO;TO;0;ERR;ERR;TO;0;ERR;0;0;TO;49.50165
"\[{50000}a\]{50000}";./attacks-gadget/uniq-above_00_5.txt;ERR;ERR;ERR;TO;4.58;5.4;TO;0.26;TO;0.17;ERR;0.07;0.45;TO;ERR;ERR;ERR;TO;0;0;TO;ERR;TO;0;ERR;0;0;TO;49.50495
"(<blockquote>\n){50000}";./attacks-gadget/uniq-above_00_3.txt;ERR;ERR;ERR;1.6;1.76;2.06;0.02;0.25;0.13;0.04;ERR;0.07;0.48;1.09;ERR;ERR;ERR;0;0;0;ERR;ERR;0;0;ERR;0;0;0;49.9741
https?://[-_.?&~+=/#0-9A-Za-z]{1,2076};./attacks-gadget/uniq-above_00_1.txt;9.75;0.18;ERR;2.68;6.59;1.64;1.61;0.29;51.22;165.08;3.5;3.78;2.27;2.34;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;49.9996
"^PRIVMSG (#+\S+) :(.{1,1024})";./attacks-gadget/uniq-above_00_4.txt;7.43;0.4;ERR;1.5;TO;1.01;0.13;0.28;TO;1.61;132.42;TO;TO;83.34;0;0;ERR;0;TO;0;0;ERR;TO;0;0;TO;TO;0;49.988686
.{1,8191};./attacks-gadget/uniq-above_00_5.txt;TO;0.0;ERR;0.24;0.08;0.32;0.03;0.26;0.15;0.56;0.02;0.02;0.12;0.59;TO;0;ERR;0;0;0;ERR;ERR;0;0;0;0;0;0;0.02
.{1,7168};./attacks-gadget/uniq-above_00_6.txt;TO;0.0;ERR;0.25;0.08;0.34;0.04;0.2;0.15;0.55;0.02;0.04;0.09;0.58;TO;0;ERR;0;0;0;ERR;ERR;0;0;0;0;0;0;0.02
.{1,1024};./attacks-gadget/uniq-above_01_1.txt;4.59;0.0;ERR;0.26;0.08;0.33;0.01;0.29;0.15;0.6;0.03;0.03;0.1;0.56;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;0.02
.{1,1600};./attacks-gadget/uniq-above_01_2.txt;16.67;0.0;ERR;0.26;0.08;0.32;0.01;0.26;0.16;0.57;0.03;0.04;0.08;0.65;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;0.02
"<image[\s\w-_=""]*xlink:href=""data:image\/[^""]{0,5120}""[^>]*>";./attacks-gadget/uniq-above_01_3.txt;ERR;5.68;ERR;2.11;6.6;1.56;0.0;0.26;0.78;1.62;ERR;0.02;1.94;0.97;ERR;0;ERR;0;0;0;ERR;ERR;ERR;0;ERR;0;0;0;49.056742
