pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"^(([A-Za-z0-9]+_+)|([A-Za-z0-9]+\-+)|([A-Za-z0-9]+\.+)|([A-Za-z0-9]+\++))*[A-Za-z0-9]+@((\w+\-+)|(\w+\.))*\w{1,63}\.[a-zA-Z]{2,6}$";./attacks-gadget/uniq-nested-between_51.txt;0.0;0.22;7.1;4.3;44.22;2.83;2.74;19.66;TO;TO;5.63;6.78;11.36;4.33;0;0;0;0;0;0;0;0;TO;TO;0;0;0;0;49.8
"^([a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,6}$";./attacks-gadget/internetSources-nested-between_00_4.txt;0.01;0.03;0.01;0.53;0.34;4.11;0.01;0.29;0.18;0.04;0.02;0.64;0.63;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.6116
"^(((((((00|\+)49[ \-/]?)|0)[1-9][0-9]{1,4})[ \-/]?)|((((00|\+)49\()|\(0)[1-9][0-9]{1,4}\)[ \-/]?))[0-9]{1,7}([ \-/]?[0-9]{1,5})?)$";./attacks-gadget/internetSources-nested-between_10_1.txt;ERR;0.34;3.23;2.62;22.01;3.08;1.43;8.8;244.99;211.82;7.4;6.74;5.26;2.68;ERR;0;0;0;0;0;0;0;0;0;0;0;0;0;49.098
"^([\+][0-9]{1,3}[ \.\-])?([\(]{1}[0-9]{2,6}[\)])?([0-9 \.\-\/]{3,20})((x|ext|extension)[ ]?[0-9]{1,4})?$";./attacks-gadget/uniq-nested-between_14_3.txt;0.09;0.09;0.48;1.01;9.68;1.41;0.0;1.54;29.27;32.08;2.61;3.1;2.13;1.25;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.9981
"^\s*((([0-9A-Fa-f]{1,4}:){7}([0-9A-Fa-f]{1,4}|:))|(([0-9A-Fa-f]{1,4}:){6}(:[0-9A-Fa-f]{1,4}|((25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)(\.(25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)){3})|:))|(([0-9A-Fa-f]{1,4}:){5}(((:[0-9A-Fa-f]{1,4}){1,2})|:((25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)(\.(25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)){3})|:))|(([0-9A-Fa-f]{1,4}:){4}(((:[0-9A-Fa-f]{1,4}){1,3})|((:[0-9A-Fa-f]{1,4})?:((25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)(\.(25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)){3}))|:))|(([0-9A-Fa-f]{1,4}:){3}(((:[0-9A-Fa-f]{1,4}){1,4})|((:[0-9A-Fa-f]{1,4}){0,2}:((25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)(\.(25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)){3}))|:))|(([0-9A-Fa-f]{1,4}:){2}(((:[0-9A-Fa-f]{1,4}){1,5})|((:[0-9A-Fa-f]{1,4}){0,3}:((25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)(\.(25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)){3}))|:))|(([0-9A-Fa-f]{1,4}:){1}(((:[0-9A-Fa-f]{1,4}){1,6})|((:[0-9A-Fa-f]{1,4}){0,4}:((25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)(\.(25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)){3}))|:))|(:(((:[0-9A-Fa-f]{1,4}){1,7})|((:[0-9A-Fa-f]{1,4}){0,5}:((25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)(\.(25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)){3}))|:)))(%.+)?\s*$";./attacks-gadget/stackoverflow-nested-between_9065_1.txt;0.19;0.47;4.53;3.39;74.5;ERR;2.29;50.37;TO;TO;81.18;28.1;16.02;8.9;0;0;0;0;0;ERR;0;0;TO;TO;0;0;0;0;49.098
[0-9a-f]{8}-([0-9a-f]{4}-){3}[0-9a-f]{12};./attacks-gadget/uniq-nested-between_00_1.txt;0.13;0.08;1.43;2.26;19.15;3.62;0.69;7.66;37.52;88.98;1.19;1.45;1.24;3.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9996
"^(blockchain:)((\\/\\/[a-fA-F0-9]{64})?)\\/(tx|block|address)\\/([a-fA-F0-9]{64})$";./attacks-gadget/uniq-nested-between_00_3.txt;3.06;0.52;0.49;1.6;2.74;2.08;0.23;2.07;16.37;21.47;0.53;0.97;1.35;1.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.99445
"^/path/to/file\.[0-9a-f]{8}-([0-9a-f]{4}-){3}[0-9a-f]{12}.log$";./attacks-gadget/uniq-nested-between_00_5.txt;0.2;0.06;0.79;1.74;3.22;2.1;0.4;1.61;19.85;41.42;0.6;0.76;2.31;1.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9996
"\/vurl\/([0-9]|[a-f]){32}(-([0-9]|[a-f]){32})*";./attacks-gadget/uniq-nested-between_00_6.txt;4.66;0.07;0.68;1.76;10.06;2.35;0.0;3.78;14.86;30.2;2.62;2.46;2.5;1.6;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;49.9985
"^/path/to/file\.[0-9a-f]{8}-([0-9a-f]{4}-){3}[0-9a-f]{12}.txt$";./attacks-gadget/uniq-nested-between_01_2.txt;0.2;0.05;0.78;1.73;3.12;2.08;0.38;1.63;30.16;51.38;0.59;0.73;1.27;1.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.9996
