pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
.*A.*(JSNRBHG|JSNRHM|TOM).*([^K-U]QUM|IKSSUPRM)F[^CD][^CE]{7,128}C.*;../runGen4/random/random50000.txt;0.03;0.2;0.21;1.82;TO;1.3;0.13;9.13;9.94;5.52;4.37;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;52.4288
.*A.*(JSNRCHG|JSNRHM|TOM).*([^K-U]QUM|IKSSUPRM)F[^DE][^A-D]{7,128}D.*;../runGen4/random/random50000.txt;0.04;0.19;0.19;1.97;TO;1.28;0.15;9.04;10.1;5.88;4.38;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;52.4288
.*A.*B[C-F]{43,53}CEF[^C-F].*;../runGen4/random/random50000.txt;0.04;0.06;0.2;1.73;TO;1.07;0.13;5.63;3.34;3.64;0.07;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;52.4288
.*A.*[BD]C{43,43}D[^E].*;../runGen4/random/random50000.txt;0.01;0.06;0.2;1.81;TO;1.1;0.14;6.28;4.93;3.96;0.08;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;52.4288
.*A.*[BD]C{86,86}DD.*;../runGen4/random/random50000.txt;0.14;0.05;0.18;1.73;TO;1.08;0.14;6.6;5.18;4.22;0.07;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;52.4288
.*ADCC[B-D]{200,200}.*;../runGen4/random/random50000.txt;0.03;0.07;0.2;1.72;TO;0.99;0.12;3.76;1.01;3.31;0.08;37.18;TO;46.72;0;0;0;0;TO;0;0;0;0;0;0;0;TO;0;52.4288
.*A[^AB]{0,400}[CE]D{86,86}EE.*;../runGen4/random/random50000.txt;0.05;0.06;0.22;1.75;TO;1.72;0.18;9.28;2.96;3.32;0.06;TO;TO;102.49;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;0;52.4288
.*A[^AB]{0,400}[CG][EF]{43,43}G[^DF].*;../runGen4/random/random50000.txt;0.24;0.12;0.22;1.8;TO;1.73;0.18;9.28;2.7;3.34;0.93;TO;TO;101.12;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;0;52.4288
.*A[^AB]{0,800}C[D-G]{43,53}DFG[^D-H].*;../runGen4/random/random50000.txt;1.94;0.09;0.22;1.8;TO;1.77;0.19;9.19;2.7;3.34;0.08;TO;TO;97.01;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;0;52.4288
.*BA{0,50}(EC|EE)A{0,10}[DE]{86,86}FF.*;../runGen4/random/random50000.txt;0.14;0.07;0.2;1.81;TO;1.15;0.13;3.99;2.48;3.94;0.1;45.34;TO;49.43;0;0;0;0;TO;0;0;0;0;0;0;0;TO;0;52.4288
.*BA{0,50}(FD|FF)A{0,10}[E-G]{43,43}H[^CG].*;../runGen4/random/random50000.txt;0.17;0.07;0.21;1.69;TO;1.06;0.14;3.75;2.37;3.28;0.38;47.09;TO;49.24;0;0;0;0;TO;0;0;0;0;0;0;0;TO;0;52.4288
.*DOHILMPKGKV[^F]+(JKISVRTMQPGKVA*EA*B[CH-K]{48,}|UHNMJHTMQPGKVA*EA*B[CH-K]{48,})[^F]+F.*;../runGen4/random/random50000.txt;0.03;0.06;0.2;1.76;TO;1.22;0.14;3.88;2.83;3.65;0.08;41.5;TO;50.14;0;0;0;0;TO;0;0;0;0;0;0;0;TO;0;52.4288
.*GDIIJFHE[AB]+[C-J]{52,52}([AB].*|B+.*);../runGen4/random/random50000.txt;0.02;0.05;0.18;1.68;TO;1.05;0.13;3.64;1.7;3.26;0.08;41.49;TO;48.72;0;0;0;0;TO;0;0;0;0;0;0;0;TO;0;52.4288
.*IHEGFJDCA[BD-J]{60,60}A.*;../runGen4/random/random50000.txt;0.01;0.06;0.19;1.67;TO;1.01;0.13;3.63;1.12;3.23;0.07;41.37;TO;47.18;0;0;0;0;TO;0;0;0;0;0;0;0;TO;0;52.4288
.*[AC]B{70,70}CC.*;../runGen4/random/random50000.txt;0.16;0.06;0.2;1.76;TO;1.1;0.14;4.7;2.52;3.47;0.07;TO;TO;49.79;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;0;52.4288
