pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
.{0,200}ssforevercool.com.{1,200};../runGen4/random/random50000.txt;0.29;0.07;0.34;1.63;TO;3.42;2.64;TO;1.14;16.57;0.09;22.12;53.35;47.13;0;0;0;0;TO;0;0;TO;0;0;0;0;0;0;52.4288
"<!DOCTYPE HTML PUBLIC ""[^""]{10,60}"">\x20";../runGen4/random/random50000.txt;0.01;0.06;0.06;0.69;0.56;1.11;0.03;0.47;1.3;3.18;0.09;0.16;0.64;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"<(tr)>\s{0,10}<(td)[^>]{0,120}><br/>\s{0,10}";../runGen4/random/random50000.txt;0.03;0.06;0.07;0.66;1.06;1.08;0.05;0.51;1.9;3.24;0.08;0.15;0.78;1.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
<.{0,10}[^aeiouy]{6}.{0,10}@;../runGen4/random/random50000.txt;1.99;0.2;0.54;0.86;4.0;1.48;1.23;1.93;2.12;3.25;0.19;0.48;5.98;1.28;52623;52623;52623;52623;52623;52623;52623;52623;52623;52623;52623;52623;52623;52623;52.4288
"</table>\s{100,}";../runGen4/random/random50000.txt;0.02;0.06;0.07;0.66;0.54;1.02;0.04;0.44;0.92;3.23;0.08;0.14;0.62;0.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
<[0-9a-f]{14}.[0-9a-f]{11}@web3.appco.cz>;../runGen4/random/random50000.txt;0.03;0.06;0.06;0.68;1.05;1.09;0.03;0.45;1.43;3.09;0.06;0.16;0.9;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
<[A-Z0-9.]{1,35}@[a-z0-9.]{2,35};../runGen4/random/random50000.txt;1.78;0.08;0.06;0.68;1.07;1.06;0.06;0.5;1.31;3.21;0.14;0.18;2.6;0.92;537;537;537;537;537;537;537;537;537;537;537;537;537;537;52.4288
"<[a-z0-9._-]{1,25}@PayPal\.com>";../runGen4/random/random50000.txt;0.0;0.05;0.06;0.69;1.11;1.05;0.04;0.52;1.22;3.15;0.07;0.18;3.21;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"<[a-z0-9._-]{1,25}@bankwest\.com\.au>";../runGen4/random/random50000.txt;0.01;0.05;0.07;0.72;1.12;1.1;0.04;0.58;1.26;3.18;0.08;0.16;4.09;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"<[a-z0-9._-]{1,25}@bc-mchz\.cz>";../runGen4/random/random50000.txt;0.01;0.05;0.07;0.7;1.12;1.08;0.04;0.56;1.27;3.39;0.08;0.2;3.66;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
