pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"<(Members just like YOU are earning up to \d{1,8}(\,\d{1,5})? USD a DAY using this same software\.|Our members are making around \$\d{1,8}(\,\d{1,5})? per day without effort|\$\d{1,8}(\,\d{1,5}(\.\d{1,5})?)? per month all in the same sentence)";../runGen4/random/random50000.txt;0.06;0.06;0.05;0.96;1.2;ERR;0.0;0.9;5.94;3.12;0.12;0.15;1.18;0.88;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;52.4288
"<div id=""[^""]{1,50}"">\s*(<span id=""[^""]{1,50}"">\s*){1,3}";../runGen4/random/random50000.txt;0.02;0.17;0.07;0.66;0.56;1.02;0.05;0.6;1.92;3.09;0.09;0.16;0.66;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"[^\x20]{5,180}\x20\x20http://[-.a-z0-9]{1,40}\.[a-z]{2,4}/\?\d{2,10}\x20(\x20[^\x20]{2,180}\x20){3,20}";../runGen4/random/random50000.txt;0.14;0.44;ERR;1.75;TO;3.23;181.68;0.36;2.64;6.37;0.07;9.21;25.57;21.48;0;0;ERR;0;TO;0;0;ERR;0;0;0;0;0;0;52.4288
"\$\d{1,6}(,|\.\d{1,6})?\s*Penalty(\s*-\s*ID:\d{1,10})?\>";../runGen4/random/random50000.txt;0.02;0.07;0.07;0.78;1.1;1.15;0.0;0.44;2.91;3.07;0.07;0.18;0.87;0.88;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
"\<invoice copy attached|find attached (\S{1,20} )?invoice|find your latest invoice attached";../runGen4/random/random50000.txt;0.01;0.06;0.22;0.83;2.78;1.09;0.0;3.67;2.4;3.23;0.2;0.77;1.48;0.81;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
"\x20<BODY><b>[^<]{1,20}!</b><br><br>\x20([^<]{1,180}<br>\x20){2}<br>\x20<b>[^<]{1,150}</b><br>\x20(\d. [^<]{1,30}<br>\x20){2}\d. [^<]{1,30}<br><br>\x20[^<]{1,150}<a href=[^<]{1,80}.[a-zA-Z]{2,3}";../runGen4/random/random50000.txt;0.03;0.1;0.07;0.73;0.56;1.21;0.05;0.39;4.42;3.04;0.05;0.14;0.62;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"^(.*)?to invest \$\d{1,5}(\.\d{1,5})? (M|m)illion to \$\d{1,5}(\.\d{1,5})? (M|m)illion(.*)?$";../runGen4/random/random50000.txt;0.17;0.08;0.2;1.64;14.46;1.12;0.14;3.67;3.17;3.29;0.08;2.12;1.38;1.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"^[^\x20]{10,100}\x20\x20http://worldpay\.googlegroups\.com/web/Worldpay[^\x20]{2,220}\x20\x20([^\x20]{2,120}\x20){2,8}\x20([^\x20]{2,120}\x20){2,8}\x20\x20$";../runGen4/random/random50000.txt;0.05;0.2;ERR;0.73;0.93;0.85;0.08;1.42;3.28;3.24;0.06;0.73;1.02;0.84;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;52.4288
"^[^\x20]{180,}\x20--\x20[^\x20]{2,30}\x20([^\x20]{0,30}\<avast[^\x20]{0,60}\x20)?$";../runGen4/random/random50000.txt;0.02;0.08;0.08;0.74;0.64;0.85;0.0;1.11;2.1;3.14;0.08;0.59;1.56;0.82;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
"^\x20DNES (\S{1,15} ){1,3}\/ V.{1,2}ECHNY (\S{1,15} ){1,3}\/ (\S{1,15} ){0,2}NOV\S( \S{1,15}){0,3}\s*\x20[^\x20]{10,120}\x20";../runGen4/random/random50000.txt;0.02;0.08;0.05;0.58;0.53;ERR;0.0;0.43;3.52;3.2;0.06;0.73;0.64;0.81;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;52.4288
"^application\/zip name=""(CONTRACT|INVOICE)_\d{1,20}_[-\.a-z0-9]{1,20}(_[a-z0-9]{1,15})?\.zip""";../runGen4/random/random50000.txt;0.01;0.06;0.03;0.67;0.51;0.74;0.0;0.4;2.42;3.17;0.06;0.75;0.56;0.85;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
"^application\/zip name=""([a-z0-9]{2,5}\.)?INVOICE_\d{2,25}_[\w\-\.]{1,35}\.zip""";../runGen4/random/random50000.txt;0.01;0.06;0.03;1.18;0.48;1.15;0.0;0.42;2.21;3.07;0.07;0.75;0.62;0.84;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
