pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
A{1000};../runGen4/random/random50000.txt;0.05;0.04;0.07;0.74;0.52;1.04;0.02;0.42;1.18;3.45;0.05;0.11;0.52;1.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"TIME_ZONE\s*=\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}))";../runGen4/random/random50000.txt;1.63;0.08;ERR;0.7;0.58;1.08;0.04;0.36;2.06;3.21;0.04;0.1;0.64;0.84;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;52.4288
"\(((\s*(\x27[^\x27]*'|\x22[^\x22]+\x22)\s*,)\s*((\x27[^\x27]{1000})|(\x22[^\x22]{1000})))";../runGen4/random/random50000.txt;1.69;0.07;ERR;0.75;1.29;1.06;0.06;0.94;3.38;3.15;0.06;0.1;0.57;0.89;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;52.4288
"\((\s*((\x27[^\x27]{1000})|(\x22[^\x22]{1000}))|\s*(\x27[^\x27]*'|\x22[^\x22]+\x22)\s*,\s*(true|false)\s*,\s*((\x27[^\x27]{1000})|(\x22[^\x22]{1000})))";../runGen4/random/random50000.txt;3.19;0.11;ERR;6.93;1.53;1.32;0.69;1.23;5.67;3.16;0.05;0.12;0.52;0.93;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;52.4288
"\(\s*((\x27[^\x27]{1000})|(\x22[^\x22]{1000}))";../runGen4/random/random50000.txt;1.62;0.06;ERR;6.04;1.23;1.06;2.04;0.88;1.85;3.08;0.04;0.11;0.56;0.88;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;52.4288
"\(\s*((\x27[^\x27]{1000})|(\x22[^\x22]{1000}))|((\s*(\x27[^\x27]*'|\x22[^\x22]+\x22)\s*,)\s*((\x27[^\x27]{1000})|(\x22[^\x22 ]{1000})))";../runGen4/random/random50000.txt;3.16;0.12;ERR;7.83;12.32;1.17;17.24;25.8;10.16;3.16;0.05;0.09;0.53;1.19;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;52.4288
"\(\s*((\x27[^\x27]{1000})|(\x22[^\x22]{1000}))|((\s*(\x27[^\x27]*'|\x22[^\x22]+\x22)\s*,)\s*((\x27[^\x27]{1000})|(\x22[^\x22]{1000})))";../runGen4/random/random50000.txt;3.26;0.12;ERR;8.08;12.35;1.1;17.07;24.75;10.04;3.17;0.06;0.08;0.6;1.26;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;52.4288
"\(\s*(\x27[^\x27]*'|\x22[^\x22]+\x22)\s*,\s*(true|false)\s*,\s*((\x27[^\x27]{1000})|(\x22[^\x22]{1000}))";../runGen4/random/random50000.txt;1.64;0.09;ERR;0.74;1.21;1.11;0.11;1.46;4.05;3.03;0.06;0.11;0.58;0.86;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;52.4288
"\(\s*(\x27[^\x27]{1024,}|\x22[^\x22]{1024,})";../runGen4/random/random50000.txt;1.71;0.07;ERR;0.81;1.2;1.08;0.58;0.32;1.82;3.06;0.05;0.1;0.53;0.88;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;52.4288
"\(\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,})";../runGen4/random/random50000.txt;1.93;0.07;ERR;0.82;1.18;1.07;0.56;0.26;1.8;3.02;0.06;0.1;0.53;0.83;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;52.4288
