pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
&#x?[0-9a-f]{40};../runGen4/random/random50000.txt;0.14;0.06;0.04;0.62;0.7;1.01;0.04;0.39;0.92;3.1;0.06;0.14;0.98;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"&?addlist=([^\x2A&]*\x2A{3})[^\x2A]{128}";../runGen4/random/random50000.txt;0.02;0.05;0.19;0.79;2.57;1.04;0.09;3.72;1.33;3.04;0.07;1.2;1.11;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"&itwm=([a-z0-9\-\=]{1,50})";../runGen4/random/random50000.txt;0.03;0.06;0.06;0.65;0.58;1.05;0.0;0.47;1.06;3.09;0.07;0.12;0.58;0.86;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
"&key=[a-z0-9]{32}&dummy=\d{3,5}";../runGen4/random/random50000.txt;0.01;0.06;0.07;0.7;0.56;1.1;0.04;0.42;1.28;3.02;0.07;0.15;0.64;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
&q=[a-f0-9]{32},[a-f0-9]{16}&kgs=;../runGen4/random/random50000.txt;0.03;0.06;0.05;0.64;0.65;1.02;0.04;0.38;1.22;3.14;0.08;0.14;0.94;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
&user=[0-9a-z]{32};../runGen4/random/random50000.txt;0.03;0.06;0.06;0.61;0.54;1.02;0.04;0.44;0.91;3.07;0.08;0.13;0.62;0.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"( cm\x20BI\x20\/W \x2D?\d{1,7}\x20\/H \x2D?\d{11})|( cm\x20BI\x20\/W \x2D?\d{10,}\x20\/H \x2D?\d{1,7})";../runGen4/random/random50000.txt;0.05;0.06;0.06;0.71;1.01;1.16;0.0;5.6;3.5;3.06;5.88;2.37;1.51;0.82;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
(&#|%26%23)x?[0-9a-f]{40};../runGen4/random/random50000.txt;0.18;0.07;0.21;0.83;2.33;1.06;0.06;4.77;1.34;3.2;0.21;0.7;1.77;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"((%|&#)(\d{40}|x[A-Fa-f0-9]{80}))";../runGen4/random/random50000.txt;0.18;0.09;0.22;0.88;2.54;1.08;0.09;5.61;1.78;3.16;0.38;0.76;2.26;0.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(((DestFile|encryptPass)\x3D[^\x26]{50})|((BaseDN|SearchFilter)\x3D[^\x26]{128}))";../runGen4/random/random50000.txt;0.03;0.09;0.23;0.88;4.4;1.49;0.14;11.5;2.68;3.04;6.68;3.44;3.84;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(0x)?[0-9a-f]+\s+\S{65}|(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S{65}|(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S{65}|(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S{65}";../runGen4/random/random50000.txt;6.72;0.26;0.23;1.11;32.0;1.03;0.58;50.74;31.17;3.92;31.68;35.24;13.23;2.03;55575;55575;55575;55575;55575;55539;55575;55575;55575;55575;55575;55575;55575;55575;52.4288
"(=\s*([\x27\x22]rtsp\x3A[^\x22\x27\s]{200}|rstp\x3A[^\s\x3E]{200})|\x3Csrc\x3Ertsp\x3A[^\x3C]{200})";../runGen4/random/random50000.txt;0.05;0.07;0.22;0.82;2.63;1.25;0.08;7.54;3.44;3.12;0.34;0.83;1.37;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(OvAcceptLang|Accept-Language)\s*[\x3D\x3A]\s*[^\n]{69}";../runGen4/random/random50000.txt;0.02;0.06;0.21;0.83;2.76;1.11;0.06;4.68;2.13;3.15;0.2;0.74;1.24;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"([\x21-\x7F]\x20){1,50}[\x3C\x3E\x3A\x22\x7C\x3F\x2A]";../runGen4/random/random50000.txt;0.02;0.06;0.15;1.42;18.3;2.11;0.12;3.71;1.81;3.1;0.17;2.79;2.03;1.3;2;31594;31594;31594;31594;31594;31594;31594;31594;31594;31594;31594;31594;31594;52.4288
"([\x7f]).{0,50}([\x27])([\x20\x26\x3b\x7c]|[\x3c\x3e\x24]\x28)+";../runGen4/random/random50000.txt;0.17;0.07;0.04;0.63;0.88;1.04;0.02;0.39;1.96;3.1;0.1;0.11;0.64;0.84;72954;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
