pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"(#\d{1,2}){20}";../runGen4/random/random50000.txt;0.06;0.07;0.06;0.79;1.08;ERR;0.06;0.51;1.07;3.18;0.19;2.77;1.33;1.2;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;52.4288
"(,\d{1,3}){20}";../runGen4/random/random50000.txt;0.05;0.08;0.07;0.82;1.08;ERR;0.05;0.49;1.0;3.12;0.18;2.74;1.4;1.22;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;52.4288
([etDZhns8dz]{1,3}k){3}[etDZhns8dz]{1,3}f[etDZhns8dz]{16}A;../runGen4/random/random50000.txt;0.1;0.08;0.26;1.03;5.72;1.25;0.24;4.92;1.74;3.35;0.64;3.92;1.83;1.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(\/[0-9a-z]{1,6}){1,5}\/[0-9a-z]{1,7}(\.zip|\.xml|\.htm|\.pdf)\/\?[0-9a-z]{1,3}=[0-9a-z\/+]*=?=?";../runGen4/random/random50000.txt;0.04;0.06;0.07;0.82;1.21;ERR;0.0;0.52;2.8;3.13;0.07;2.7;1.68;0.9;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;52.4288
".{18}[\x20\x20\x20\x20\x20\x20]\x20\x20\x20.+(\x2E{2}[\x5C\x2F]){2}";../runGen4/random/random50000.txt;0.18;0.06;0.2;1.68;38.38;3.61;0.14;15.14;2.0;4.07;0.09;2.33;4.16;8.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"<figure[^>]+dir\s*=\s*[\x22\x27]\s*rtl\s*[\x22\x27].*(&#?x?[a-z\d]{2,4}\x3b){100}";../runGen4/random/random50000.txt;0.01;0.18;0.07;0.7;0.54;1.15;0.07;0.41;3.34;3.05;0.06;0.12;0.64;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"<ref\s+href\s*=\s*\x22([^\x22]{2}|(\x25[0-9A-Z]{2}){1,2})\x3A\x2F[^\x22]{100}";../runGen4/random/random50000.txt;0.02;0.06;0.05;0.65;0.6;ERR;0.04;0.4;2.68;3.07;0.08;0.12;0.65;0.83;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;52.4288
"HTTP\/1\.[01].*([^\r\n]){32}";../runGen4/random/random50000.txt;0.02;0.06;0.06;0.62;0.56;1.02;0.0;0.35;1.02;3.09;0.08;0.12;0.64;0.85;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
"HostList=([^\r\n\x3B]{,296}\x3B)*[^\r\n\x3B]{297}";../runGen4/random/random50000.txt;0.06;0.06;0.07;0.64;0.55;1.04;0.0;0.43;1.32;3.05;ERR;0.13;0.06;0.8;0;0;0;0;0;0;ERR;0;0;0;ERR;0;;0;52.4288
"InformixServerList=([^\r\n\x3B]{,293}\x3B)*[^\r\n\x3B]{294}";../runGen4/random/random50000.txt;0.06;0.06;0.06;0.65;0.5;1.11;0.0;0.4;1.47;3.13;ERR;0.13;0.08;0.8;0;0;0;0;0;0;ERR;0;0;0;ERR;0;;0;52.4288
"STOR\x20fp(_[A-F0-9]{8}){2}[A-F0-9]{8}_[A-F0-9]{4}(_[A-F0-9]{8}){2}\x2ebin\x20\x20";../runGen4/random/random50000.txt;0.0;0.06;0.06;0.64;0.58;ERR;0.04;0.44;2.38;3.11;0.08;0.12;0.64;0.86;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;52.4288
"\.php\?id=(\d{5}-\d{3}-\d{7}-\d{5}|0[0-9a-f]{8}-([0-9a-f]{4}-){3}[0-9a-f]{12}1)&ver=\d{7}";../runGen4/random/random50000.txt;0.01;0.06;0.05;0.73;0.52;1.27;0.04;0.42;3.45;3.08;0.08;0.14;0.6;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
