pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"^([nN][aA][mM][eE]|[iI][dD]|[nN][uU][mM][bB][eE][rR]|[tT][oO][tT][aA][lL]|[bB][oO][uU][nN][dD][aA][rR][yY])=[\x20\x20\x20]*[^\r\n\x3b\s\x2c]{300}";../runGen4/random/random50000.txt;0.06;0.05;0.03;0.58;0.6;0.58;0.02;0.47;4.99;3.03;0.06;0.46;0.56;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"^.* LOGIN [^\x20]{100}";../runGen4/random/random50000.txt;0.02;0.06;0.19;1.52;5.29;0.97;0.13;2.77;0.92;3.26;0.08;0.79;1.07;0.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"^.* LSUB [^\x20]{100}";../runGen4/random/random50000.txt;0.02;0.07;0.21;1.52;5.11;0.98;0.13;2.74;0.88;3.16;0.07;0.78;1.09;0.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"^.* [aA][uU][tT][hH][eE][nN][tT][iI][cC][aA][tT][eE] [^\x20]{100}";../runGen4/random/random50000.txt;0.17;0.06;0.21;1.53;5.18;0.99;0.14;2.65;3.03;3.14;0.3;0.8;0.93;0.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"^.* [cC][hH][oO][wW][nN] [^\x20]{100}";../runGen4/random/random50000.txt;0.18;0.07;0.2;1.5;5.29;1.0;0.13;2.77;2.22;3.17;0.3;0.8;0.94;0.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"^.* [cC][pP][wW][dD] [^\x20]{100}";../runGen4/random/random50000.txt;0.18;0.07;0.2;1.54;5.33;1.02;0.13;2.66;2.03;3.25;0.3;0.8;0.87;0.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"^.* [lL][iI][sS][tT] [^\x20]{100}";../runGen4/random/random50000.txt;0.18;0.08;0.21;1.54;5.1;1.0;0.14;2.74;2.07;3.18;0.31;0.81;0.93;0.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"^.* [nN][eE][wW][eE][rR] [^\x20]{100}";../runGen4/random/random50000.txt;0.18;0.07;0.2;1.48;5.3;1.01;0.14;2.64;2.25;3.15;0.28;0.79;0.98;0.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"^.* [zZ][iI][pP][cC][hH][kK] [^\x20]{100}";../runGen4/random/random50000.txt;0.18;0.06;0.2;1.57;5.25;1.02;0.12;2.83;2.38;3.31;0.3;0.79;0.96;0.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"^.*Content-Transfer-Encoding:[^\x20]{100}";../runGen4/random/random50000.txt;0.01;0.07;0.19;1.55;5.21;1.1;0.14;2.77;1.22;3.18;0.07;0.78;1.04;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"^.*Content-Type:[^\x20]{50}";../runGen4/random/random50000.txt;0.02;0.09;0.2;1.58;5.19;1.02;0.14;2.71;1.02;3.21;0.08;0.85;1.08;0.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"^.*FOLD [^\x20]{256}";../runGen4/random/random50000.txt;0.04;0.06;0.21;1.53;5.1;1.03;0.14;2.89;0.87;3.23;0.07;0.63;1.14;0.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"^.*SEARCH \/ HTTP\/1\.1\x20\x20Host\x3A.{0,251}\x20\x20\x20\x20";../runGen4/random/random50000.txt;0.3;0.09;0.21;1.52;5.35;1.04;0.0;6.5;1.74;3.17;0.07;0.88;1.03;0.92;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
"^.*SEARCH \/ HTTP\/1\.1\x20\x20Host\x3a.{0,251}\x20\x20\x20\x20";../runGen4/random/random50000.txt;0.3;0.08;0.21;1.55;5.2;1.05;0.0;6.95;1.57;3.2;0.08;0.87;1.08;0.94;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
"^.*[aA][uU][tT][hH][^\x20]{50}";../runGen4/random/random50000.txt;0.17;0.08;0.2;1.53;7.48;0.99;0.14;3.61;2.61;3.27;0.83;1.85;1.07;0.95;0;2;2;2;2;2;2;2;2;2;2;2;2;2;52.4288
"^.*[aA][uU][tT][hH][oO][rR][iI][zZ][aA][tT][iI][oO][nN]: [bB][aA][sS][iI][cC] [^\x20]{512}";../runGen4/random/random50000.txt;0.16;0.07;0.22;1.56;7.4;1.03;0.15;8.48;4.22;3.22;0.08;1.08;0.93;0.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
