pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"Accept-Language\x3A[^\n]{100}";../runGen4/random/random50000.txt;0.02;0.05;0.07;0.64;0.52;1.02;0.04;0.42;1.03;3.14;0.06;0.14;0.55;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"Authorization\x3a(\s*|\s*\s+)Basic\s[^\n]{250}";../runGen4/random/random50000.txt;0.02;0.06;0.06;0.66;0.52;1.13;0.05;0.4;2.09;3.11;0.06;0.12;0.63;0.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"Authorization\x3a(\s*|\s*\s+)Basic\s[^\n]{512}";../runGen4/random/random50000.txt;0.13;0.06;0.06;0.67;0.57;1.12;0.06;0.38;2.12;3.08;0.07;0.13;0.58;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"Authorization\x3a\s*Basic[^\n]{256}";../runGen4/random/random50000.txt;0.02;0.06;0.07;0.65;0.55;1.09;0.06;0.45;1.32;3.24;0.07;0.13;0.6;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"Content-Length\x3A\s*[^\r\n]{100,}";../runGen4/random/random50000.txt;0.02;0.05;0.06;0.65;0.52;1.07;0.05;0.39;1.26;3.24;0.07;0.15;0.62;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"DESCRIBE\s[^\n]{300}";../runGen4/random/random50000.txt;0.03;0.06;0.07;0.63;0.55;1.0;0.05;0.43;1.04;3.08;0.08;0.14;0.61;0.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"Host\x3A\s[^\r\n]{300,}";../runGen4/random/random50000.txt;0.02;0.06;0.06;0.64;0.59;1.03;0.05;0.46;1.08;3.14;0.08;0.14;0.63;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"SET_(SENDFROM|MAILHOST)\x28\x27[^\x27]{256}";../runGen4/random/random50000.txt;0.04;0.06;0.06;0.67;0.58;1.06;0.05;0.45;1.47;3.1;0.06;0.12;0.67;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"SoftCart.exe\?[^\s]{100}";../runGen4/random/random50000.txt;0.02;0.06;0.05;0.65;0.57;1.06;0.04;0.36;1.13;3.12;0.06;0.14;0.59;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"User-Agent\x3a[^\n]{216}";../runGen4/random/random50000.txt;0.02;0.06;0.06;0.64;0.52;0.99;0.05;0.46;1.01;3.11;0.07;0.11;0.59;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
