pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"((DK|FI|HU|LU|MT|SI)(-)?\d{8})|((BE|EE|DE|EL|LT|PT)(-)?\d{9})|((PL|SK)(-)?\d{10})|((IT|LV)(-)?\d{11})|((LT|SE)(-)?\d{12})|(AT(-)?U\d{8})|(CY(-)?\d{8}[A-Z])|(CZ(-)?\d{8,10})|(FR(-)?[\dA-HJ-NP-Z]{2}\d{9})|(IE(-)?\d[A-Z\d]\d{5}[A-Z])|(NL(-)?\d{9}B\d{2})|(ES(-)?[A-Z\d]\d{7}[A-Z\d])";../runGen4/random/random50000.txt;0.03;0.15;0.28;1.26;25.49;5.66;0.17;60.28;14.92;3.78;25.45;29.1;19.66;0.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(([a-zA-Z]{3}[0-9]{3})|(\w{2}-\w{2}-\w{2})|([0-9]{2}-[a-zA-Z]{3}-[0-9]{1})|([0-9]{1}-[a-zA-Z]{3}-[0-9]{2})|([a-zA-Z]{1}-[0-9]{3}-[a-zA-Z]{2}))";../runGen4/random/random50000.txt;10.61;0.2;0.34;3.99;47.94;4.12;0.18;20.0;7.4;4.19;19.7;11.27;10.82;1.06;9829;9829;9829;9829;9829;9915;9829;9829;9829;9829;9829;9829;9829;9829;52.4288
"((\+44\s?\(0\)\s?\d{2,4})|(\+44\s?(01|02|03|07|08)\d{2,3})|(\+44\s?(1|2|3|7|8)\d{2,3})|(\(\+44\)\s?\d{3,4})|(\(\d{5}\))|((01|02|03|07|08)\d{2,3})|(\d{5}))(\s|-|.)(((\d{3,4})(\s|-)(\d{3,4}))|((\d{6,7})))";../runGen4/random/random50000.txt;0.02;0.16;0.26;1.48;15.36;10.66;0.14;21.14;10.69;3.54;17.64;10.05;12.18;1.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(02\d\s?\d{4}\s?\d{4})|(01\d{2}\s?\d{3}\s?\d{4})|(01\d{3}\s?\d{5,6})|(01\d{4}\s?\d{4,5})";../runGen4/random/random50000.txt;0.02;0.08;0.07;0.76;1.18;49.4;0.06;10.47;5.12;3.12;9.18;4.27;3.15;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(0|[1-9]{1}[0-9]{0,8}|[1]{1}[0-9]{1,9}|[-]{1}[2]{1}([0]{1}[0-9]{8}|[1]{1}([0-3]{1}[0-9]{7}|[4]{1}([0-6]{1}[0-9]{6}|[7]{1}([0-3]{1}[0-9]{5}|[4]{1}([0-7]{1}[0-9]{4}|[8]{1}([0-2]{1}[0-9]{3}|[3]{1}([0-5]{1}[0-9]{2}|[6]{1}([0-3]{1}[0-9]{1}|[4]{1}[0-8]{1}))))))))|(\+)?[2]{1}([0]{1}[0-9]{8}|[1]{1}([0-3]{1}[0-9]{7}|[4]{1}([0-6]{1}[0-9]{6}|[7]{1}([0-3]{1}[0-9]{5}|[4]{1}([0-7]{1}[0-9]{4}|[8]{1}([0-2]{1}[0-9]{3}|[3]{1}([0-5]{1}[0-9]{2}|[6]{1}([0-3]{1}[0-9]{1}|[4]{1}[0-7]{1})))))))))";../runGen4/random/random50000.txt;0.0;0.58;0.06;0.6;0.64;TO;0.04;0.82;14.26;3.18;0.48;0.34;0.82;0.86;104057;104057;104057;104057;104057;TO;104057;104057;104057;104057;104057;104057;104057;104057;52.4288
"([A-Za-z\d.]{2,31}) #accept ASCII alphanumeric and period";../runGen4/random/random50000.txt;0.0;0.04;0.36;2.21;34.34;2.56;0.05;9.65;1.58;3.82;0.08;3.92;7.94;2.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"([A-Za-z]{0,}[\.\,\s]{0,}[A-Za-z]{1,}[\.\s]{1,}[0-9]{1,2}[\,\s]{0,}[0-9]{4})| ([0-9]{0,4}[-,\s]{0,}[A-Za-z]{3,9}[-,\s]{0,}[0-9]{1,2}[-,\s]{0,}[A-Za-z]{0,8})| ([0-9]{1,4}[\/\.\-][0-9]{1,4}[\/\.\-][0-9]{1,4})";../runGen4/random/random50000.txt;10.22;0.12;0.37;1.72;63.85;1.29;0.0;10.96;13.0;3.92;24.88;14.52;16.76;3.34;20912;20682;20682;20682;20682;20682;ERR;20682;20682;20682;20682;20682;20682;20682;52.4288
"(\&quothttp:\/\/video\.google\.com\/googleplayer\.swf\?docId=\d{19}\&hl=[a-z]{2}\&quot)";../runGen4/random/random50000.txt;0.0;0.05;0.06;0.73;0.53;1.2;0.0;0.4;2.14;3.16;0.07;0.13;0.73;0.83;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
"(\(0\d\d\)\s\d{3}[\s-]+\d{4})|(0\d\d[\s-]+\d{3}[\s-]+\d{4})|(0\d{9})|(\+\d\d\s?[\(\s]\d\d[\)\s]\s?\d{3}[\s-]?\d{4})";../runGen4/random/random50000.txt;0.02;0.13;0.22;0.95;3.46;1.26;0.1;10.57;7.28;3.32;9.15;4.33;3.02;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(\d{1}-\d{2}\s*)(of +)(\s?\d{5})|(\d{1}-\d{2}\s*)(of +)(\s?\d{4})|(\d{1}-\d{2}\s*)(of +)(\s?\d{3})|(\d{1}-\d{2}\s*)(of +)(\s?\d{2})|(\d{1}-\d{2}\s*)(of +)(\s?\d{1})";../runGen4/random/random50000.txt;0.02;0.06;0.27;1.42;11.26;1.44;0.14;17.14;8.86;3.24;20.5;11.72;6.49;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(\d{2}\.\d{3}\.\d{3}\/\d{4}\-\d{2})|(\d{3}\.\d{3}\.\d{3}\-\d{2})";../runGen4/random/random50000.txt;0.06;0.06;0.26;1.35;7.56;1.43;0.0;7.52;6.86;3.38;9.69;4.44;2.19;0.85;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
"(\d{6}[-\s]?\d{12})|(\d{4}[-\s]?\d{4}[-\s]?\d{4}[-\s]?\d{4})";../runGen4/random/random50000.txt;0.05;0.15;0.25;1.4;7.62;1.55;0.14;7.48;4.12;3.24;8.2;4.37;2.18;1.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
0{3,}|1{3,}|2{3,}|3{3,}|4{3,}|5{3,}|6{3,}|7{3,}|8{3,}|9{3,};../runGen4/random/random50000.txt;0.11;0.07;0.26;1.01;7.37;1.46;0.14;15.89;3.64;3.36;27.32;11.94;6.33;0.86;640;640;640;640;640;640;640;640;640;640;640;640;640;640;52.4288
"AD\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|AD\d{22}";../runGen4/random/random50000.txt;0.05;0.05;0.06;0.7;0.97;1.14;0.04;0.4;3.04;3.18;0.2;0.12;1.55;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"CH\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{1}|CH\d{19}";../runGen4/random/random50000.txt;0.05;0.06;0.07;0.7;0.97;1.17;0.03;0.41;3.01;3.12;0.2;0.14;1.57;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"CZ\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|CZ\d{22}";../runGen4/random/random50000.txt;0.06;0.06;0.06;0.72;1.0;1.12;0.05;0.4;3.06;3.12;0.19;0.15;1.56;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"DE\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{2}|DE\d{20}";../runGen4/random/random50000.txt;0.04;0.06;0.08;0.71;0.96;1.14;0.05;0.39;3.04;3.09;0.2;0.14;1.58;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"ES\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|ES\d{22}";../runGen4/random/random50000.txt;0.04;0.06;0.06;0.71;1.0;1.14;0.04;0.39;3.09;3.04;0.19;0.14;1.54;0.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"IT\d{2}[ ][a-zA-Z]\d{3}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{3}|IT\d{2}[a-zA-Z]\d{22}";../runGen4/random/random50000.txt;0.02;0.06;0.05;0.71;0.99;1.12;0.04;0.4;4.06;3.13;0.19;0.15;1.63;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"PL\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|PL\d{26}";../runGen4/random/random50000.txt;0.04;0.07;0.07;0.72;0.96;1.15;0.06;0.44;3.4;3.01;0.18;0.12;1.53;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"SE\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|SE\d{22}";../runGen4/random/random50000.txt;0.06;0.06;0.06;0.72;0.97;1.15;0.05;0.4;2.94;3.1;0.19;0.14;1.58;0.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"SK\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|SK\d{22}";../runGen4/random/random50000.txt;0.05;0.06;0.06;0.71;0.96;1.12;0.05;0.4;3.13;3.1;0.2;0.14;1.58;0.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
