pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"   ([A-Za-z\d.]{2,31}) #accept ASCII alphanumeric and period";../runGen4/random/random50000.txt;0.0;0.05;0.06;0.74;0.64;1.14;0.03;0.42;1.64;3.07;0.07;0.13;0.95;0.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(""http:\/\/video\.google\.com\/googleplayer\.swf\?docId=\d{19}\&hl=[a-z]{2}"")";../runGen4/random/random50000.txt;0.0;0.06;0.07;0.76;0.53;1.19;0.0;0.41;1.99;3.11;0.07;0.14;0.73;0.83;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
"((DK|FI|HU|LU|MT|SI)(-)?\d{8})|((BE|EE|DE|EL|LT|PT)(-)?\d{9})|((PL|SK)(-)?\d{10})|((IT|LV)(-)?\d{11})|((LT|SE)(-)?\d{12})|(AT(-)?U\d{8})|(CY(-)?\d{8}[A-Z])|(CZ(-)?\d{8,10})|(FR(-)?[\dA-HJ-NP-Z]{2}\d{9})|(IE(-)?\d[A-Z\d]\d{5}[A-Z])|(NL(-)?\d{9}B\d{2})|(ES(-)?[A-Z\d]\d{7}[A-Z\d])";../runGen4/random/random50000.txt;0.03;0.14;0.28;1.24;26.39;5.55;0.18;59.71;14.89;3.67;25.73;29.26;19.76;0.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(([a-zA-Z]{3}[0-9]{3})|(\w{2}-\w{2}-\w{2})|([0-9]{2}-[a-zA-Z]{3}-[0-9]{1})|([0-9]{1}-[a-zA-Z]{3}-[0-9]{2})|([a-zA-Z]{1}-[0-9]{3}-[a-zA-Z]{2}))";../runGen4/random/random50000.txt;10.63;0.2;0.36;4.16;48.4;4.15;0.17;20.06;7.32;4.08;20.37;11.32;11.06;1.04;9829;9829;9829;9829;9829;9915;9829;9829;9829;9829;9829;9829;9829;9829;52.4288
"((\+44\s?\(0\)\s?\d{2,4})|(\+44\s?(01|02|03|07|08)\d{2,3})|(\+44\s?(1|2|3|7|8)\d{2,3})|(\(\+44\)\s?\d{3,4})|(\(\d{5}\))|((01|02|03|07|08)\d{2,3})|(\d{5}))(\s|-|.)(((\d{3,4})(\s|-)(\d{3,4}))|((\d{6,7})))";../runGen4/random/random50000.txt;0.03;0.16;0.26;1.41;15.61;10.62;0.14;20.76;10.54;3.41;17.78;10.08;11.86;1.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(02\d\s?\d{4}\s?\d{4})|(01\d{2}\s?\d{3}\s?\d{4})|(01\d{3}\s?\d{5,6})|(01\d{4}\s?\d{4,5})";../runGen4/random/random50000.txt;0.02;0.08;0.06;0.78;1.18;42.1;0.06;10.38;5.06;3.08;9.25;4.24;3.22;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(0|[1-9]{1}[0-9]{0,8}|[1]{1}[0-9]{1,9}|[-]{1}[2]{1}([0]{1}[0-9]{8}|[1]{1}([0-3]{1}[0-9]{7}|[4]{1}([0-6]{1}[0-9]{6}|[7]{1}([0-3]{1}[0-9]{5}|[4]{1}([0-7]{1}[0-9]{4}|[8]{1}([0-2]{1}[0-9]{3}|[3]{1}([0-5]{1}[0-9]{2}|[6]{1}([0-3]{1}[0-9]{1}|[4]{1}[0-8]{1}))))))))|(\+)?[2]{1}([0]{1}[0-9]{8}|[1]{1}([0-3]{1}[0-9]{7}|[4]{1}([0-6]{1}[0-9]{6}|[7]{1}([0-3]{1}[0-9]{5}|[4]{1}([0-7]{1}[0-9]{4}|[8]{1}([0-2]{1}[0-9]{3}|[3]{1}([0-5]{1}[0-9]{2}|[6]{1}([0-3]{1}[0-9]{1}|[4]{1}[0-7]{1})))))))))";../runGen4/random/random50000.txt;0.01;0.6;0.04;0.61;0.64;TO;0.04;0.84;14.2;3.06;0.43;0.32;0.73;0.83;104057;104057;104057;104057;104057;TO;104057;104057;104057;104057;104057;104057;104057;104057;52.4288
"([A-Za-z]{0,}[\.\,\s]{0,}[A-Za-z]{1,}[\.\s]{1,}[0-9]{1,2}[\,\s]{0,}[0-9]{4})| ([0-9]{0,4}[-,\s]{0,}[A-Za-z]{3,9}[-,\s]{0,}[0-9]{1,2}[-,\s]{0,}[A-Za-z]{0,8})| ([0-9]{1,4}[\/\.\-][0-9]{1,4}[\/\.\-][0-9]{1,4})";../runGen4/random/random50000.txt;10.34;0.11;0.38;1.73;64.63;1.34;0.0;10.86;12.96;3.92;25.07;14.73;16.44;3.38;20912;20682;20682;20682;20682;20682;ERR;20682;20682;20682;20682;20682;20682;20682;52.4288
"(\d{1}-\d{2}\s*)(of +)(\s?\d{5})|(\d{1}-\d{2}\s*)(of +)(\s?\d{4})|(\d{1}-\d{2}\s*)(of +)(\s?\d{3})|(\d{1}-\d{2}\s*)(of +)(\s?\d{2})|(\d{1}-\d{2}\s*)(of +)(\s?\d{1})";../runGen4/random/random50000.txt;0.02;0.06;0.27;1.4;11.04;1.41;0.13;17.18;8.9;3.14;19.9;11.6;6.53;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(\d{6}[-\s]?\d{12})|(\d{4}[-\s]?\d{4}[-\s]?\d{4}[-\s]?\d{4})";../runGen4/random/random50000.txt;0.04;0.15;0.26;1.41;7.62;1.61;0.14;7.55;4.18;3.26;8.41;4.3;2.11;1.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
