pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S{157}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S{125}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S{1025}|(0x[ 0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S+\s+\S{117}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S+\s+\S+\s+\S{37}";../runGen4/random/random50000.txt;8.52;0.44;ERR;4.01;21.2;60.4;6.77;0.29;16.76;3.51;18.91;8.75;11.04;1.2;22109;22102;ERR;22102;22102;22102;22102;ERR;22102;22102;22102;22102;22102;22102;52.4288
".* BODY\.PEEK\[[^\]]{1024}";../runGen4/random/random50000.txt;0.0;0.07;ERR;1.84;TO;1.0;0.12;0.27;0.97;3.11;0.06;0.1;0.53;50.41;0;0;ERR;0;TO;0;0;ERR;0;0;0;0;0;0;52.4288
".* BODY\[[^\]]{1024}";../runGen4/random/random50000.txt;0.0;0.06;ERR;1.78;TO;1.02;0.13;0.29;0.84;3.08;0.06;0.1;0.5;50.09;0;0;ERR;0;TO;0;0;ERR;0;0;0;0;0;0;52.4288
".* CREATE [^\x20]{1024}";../runGen4/random/random50000.txt;0.89;0.08;ERR;1.66;TO;1.0;0.12;0.32;0.91;3.16;0.05;0.09;0.53;51.08;0;0;ERR;0;TO;0;0;ERR;0;0;0;0;0;0;52.4288
".* [fF][iI][nN][dD] [^\x20]{1024}";../runGen4/random/random50000.txt;1.02;0.06;ERR;1.7;TO;1.03;0.13;0.3;2.16;3.19;0.04;0.09;0.54;51.87;0;0;ERR;0;TO;0;0;ERR;0;0;0;0;0;0;52.4288
".* [rR][eE][nN][aA][mM][eE] [^\x20]{1024}";../runGen4/random/random50000.txt;1.01;0.06;ERR;1.69;TO;1.0;0.15;0.27;2.4;3.13;0.06;0.11;0.53;51.61;0;0;ERR;0;TO;0;0;ERR;0;0;0;0;0;0;52.4288
"<EMBED(\s+|\s+[^>]*\s+)src\s*=\s*(\x22[^\x22]{2082,}\x22|\x27[^\x27]{2082,}\x27|[^\r\n\s]{2082,})";../runGen4/random/random50000.txt;21.99;0.35;ERR;0.66;0.58;1.86;0.02;0.3;3.54;3.12;0.05;0.1;0.6;0.86;0;0;ERR;0;0;0;ERR;ERR;0;0;0;0;0;0;52.4288
"NUMTO(DS|YM)INTERVAL\s*\(\s*\d+\s*,\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}))";../runGen4/random/random50000.txt;1.68;0.09;ERR;0.78;0.6;1.51;0.05;0.4;3.28;3.14;0.06;0.1;0.65;0.88;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;52.4288
"SSH-0*([2-9]\d*|1\d+)\.[^-]*-[^\n]*\n\x20\x20.{3}\x20.{1000}";../runGen4/random/random50000.txt;0.03;0.08;0.07;0.73;0.62;1.29;0.05;0.42;2.54;3.13;0.05;0.09;0.64;0.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"TIME_ZONE\s*=\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}))";../runGen4/random/random50000.txt;1.66;0.08;ERR;0.68;0.57;1.16;0.05;0.43;2.23;3.15;0.06;0.09;0.63;0.86;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;52.4288
"USING\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}))";../runGen4/random/random50000.txt;1.61;0.09;ERR;0.65;0.62;1.1;0.06;0.43;1.84;2.98;0.06;0.1;0.64;0.85;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;52.4288
"\(\s*(\x27[^\x27]*\x27|\x22[^\x22]+\x22)\s*,\s*(\x27[^\x27]{1024,}|\x22[^\x22]{1024,})";../runGen4/random/random50000.txt;1.71;0.07;ERR;0.74;1.26;1.07;0.58;0.27;3.29;3.1;0.06;0.1;0.58;0.87;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;52.4288
"\(\s*(\x27[^\x27]{1024,}|\x22[^\x22]{1024,})";../runGen4/random/random50000.txt;1.74;0.07;ERR;0.83;1.2;1.08;0.58;0.25;1.81;3.12;0.05;0.1;0.5;0.88;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;52.4288
"\(\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,})";../runGen4/random/random50000.txt;2.04;0.07;ERR;0.81;1.18;1.08;0.58;0.26;1.81;3.12;0.05;0.09;0.54;0.9;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;52.4288
