pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"(0x)?[0-9a-f]+\s+\S{65}|(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S{65}|(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S{65}|(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S{65}";../runGen4/random/random50000.txt;6.64;0.27;0.23;1.15;32.41;1.05;0.56;51.48;31.98;4.05;32.53;35.78;13.57;2.01;55575;55575;55575;55575;55575;55539;55575;55575;55575;55575;55575;55575;55575;55575;52.4288
"(\x5c[^\x5c]{16,}|\x2f[^\x2f]{16,})\.cda$";../runGen4/random/random50000.txt;0.02;0.06;0.22;1.58;17.12;1.57;0.02;9.51;3.76;3.45;0.07;2.08;3.19;1.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(name|id|number|total|boundary)=\s*[^\r\n\x3b\s\x2c]{300}";../runGen4/random/random50000.txt;0.09;0.07;0.22;0.9;3.9;1.13;0.14;11.32;2.52;3.2;0.28;0.73;1.8;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
".* LOGIN [^\x20]{100}";../runGen4/random/random50000.txt;0.02;0.06;0.2;1.62;TO;0.99;0.14;3.65;0.94;3.3;0.08;41.06;151.52;50.36;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
".* LSUB [^\x20]{100}";../runGen4/random/random50000.txt;0.02;0.06;0.19;1.72;TO;1.01;0.14;3.82;0.94;3.22;0.09;41.17;150.06;50.16;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
".* [aA][uU][tT][hH][eE][nN][tT][iI][cC][aA][tT][eE] [^\x20]{100}";../runGen4/random/random50000.txt;0.15;0.05;0.19;1.74;TO;1.03;0.13;3.8;3.12;3.2;0.34;43.0;122.62;51.54;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
".* [cC][hH][oO][wW][nN] [^\x20]{100}";../runGen4/random/random50000.txt;0.14;0.06;0.18;1.66;TO;1.01;0.14;3.8;2.22;3.36;0.32;43.14;123.82;52.2;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
".* [cC][pP][wW][dD] [^\x20]{100}";../runGen4/random/random50000.txt;0.14;0.05;0.2;1.74;TO;1.04;0.14;3.74;2.2;3.38;0.33;43.01;122.65;51.33;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
".* [lL][iI][sS][tT] [^\x20]{100}";../runGen4/random/random50000.txt;0.16;0.05;0.2;1.86;TO;1.01;0.14;3.88;2.2;3.46;0.32;42.66;121.64;51.38;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
".* [nN][eE][wW][eE][rR] [^\x20]{100}";../runGen4/random/random50000.txt;0.15;0.05;0.19;1.65;TO;0.99;0.12;3.69;2.31;3.24;0.32;42.34;120.38;50.61;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
