pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"""(([\w]+:)?//)?(([\d\w]|%[a-fA-F\d]{2,2})+(:([\d\w]|%[a-fA-f\d]{2,2})+)?@)?([\d\w][-\d\w]{0,253}[\d\w]\.)+[\w]{2,4}(:[\d]+)?(/([-+_~.\d\w]|%[a-fA-f\d]{2,2})*)*(\?(&?([-+_~.\d\w]|%[a-fA-f\d]{2,2})=?)*)?(#([-+_~.\d\w]|%[a-fA-f\d]{2,2})*)?""";../runGen4/random/random50000.txt;0.1;0.12;0.08;1.32;3.17;ERR;0.01;1.61;8.12;3.04;0.94;0.67;1.83;0.95;0;73;73;73;73;ERR;ERR;73;73;73;73;73;73;73;52.4288
"""([0-9A-Fa-f]{2}[ ]){0,31}([0-9A-Fa-f]{2})""";../runGen4/random/random50000.txt;2.01;0.12;0.06;0.67;1.29;1.05;0.06;0.52;1.55;3.01;0.21;0.24;0.89;0.86;296;296;296;296;296;296;296;296;296;296;296;296;296;296;52.4288
"""([a-f]{4}:){3}[a-f]{4}"", ""?:"", ""[a-f]{4}:[a-f]{4}:[a-f]{4}:[a-f]{4}""";../runGen4/random/random50000.txt;0.02;0.06;0.06;0.67;1.13;1.1;0.06;0.46;2.33;3.16;0.08;0.21;0.76;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"""([a-zA-Z]{3,30}\s*)+"", ""[a-zA-Z]{3,30}"", "".{3,30}""";../runGen4/random/random50000.txt;0.02;0.06;0.07;0.7;1.36;1.1;0.05;0.62;1.94;3.19;0.08;0.26;5.04;0.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"""(\d{1,2})?\s?\[\d{3}\]\s?\d{4}-?\d{4}"", ""(\d{1,2})?\s?\[\d{3}\]\s?\d{4}-?\d{4}";../runGen4/random/random50000.txt;0.02;0.06;0.06;0.76;1.35;1.17;0.05;0.58;4.12;3.42;0.08;0.24;0.89;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
""", ""(.*){0,5}"", "".*"", ""(.*){0,5}We want the available.*";../runGen4/random/random50000.txt;0.06;0.06;0.05;0.64;0.58;ERR;0.04;0.42;1.64;2.96;0.08;0.14;0.63;0.83;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;52.4288
""", "".*Error:.*"", "".*"", ""(.*Error:.*)"", "".*";../runGen4/random/random50000.txt;0.05;0.06;0.07;0.64;0.59;1.0;0.04;0.42;1.46;3.02;0.08;0.14;0.69;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
""", ""\\d{1,3}.\d{1,3}.\d{1,3}.\d{1,3}(\w+)+"", "", ""\\\\d{1,3}.\d{1,3}.\d{1,3}.\d{1,3}(\\w+)+"", ""(\w+)+";../runGen4/random/random50000.txt;0.01;0.06;0.06;1.22;0.59;1.58;0.04;0.43;3.65;3.18;0.08;0.14;0.64;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
""".*"","", ""("".*"",){14}"", ""("".*"",){14}""";../runGen4/random/random50000.txt;0.14;0.06;0.16;1.44;16.62;ERR;0.04;2.41;2.91;3.55;0.07;0.6;1.81;1.39;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;52.4288
""".*(header_\d{10,11}_).*(_.*_\d{8})[^.]*(\.\w{3,4})?""";../runGen4/random/random50000.txt;0.0;0.06;0.16;1.96;27.31;1.53;0.13;3.13;3.62;4.02;0.08;2.87;2.6;1.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
