pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
(.{1000,}[^>]*>)<;../runGen4/random/random50000.txt;0.15;0.1;TO;3.75;14.78;2.81;TO;TO;1.86;3.1;0.06;0.13;0.58;88.64;0;0;TO;0;0;0;TO;TO;0;0;0;0;0;0;52.4288
"(<blockquote>\n){50000}";../runGen4/random/random50000.txt;ERR;ERR;ERR;0.76;1.02;1.06;0.04;0.63;0.89;3.48;ERR;0.11;0.66;1.2;ERR;ERR;ERR;0;0;0;ERR;ERR;0;0;ERR;0;0;0;52.4288
"([0-9]{1,9999})\:([0-9]{1,9999})";../runGen4/random/random50000.txt;TO;2.96;ERR;0.91;5.12;1.29;0.0;0.33;1.8;3.23;0.86;1.98;3.5;1.03;TO;5803;ERR;5803;5803;5803;ERR;ERR;5803;5803;5803;5803;5803;5803;52.4288
"(\[ a_){50000}";../runGen4/random/random50000.txt;ERR;ERR;ERR;0.82;1.06;1.29;0.03;0.38;1.1;3.1;ERR;0.12;0.65;1.4;ERR;ERR;ERR;0;0;0;ERR;ERR;0;0;ERR;0;0;0;52.4288
(_a ){64999}_a;../runGen4/random/random50000.txt;ERR;ERR;ERR;0.81;1.04;1.17;0.01;0.34;1.27;2.9;ERR;0.12;0.57;1.1;ERR;ERR;ERR;0;0;0;ERR;ERR;0;0;ERR;0;0;0;52.4288
(a[_] ){64999}a_;../runGen4/random/random50000.txt;ERR;ERR;ERR;0.76;1.05;1.27;0.02;0.3;1.22;2.89;ERR;0.13;0.64;1.03;ERR;ERR;ERR;0;0;0;ERR;ERR;0;0;ERR;0;0;0;52.4288
",\s{0,1000}";../runGen4/random/random50000.txt;3.62;0.27;0.05;0.65;0.76;0.8;0.05;0.58;1.4;3.02;0.17;0.14;0.94;1.04;94921;94921;94921;94921;94921;94921;94921;94921;94921;94921;94921;94921;94921;94921;52.4288
.{0,1000};../runGen4/random/random50000.txt;8.42;ERR;0.05;0.71;2.03;0.59;0.71;5.76;2.32;3.33;0.12;0.19;0.94;1.36;104916;ERR;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;52.4288
.{1,1000};../runGen4/random/random50000.txt;8.5;1.1;0.06;0.64;1.98;0.6;0.71;6.1;2.22;3.22;0.12;0.19;0.95;1.12;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;52.4288
.{1,1019};../runGen4/random/random50000.txt;9.02;1.04;ERR;0.72;1.92;0.62;0.73;0.38;2.44;3.05;0.14;0.21;0.84;1.22;104916;104916;ERR;104916;104916;104916;104916;ERR;104916;104916;104916;104916;104916;104916;52.4288
.{1,1024};../runGen4/random/random50000.txt;8.98;1.09;ERR;0.63;1.98;0.62;0.74;0.32;2.05;3.56;0.12;0.18;0.95;1.26;104916;104916;ERR;104916;104916;104916;104916;ERR;104916;104916;104916;104916;104916;104916;52.4288
.{1,1600};../runGen4/random/random50000.txt;35.78;1.08;ERR;0.67;1.98;0.62;67.16;0.29;2.06;3.4;0.15;0.21;0.88;1.3;104916;104916;ERR;104916;104916;104916;104916;ERR;104916;104916;104916;104916;104916;104916;52.4288
.{1,2000};../runGen4/random/random50000.txt;68.45;1.13;ERR;0.58;2.03;0.64;5.16;0.32;2.0;3.1;0.11;0.18;0.97;1.21;104916;104916;ERR;104916;104916;104916;104916;ERR;104916;104916;104916;104916;104916;104916;52.4288
.{1,2047};../runGen4/random/random50000.txt;61.3;1.1;ERR;0.62;1.97;0.75;5.29;0.38;2.24;3.7;0.12;0.18;0.93;1.48;104916;104916;ERR;104916;104916;104916;104916;ERR;104916;104916;104916;104916;104916;104916;52.4288
