pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"                    Please [ ] enter [ ] the \x20                    ([a-z]{5,11}), [ ] ([a-z]{5,11}) [ ] and [ ] ([a-z]{5,11}) \x20                    characters [ ] from [ ] your [ ] Password:                  ";../runGen4/random/random50000.txt;0.0;0.04;0.07;0.65;0.54;1.14;0.04;0.43;2.62;2.42;0.08;0.16;0.56;0.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"          \[EvilEvents:EventProcessed\(match_lost\)\]:\x20          EVENT_ID:[ ][a-z0-9]{8}\-[a-z0-9]{4}\-[a-z0-9]{4}\-[a-z0-9]{4}\-[a-z0-9]{12}[ ]::\x20          STATUS:[ ]successful[ ]::\x20          SUBSCRIBER:[ ]";../runGen4/random/random50000.txt;0.0;0.04;0.06;0.7;0.52;1.2;0.04;0.44;2.83;2.36;0.07;0.14;0.57;0.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"          \[EvilEvents:EventProcessed\(overwatch_released\)\]:\x20          EVENT_ID:[ ][a-z0-9]{8}\-[a-z0-9]{4}\-[a-z0-9]{4}\-[a-z0-9]{4}\-[a-z0-9]{12}[ ]::\x20          STATUS:[ ]successful[ ]::\x20          SUBSCRIBER:[ ]";../runGen4/random/random50000.txt;0.0;0.04;0.05;0.71;0.55;1.22;0.04;0.5;2.94;2.52;0.08;0.14;0.6;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"        \[EvilEvents:EventEmitted\(memory_sync\)\]:\x20        ID:[ ][a-z0-9]{8}\-[a-z0-9]{4}\-[a-z0-9]{4}\-[a-z0-9]{4}\-[a-z0-9]{12}[ ]::\x20        TYPE:[ ]match_lost[ ]::\x20        PAYLOAD:[ ]";../runGen4/random/random50000.txt;0.0;0.04;0.06;0.66;0.5;1.18;0.04;0.42;2.84;2.4;0.06;0.15;0.58;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"        \[EvilEvents:EventEmitted\(sidekiq\)\]:\x20        ID:[ ][a-z0-9]{8}\-[a-z0-9]{4}\-[a-z0-9]{4}\-[a-z0-9]{4}\-[a-z0-9]{12}[ ]::\x20        TYPE:[ ]overwatch_released[ ]::\x20        PAYLOAD:[ ]";../runGen4/random/random50000.txt;0.0;0.04;0.06;0.74;0.52;1.16;0.03;0.42;2.66;2.42;0.08;0.15;0.52;0.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"      \^      [a-z0-9]      [a-z0-9._%+-]{0,63}      \$    ";../runGen4/random/random50000.txt;0.0;0.05;0.07;0.61;0.54;0.95;0.04;0.45;1.24;2.32;0.09;0.16;0.65;0.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"    _secure_another_setting: ([A-Za-z0-9\+/]{342}==)$";../runGen4/random/random50000.txt;0.03;0.05;0.07;1.39;0.52;1.06;0.03;0.45;1.34;2.41;0.06;0.14;0.54;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"    _secure_setting:       ([A-Za-z0-9\+/]{342}==)$";../runGen4/random/random50000.txt;0.04;0.05;0.07;1.38;0.54;1.02;0.03;0.46;1.19;2.44;0.07;0.13;0.57;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"   ([a-zA-Z0-9\-]{36}) - ([^\n]+)";../runGen4/random/random50000.txt;0.03;0.04;0.05;0.64;0.64;1.01;0.05;0.37;1.13;2.38;0.08;0.14;0.89;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"  _secure_another\+_setting: ([A-Za-z0-9\+/]{342}==)$";../runGen4/random/random50000.txt;0.04;0.05;0.06;1.39;0.5;0.97;0.03;0.42;1.28;2.5;0.06;0.16;0.58;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"  hanami generate secret     # Prints secret (eg. `[\w]{64}`)";../runGen4/random/random50000.txt;0.05;0.05;0.05;1.27;0.47;1.51;0.08;0.45;1.52;2.42;0.07;0.14;0.59;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"  hanami generate secret web # Prints session secret (eg. `WEB_SESSIONS_SECRET=[\w]{64}`)";../runGen4/random/random50000.txt;0.04;0.05;0.05;1.38;0.5;1.63;0.07;0.41;1.64;2.44;0.06;0.14;0.53;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
" ( [^\.]{31,} ) ";../runGen4/random/random50000.txt;0.05;0.05;0.05;0.61;1.06;0.94;0.05;0.4;0.94;2.45;0.08;0.15;1.1;0.82;12;28;28;28;28;28;28;28;28;28;28;28;28;28;52.4288
" ?< ?(ref) [a-zA-Z0-9="" ]{2,100}\/ ?> ?";../runGen4/random/random50000.txt;0.02;0.06;0.21;0.8;2.32;0.98;0.0;3.1;1.58;2.76;0.08;1.43;1.42;0.82;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
" ?< ?(span|div|table|data) [a-zA-Z0-9="" ]{2,100}\/? ?> ?";../runGen4/random/random50000.txt;0.06;0.08;0.22;0.79;2.56;1.09;0.0;3.13;2.08;2.76;0.26;1.58;1.28;0.84;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
" ?<[ \/]?[a-z0-9]{1,8}[a-z0-9="" ]{2,20}[ \/]?> ?";../runGen4/random/random50000.txt;1.72;0.09;0.18;0.82;2.6;1.05;0.0;3.15;1.83;2.92;0.28;1.61;3.17;0.96;672;658;658;658;658;658;ERR;658;658;658;658;658;658;658;52.4288
" PROCESS(.{32})WORKING\n";../runGen4/random/random50000.txt;0.05;0.17;0.06;0.62;0.51;0.95;0.04;0.36;0.94;2.36;0.07;0.13;0.6;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
" \^ \s* Password \s* = \s* ([0-9A-F]{128}) \s* \$ ";../runGen4/random/random50000.txt;0.02;0.07;0.06;0.67;0.62;1.04;0.03;0.42;1.78;2.36;0.08;0.12;0.86;0.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
" \d{47}\.{3}$";../runGen4/random/random50000.txt;0.05;0.05;0.06;1.44;1.08;1.1;0.04;0.45;1.01;2.44;0.07;0.14;0.96;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
 at 0x[0-9A-Fa-f]{4,32}>;../runGen4/random/random50000.txt;0.02;0.05;0.05;0.6;0.59;0.91;0.02;0.39;1.0;2.37;0.07;0.13;0.58;0.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
 at 0x[0-9a-f]{4,32}>;../runGen4/random/random50000.txt;0.01;0.06;0.06;0.6;0.56;0.89;0.04;0.4;0.95;2.34;0.08;0.14;0.62;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
 {2,999};../runGen4/random/random50000.txt;0.8;0.05;0.05;0.71;0.7;1.0;0.02;0.44;0.74;2.48;0.08;1.09;0.84;0.79;5617;5617;5617;5617;5617;5617;5617;5617;5617;5617;5617;5617;5617;5617;52.4288
 {70} *;../runGen4/random/random50000.txt;0.05;0.04;0.06;0.72;0.49;1.0;0.02;0.37;1.12;2.42;0.08;1.02;0.71;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"""((http://|https://|//)[-a-zA-Z0-9@:%_\+.~\#?&=]{2,256}\.[a-z]{2,4}[^""\n\r']*)""";../runGen4/random/random50000.txt;0.06;0.06;0.06;0.69;1.18;1.05;0.04;0.67;1.82;2.5;0.13;0.17;0.95;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"""([0-9a-f]{32})""";../runGen4/random/random50000.txt;1.18;0.06;0.07;0.67;1.06;1.02;0.06;0.46;1.0;2.52;0.14;0.18;1.0;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"""([0-9a-f]{40})""";../runGen4/random/random50000.txt;1.27;0.06;0.06;0.66;1.06;0.98;0.06;0.52;1.01;2.5;0.15;0.17;1.08;0.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"""([a-f0-9]{64})""";../runGen4/random/random50000.txt;1.5;0.07;0.06;0.69;1.04;1.02;0.06;0.45;1.0;2.45;0.14;0.16;0.81;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"""(\w{32})""";../runGen4/random/random50000.txt;1.26;0.07;0.05;1.14;1.22;1.46;5.31;0.52;0.91;2.64;0.17;0.18;0.98;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"""IOPlatformUUID"" = ""([0-9A-F-]{36})""";../runGen4/random/random50000.txt;0.0;0.04;0.05;0.62;0.51;1.02;0.05;0.41;1.08;2.38;0.07;0.14;0.55;0.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"""ObjectID\(([0-9a-f]{24})\)""";../runGen4/random/random50000.txt;0.02;0.05;0.07;0.6;0.52;0.96;0.03;0.37;1.03;2.35;0.08;0.15;0.62;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"""[a-f0-9]{64}""";../runGen4/random/random50000.txt;1.45;0.07;0.05;0.66;1.04;1.02;0.06;0.5;0.91;2.46;0.14;0.18;0.89;0.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"""[a-fA-F0-9]{32}""";../runGen4/random/random50000.txt;1.18;0.07;0.06;0.68;1.07;1.01;0.04;0.42;0.88;2.54;0.14;0.17;0.76;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"""\{[A-Z0-9]{8}-[A-Z0-9]{4}-[A-Z0-9]{4}-[A-Z0-9]{4}-[A-Z0-9]{12}\}""";../runGen4/random/random50000.txt;0.04;0.04;0.06;0.6;0.73;1.04;0.04;0.38;1.73;2.36;0.07;0.14;0.93;0.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"""guid"": ""[a-zA-Z0-9]{8}-[a-zA-Z0-9]{8}-[a-zA-Z0-9]{8}""";../runGen4/random/random50000.txt;0.01;0.04;0.06;0.61;0.54;0.97;0.04;0.39;1.44;2.41;0.08;0.16;0.63;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"""stdout"":""job=fake-errand-name index=0 id=.{36}new-stdoutadditional-stdout";../runGen4/random/random50000.txt;0.04;0.05;0.05;0.63;0.52;0.98;0.05;0.38;1.39;2.39;0.08;0.16;0.55;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"""trace_id"":""\w{32}""";../runGen4/random/random50000.txt;0.01;0.05;0.07;1.15;0.54;1.26;0.05;0.4;0.91;2.36;0.07;0.14;0.61;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"#([0-9A-Za-z\-_\@]{8,10}) \(([0-9A-Za-z\-_]{1,12})\)";../runGen4/random/random50000.txt;0.1;0.05;0.08;0.72;1.11;1.1;0.0;0.52;1.44;2.51;0.09;0.18;1.08;0.89;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
#([0-9a-f]{40})$;../runGen4/random/random50000.txt;1.46;0.06;0.06;1.51;1.06;1.05;0.02;0.49;1.0;2.47;0.13;0.16;1.12;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
#([a-zA-Z0-9_]{1,32})([^a-zA-Z0-9_])?;../runGen4/random/random50000.txt;1.05;0.1;0.05;0.61;0.72;0.68;0.06;0.38;1.35;2.49;0.14;0.15;1.42;0.8;89893;89893;89893;89893;89893;89893;89893;89893;89893;89893;89893;89893;89893;89893;52.4288
#[a-f0-9]{7,40};../runGen4/random/random50000.txt;1.38;0.05;0.07;0.68;1.06;1.04;0.05;0.46;0.91;2.5;0.13;0.18;1.01;0.84;1;1;1;1;1;1;1;1;1;1;1;1;1;1;52.4288
#{255};../runGen4/random/random50000.txt;0.05;0.04;0.06;0.7;0.52;0.97;0.04;0.44;1.13;2.44;0.05;0.73;0.64;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"%?([0-9]{1})([0-9]{1})([A-Z0-9 ]{11})([A-Z0-9 ]{2})([A-Z0-9 ]{10})([A-Z0-9 ]{4})([1-2]{1})([0-9]{3})([0-9]{3})([A-Z ]{3})([A-Z ]{3})(.*)\?";../runGen4/random/random50000.txt;0.16;0.29;0.26;1.05;5.1;2.03;0.24;5.14;3.84;3.36;5.65;3.04;2.52;0.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"&(#[0-9]+|#[xX][0-9a-fA-F]+|[^\t\n\f <&#]{1,32})";../runGen4/random/random50000.txt;1.93;0.29;0.06;0.61;0.69;0.62;0.04;0.53;1.65;2.56;0.13;0.16;1.89;0.8;94033;94464;94464;94464;94464;94464;94464;94464;94464;94464;94464;94464;94464;94464;52.4288
&([a-z#][a-z0-9]{1,31});../runGen4/random/random50000.txt;1.19;0.17;0.05;0.65;0.94;0.9;0.04;0.44;1.15;2.48;0.14;0.18;0.73;0.72;41889;41889;41889;41889;41889;41889;41889;41889;41889;41889;41889;41889;41889;41889;52.4288
&[0-9a-z]{2,8}|&#[0-9]{1,7}|&#x[0-9a-f]{1,6};../runGen4/random/random50000.txt;0.75;0.1;0.06;0.67;0.85;0.92;0.04;0.45;1.6;2.42;0.25;0.19;1.72;0.79;50822;50822;50822;50822;50822;50822;50822;50822;50822;50822;50822;50822;50822;50822;52.4288
&[0-9a-z]{2,8}|&#[0-9]{1,7}|[0-9a-f]{1,6};../runGen4/random/random50000.txt;0.34;0.9;0.06;0.56;0.59;0.56;0.04;0.48;1.47;2.52;0.17;0.17;0.92;0.72;104402;104402;104402;104402;104402;104402;104402;104402;104402;104402;104402;104402;104402;104402;52.4288
"&[a-z\d]{2,31}";../runGen4/random/random50000.txt;1.1;0.08;0.05;0.71;0.88;0.96;0.04;0.48;1.01;2.42;0.16;0.16;0.76;0.61;34091;50581;50581;50581;50581;50581;50581;50581;50581;50581;50581;50581;50581;50581;52.4288
"'((http://|https://|//)[-a-zA-Z0-9@:%_\+.~\#?&=]{2,256}\.[a-z]{2,4}[^""\n\r']*)'";../runGen4/random/random50000.txt;0.06;0.06;0.06;0.69;1.18;1.02;0.05;0.56;1.76;2.49;0.15;0.17;0.83;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"'([0-9A-Za-z]{40,40})','(\d*)','(.*)','(\d)',new Array\((.*)\),new Array\((.*)\),new Array\((.*)\),new Array\((.*)\),new Array\((.*)\),new Array\((.*)\),new Array\((.*)\),'([\d\.]+)','(\d)'";../runGen4/random/random50000.txt;0.01;0.05;0.07;0.8;1.13;1.34;0.06;0.61;3.18;2.54;0.07;0.17;1.22;0.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
'([a-f0-9]{96})';../runGen4/random/random50000.txt;1.49;0.06;0.07;0.68;1.08;1.06;0.05;0.54;0.94;2.5;0.16;0.17;0.76;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
'skia_revision': '([0-9a-fA-F]{2,40})';../runGen4/random/random50000.txt;0.01;0.04;0.07;0.62;0.52;0.9;0.04;0.35;1.03;2.37;0.07;0.15;0.64;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(&amp|\?)sid=[0-9a-f]{32}$";../runGen4/random/random50000.txt;0.02;0.05;0.22;1.58;2.4;1.03;0.03;3.6;1.25;2.8;0.08;0.77;1.78;0.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(&amp|\?)sid=[0-9a-f]{32}&amp";../runGen4/random/random50000.txt;0.02;0.06;0.19;0.82;2.38;1.04;0.03;3.64;1.23;2.76;0.08;0.76;1.73;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(([0-9]|[a-f]){32}\.vurl\.)|(([0-9]|[a-f]){32}\.vurl\.)";../runGen4/random/random50000.txt;0.02;0.06;0.28;1.17;12.46;1.33;0.02;9.84;1.98;3.82;10.7;7.87;5.52;1.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"((\d{6}) (tree|blob)) ([0-9a-f]{40})\t(start|(.+))$";../runGen4/random/random50000.txt;0.02;0.06;0.24;1.92;4.58;1.31;0.14;4.02;1.98;2.96;0.13;2.03;1.46;1.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"((\s\d{0,10})|(\s\d{0,10}\w{1,3}))$";../runGen4/random/random50000.txt;1.43;0.07;0.21;2.14;4.64;1.56;0.02;6.74;2.26;3.26;0.32;3.49;3.52;0.75;2610;2648;2648;2648;2648;2648;2648;2648;104915;104915;104915;104915;2648;2648;52.4288
((a)b{28,}c|d)x;../runGen4/random/random50000.txt;0.04;0.06;0.2;0.76;2.8;1.0;0.08;4.3;1.33;3.0;4.3;1.86;1.91;0.87;5600;5600;5600;5600;5600;5600;5600;5600;5600;5600;5600;5600;5600;5600;52.4288
(.)(.{11})(.{20})(.{32});../runGen4/random/random50000.txt;0.03;0.9;0.06;0.74;1.02;1.24;0.05;0.66;1.27;2.55;0.14;0.15;1.53;0.81;98239;98239;98239;98239;98239;98239;98239;98239;98239;98239;98239;98239;98239;98239;52.4288
(.)(.{11})(.{52});../runGen4/random/random50000.txt;0.04;0.86;0.06;0.73;0.94;1.04;0.07;0.66;1.16;2.58;0.12;0.14;1.5;0.82;98239;98239;98239;98239;98239;98239;98239;98239;98239;98239;98239;98239;98239;98239;52.4288
(.){2,25};../runGen4/random/random50000.txt;0.0;1.02;0.04;0.57;1.03;0.53;0.06;0.52;0.79;2.44;0.12;0.22;0.6;0.66;104823;104823;104823;104823;104823;104823;104823;104823;104823;104823;104823;104823;104823;104823;52.4288
(.*)([0-9a-fA-F]{24})$;../runGen4/random/random50000.txt;TO;0.14;0.18;1.52;TO;1.49;0.03;7.98;3.02;3.64;2.76;TO;TO;203.65;TO;0;0;0;TO;0;0;0;0;0;0;TO;TO;0;52.4288
"(.*)-([\w\d]{32})\.(.*)";../runGen4/random/random50000.txt;0.14;0.07;0.18;2.15;TO;1.46;4.54;5.8;1.92;3.42;0.37;TO;TO;62.21;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;0;52.4288
(.*)/(objects/[0-9a-f]{2}/[0-9a-f]{38})$;../runGen4/random/random50000.txt;0.02;0.06;0.18;1.58;TO;1.04;0.03;5.8;2.11;3.21;0.08;TO;TO;51.8;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;0;52.4288
"(.*)/(objects/pack/pack-[0-9a-f]{40}\.idx)$";../runGen4/random/random50000.txt;0.0;0.06;0.2;1.54;TO;1.02;0.03;5.6;2.08;3.22;0.07;240.02;217.58;53.4;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
"(.*)/(objects/pack/pack-[0-9a-f]{40}\.pack)$";../runGen4/random/random50000.txt;0.02;0.05;0.2;1.56;TO;1.03;0.03;5.75;2.1;3.23;0.06;186.27;167.0;47.0;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
(.*)/objects/([0-9a-f]{2})/([0-9a-f]{38})$;../runGen4/random/random50000.txt;0.02;0.06;0.18;1.54;TO;1.02;0.02;5.38;1.4;3.14;0.08;251.2;TO;47.87;0;0;0;0;TO;0;0;0;0;0;0;0;TO;0;52.4288
(.*)/objects/[0-9a-f]{2}/[0-9a-f]{38}$;../runGen4/random/random50000.txt;0.02;0.05;0.2;1.54;TO;1.02;0.03;5.48;1.38;3.27;0.08;211.57;158.3;54.13;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
(.*)/objects/pack/(pack-[0-9a-f]{40}.(pack|idx))$;../runGen4/random/random50000.txt;0.01;0.05;0.19;1.56;TO;1.06;0.02;5.47;1.6;3.19;0.07;TO;191.15;53.94;0;0;0;0;TO;0;0;0;0;0;0;TO;0;0;52.4288
"(.*)/objects/pack/pack-[0-9a-f]{40}\\.idx$";../runGen4/random/random50000.txt;0.01;0.06;0.19;1.58;TO;1.05;0.03;5.74;1.36;3.39;0.08;234.44;174.88;55.2;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
"(.*)/objects/pack/pack-[0-9a-f]{40}\\.pack$";../runGen4/random/random50000.txt;0.0;0.05;0.19;1.57;TO;1.06;0.03;5.57;1.39;3.2;0.07;222.65;172.09;46.76;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
"(.*)\.([a-f0-9]{32})\.(.*)";../runGen4/random/random50000.txt;TO;0.06;0.19;1.65;TO;1.01;0.14;5.74;1.87;3.31;0.36;TO;TO;56.8;TO;0;0;0;TO;0;0;0;0;0;0;TO;TO;0;52.4288
"(.*)\/([0-9a-f]{8}-[0-9a-f-]{27})";../runGen4/random/random50000.txt;TO;0.07;0.2;1.77;TO;1.12;0.0;5.82;2.14;3.72;0.37;244.77;235.08;55.46;TO;0;0;0;TO;0;ERR;0;0;0;0;0;0;0;52.4288
(.*t=)[a-zA-Z0-9]{32}(.*);../runGen4/random/random50000.txt;34.6;0.05;0.19;1.8;TO;1.12;0.12;4.96;1.35;3.56;0.1;38.13;93.52;42.98;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
(.+)([a-z0-9]{32})(.+);../runGen4/random/random50000.txt;TO;0.16;0.19;1.69;TO;2.2;0.13;8.29;3.39;3.74;TO;TO;TO;TO;TO;0;0;0;TO;0;0;0;0;0;TO;TO;TO;TO;52.4288
(.+)/([0-9a-f]{40});../runGen4/random/random50000.txt;TO;0.08;0.19;1.72;TO;1.02;0.13;5.84;1.61;3.19;85.38;TO;TO;53.06;TO;0;0;0;TO;0;0;0;0;0;0;TO;TO;0;52.4288
"(.+)\s.+\s-\s\[(.+)\]\s""(GET|POST|PUT|HEAD|OPTIONS|DELETE).+HTTP/1\.[0-1]""\s[0-9]{3}\s([0-9]{1,20})\s"".+";../runGen4/random/random50000.txt;0.02;0.08;0.17;1.91;TO;1.54;0.14;9.16;8.17;3.96;0.07;TO;TO;181.89;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;0;52.4288
(.{0,255})$;../runGen4/random/random50000.txt;0.31;0.05;0.23;1.54;TO;3.37;0.17;TO;TO;26.95;0.11;120.68;118.55;24.74;104916;104916;104916;104916;TO;104916;104916;TO;TO;104916;104916;104916;104916;104916;52.4288
(.{1,134});../runGen4/random/random50000.txt;0.03;1.1;0.05;0.56;0.94;0.46;0.21;0.96;1.03;3.23;0.12;0.15;0.82;0.85;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;52.4288
"(.{1,16})-.*([\d\.]{2,8})";../runGen4/random/random50000.txt;0.14;0.16;0.1;1.01;35.71;1.6;0.31;6.51;2.48;3.74;1.4;3.56;4.64;2.0;31791;85965;85965;85965;85965;85965;85965;85965;85965;85965;85965;85965;85965;85965;52.4288
(.{1,32});../runGen4/random/random50000.txt;0.01;1.1;0.04;0.58;0.66;0.52;0.09;0.55;0.73;2.93;0.12;0.14;0.68;0.77;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;52.4288
(.{1,35});../runGen4/random/random50000.txt;0.0;1.09;0.04;0.57;0.67;0.52;0.08;0.51;0.75;2.94;0.11;0.15;0.74;0.87;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;52.4288
(.{1,40});../runGen4/random/random50000.txt;0.01;1.11;0.04;0.58;0.68;0.51;0.1;0.55;0.77;3.16;0.12;0.14;0.63;0.83;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;52.4288
