pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"(%?([A-Z])([0-9]{1,19})\^([^\^]{2,26})\^([0-9]{4}|\^)([0-9]{3}|\^)?([^\?]+)?\??)[\x20\t]{0,2}.*";../runGen4/random/random50000.txt;0.3;0.18;0.4;1.46;11.25;1.73;0.13;8.0;3.41;3.64;1.58;3.58;3.52;1.14;40;46;46;46;46;46;46;46;46;46;46;46;46;46;52.4288
"((([0-9]|[a-f]){32}-)*([0-9]|[a-f]){32}\.vurl\.)|(\/vurl\/([0-9]|[a-f]){32}(-([0-9]|[a-f]){32})*)";../runGen4/random/random50000.txt;0.02;0.06;0.3;1.21;18.26;1.58;0.0;16.56;10.67;3.77;16.58;11.13;8.17;2.06;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
"((2|3)\.(3|4|5|6|7|8)\.(\d{1,2}))((a|b|c|rc)\d{1,2})? (.{1,64})";../runGen4/random/random50000.txt;0.05;0.09;0.22;0.91;2.35;1.16;0.07;5.17;2.94;3.21;0.11;0.79;2.11;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(([0-9]|[a-f]){32}-)*([0-9]|[a-f]){32}\.vurl\.";../runGen4/random/random50000.txt;0.01;0.05;0.29;1.19;15.58;1.54;0.04;9.69;7.12;3.53;0.08;9.51;6.77;2.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(([A-Za-z0-9]+_+)|([A-Za-z0-9]+\-+)|([A-Za-z0-9]+\.+)|([A-Za-z0-9]+\++))*[A-Za-z0-9]+@((\w+\-+)|(\w+\.))*\w{1,63}\.[a-zA-Z]{2,6}";../runGen4/random/random50000.txt;22.97;0.09;0.34;2.35;101.41;1.47;14.72;22.95;17.39;5.63;27.85;25.89;34.45;9.53;2296;2296;2296;2296;2296;2238;2296;2296;2296;2296;2296;2296;2296;2296;52.4288
"((\d{4,14})(\.(\d{1,6}))?)([+-]\d{4})?";../runGen4/random/random50000.txt;0.05;0.16;0.26;1.32;5.4;1.41;0.12;5.08;2.56;3.35;0.84;2.18;1.98;1.26;1;5528;5528;5528;5528;5528;5528;5528;5528;5528;5528;5528;5528;5528;52.4288
"((\d{8,14})|(\d{3,4}-)?\d{7,8})|(13[0-9]{9})|(\d{2,4}-\d{2,4}-\d{2,4})";../runGen4/random/random50000.txt;0.06;0.2;0.25;1.37;13.19;3.36;0.13;15.71;7.65;3.38;22.89;12.9;6.24;2.07;0;5;5;5;5;5;5;5;5;5;5;5;5;5;52.4288
"((\w+\-+)|(\w+\.))*\w{1,63}\.[a-zA-Z]{2,6}$";../runGen4/random/random50000.txt;126.01;0.08;0.36;3.6;98.04;2.89;0.21;18.51;13.38;4.48;17.17;15.51;13.51;4.09;447;447;447;447;447;955;447;447;447;447;447;447;447;447;52.4288
(.)(.{20})?;../runGen4/random/random50000.txt;0.01;1.13;0.06;0.65;0.64;0.6;0.04;0.54;1.08;3.27;0.13;0.16;1.84;1.08;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;104916;52.4288
"(.*)\[\d+:(\d+):\d+\]\s+(.+)\s+\[.+(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})(:\d+){0,1}\s+\-\>\s+(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})(:\d+){0,1}";../runGen4/random/random50000.txt;0.02;0.06;0.2;1.89;TO;1.45;0.0;6.08;7.53;3.6;0.1;TO;TO;56.46;0;0;0;0;TO;0;ERR;0;0;0;0;TO;TO;0;52.4288
