pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"(.{1}\x20.{10}\x7f)|(.{10}\x7f.{1}\x20)";../runGen4/random/random50000.txt;0.19;0.13;0.19;1.94;25.9;3.71;0.14;11.51;1.92;4.06;8.38;4.32;4.24;5.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"(\x20\x20.{4}\x20.{8}[^\x20]*)|(\x20\x20.{8}[^\x20]*.{4}\x20)|(.{4}\x20\x20\x20.{8}[^\x20]*)|(.{4}\x20.{8}[^\x20]*\x20\x20)|(.{8}[^\x20]*\x20\x20.{4}\x20)|(.{8}[^\x20]*.{4}\x20\x20\x20)";../runGen4/random/random50000.txt;0.04;0.11;0.21;1.78;TO;TO;0.18;41.19;238.57;31.5;TO;123.77;208.38;162.01;0;5375;5375;5375;TO;TO;5375;5375;5375;5375;TO;5375;5375;5375;52.4288
".*(\x5c[^\x5c]{16}|\x2f[^\x2f]{16})\.cda$";../runGen4/random/random50000.txt;0.02;0.05;0.22;1.71;TO;1.73;0.03;6.94;3.71;3.66;0.08;TO;TO;96.9;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;0;52.4288
".*<OBJECT\s+[^>]*type\s*=[\x20\x20]\x20{32}";../runGen4/random/random50000.txt;0.01;0.06;0.17;1.82;TO;1.3;0.04;3.74;2.04;3.54;0.08;38.32;116.78;42.5;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
".*<\w+\x3afill\s[^>]*method\s*=\s*(\x27[^\x27]{32}|\x22[^\x22]{32}|[^\s>]{32})";../runGen4/random/random50000.txt;0.02;0.09;0.18;2.2;TO;2.08;0.14;3.68;3.75;3.23;0.07;48.41;105.83;55.7;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
".*\x2FCSuserCGI\x2Eexe\x3FLogout\x2B[^\s]{96}";../runGen4/random/random50000.txt;0.02;0.05;0.21;1.86;TO;1.16;0.15;3.69;1.8;3.2;0.06;32.01;84.98;40.72;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
".*cache_lastpostdate\[[^\]]+\]=[^\x20\x20\x20]{30}";../runGen4/random/random50000.txt;0.0;0.06;0.18;1.76;TO;1.05;0.13;3.66;1.29;3.16;0.08;41.27;145.87;50.71;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
".*connectID=[^&\x20\r\x20]{25}";../runGen4/random/random50000.txt;0.01;0.06;0.2;1.67;TO;1.02;0.12;3.58;1.07;3.2;0.09;35.54;98.97;47.13;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
".*get-dated-rev\x20\x28\x20\d{1,4}\x3a([^T\x2d\x3a]{9}|[^\x2d]{4}\x2d[^\x2d]{3}|[^\x2d]{4}\x2d[^\x2d]{2}\x2d[^\x2d]{3})";../runGen4/random/random50000.txt;0.0;0.05;0.2;1.83;TO;1.42;0.13;3.62;3.08;3.25;0.1;38.05;109.06;42.85;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
".*isComponentInstalled\s*\([^,\)]{25}";../runGen4/random/random50000.txt;0.01;0.05;0.19;1.74;TO;1.07;0.13;3.47;1.3;3.26;0.07;37.85;118.41;44.34;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
".*mfcisapicommand=[^&\r\x20\x20]{25}";../runGen4/random/random50000.txt;0.02;0.06;0.2;1.61;TO;1.05;0.14;3.98;1.2;3.56;0.08;33.5;96.01;42.71;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;52.4288
